order_code,plan_code,plan_line_number,item_code,bom_code,bom_version_number,target_quantity,unit_code,planned_starts_on,planned_ends_on,production_line_name,status,notes
production_order_2026_00026,plan_2026_0013,2,fg_0026,bom_fg_0026,1,5425,piece,2026-04-18,2026-04-20,Dây chuyền 02,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00027,plan_2026_0014,1,fg_0027,bom_fg_0027,1,5562,piece,2026-05-22,2026-05-24,Dây chuyền 03,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00028,plan_2026_0014,2,fg_0028,bom_fg_0028,1,5699,piece,2026-05-23,2026-05-25,Dây chuyền 04,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00029,plan_2026_0015,1,fg_0029,bom_fg_0029,1,5836,piece,2026-06-03,2026-06-05,Dây chuyền 05,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00030,plan_2026_0015,2,fg_0030,bom_fg_0030,1,5973,piece,2026-06-04,2026-06-06,Dây chuyền 06,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00031,plan_2026_0016,1,fg_0031,bom_fg_0031,1,6110,piece,2026-07-08,2026-07-10,Dây chuyền 07,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00032,plan_2026_0016,2,fg_0032,bom_fg_0032,1,6247,piece,2026-07-09,2026-07-11,Dây chuyền 08,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00033,plan_2026_0017,1,fg_0033,bom_fg_0033,1,6384,piece,2026-08-09,2026-08-11,Dây chuyền 09,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00034,plan_2026_0017,2,fg_0034,bom_fg_0034,1,6521,piece,2026-08-10,2026-08-12,Dây chuyền 10,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00035,plan_2026_0018,1,fg_0035,bom_fg_0035,1,6658,piece,2026-09-14,2026-09-16,Dây chuyền 11,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00036,plan_2026_0018,2,fg_0036,bom_fg_0036,1,6795,piece,2026-09-15,2026-09-17,Dây chuyền 12,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00037,plan_2026_0019,1,fg_0037,bom_fg_0037,1,6932,piece,2026-01-15,2026-01-17,Dây chuyền 01,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00038,plan_2026_0019,2,fg_0038,bom_fg_0038,1,7069,piece,2026-01-16,2026-01-18,Dây chuyền 02,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00039,plan_2026_0020,1,fg_0039,bom_fg_0039,1,7206,piece,2026-02-20,2026-02-22,Dây chuyền 03,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00040,plan_2026_0020,2,fg_0040,bom_fg_0040,1,7343,piece,2026-02-21,2026-02-23,Dây chuyền 04,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00041,plan_2026_0021,1,fg_0041,bom_fg_0041,1,7480,piece,2026-03-01,2026-03-03,Dây chuyền 05,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00042,plan_2026_0021,2,fg_0042,bom_fg_0042,1,7617,piece,2026-03-02,2026-03-04,Dây chuyền 06,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00043,plan_2026_0022,1,fg_0043,bom_fg_0043,1,7754,piece,2026-04-06,2026-04-08,Dây chuyền 07,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00044,plan_2026_0022,2,fg_0044,bom_fg_0044,1,7891,piece,2026-04-07,2026-04-09,Dây chuyền 08,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00045,plan_2026_0023,1,fg_0045,bom_fg_0045,1,8028,piece,2026-05-07,2026-05-09,Dây chuyền 09,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00046,plan_2026_0023,2,fg_0046,bom_fg_0046,1,8165,piece,2026-05-08,2026-05-10,Dây chuyền 10,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00047,plan_2026_0024,1,fg_0047,bom_fg_0047,1,8302,piece,2026-06-12,2026-06-14,Dây chuyền 11,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00048,plan_2026_0024,2,fg_0048,bom_fg_0048,1,8439,piece,2026-06-13,2026-06-15,Dây chuyền 12,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00049,plan_2026_0025,1,fg_0049,bom_fg_0049,1,8576,piece,2026-07-13,2026-07-15,Dây chuyền 01,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00050,plan_2026_0025,2,fg_0050,bom_fg_0050,1,8713,piece,2026-07-14,2026-07-16,Dây chuyền 02,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00051,plan_2026_0026,1,fg_0051,bom_fg_0051,1,8850,piece,2026-08-18,2026-08-20,Dây chuyền 03,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00052,plan_2026_0026,2,fg_0052,bom_fg_0052,1,8987,piece,2026-08-19,2026-08-21,Dây chuyền 04,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00053,plan_2026_0027,1,fg_0053,bom_fg_0053,1,9124,piece,2026-09-19,2026-09-21,Dây chuyền 05,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00054,plan_2026_0027,2,fg_0054,bom_fg_0054,1,9261,piece,2026-09-20,2026-09-22,Dây chuyền 06,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00055,plan_2026_0028,1,fg_0055,bom_fg_0055,1,9398,piece,2026-01-04,2026-01-06,Dây chuyền 07,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00056,plan_2026_0028,2,fg_0056,bom_fg_0056,1,9535,piece,2026-01-05,2026-01-07,Dây chuyền 08,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00057,plan_2026_0029,1,fg_0057,bom_fg_0057,1,9672,piece,2026-02-05,2026-02-07,Dây chuyền 09,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00058,plan_2026_0029,2,fg_0058,bom_fg_0058,1,9809,piece,2026-02-06,2026-02-08,Dây chuyền 10,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00059,plan_2026_0030,1,fg_0059,bom_fg_0059,1,9946,piece,2026-03-10,2026-03-12,Dây chuyền 11,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00060,plan_2026_0030,2,fg_0060,bom_fg_0060,1,2083,piece,2026-03-11,2026-03-13,Dây chuyền 12,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00061,plan_2026_0031,1,fg_0061,bom_fg_0061,1,2220,piece,2026-04-11,2026-04-13,Dây chuyền 01,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00062,plan_2026_0031,2,fg_0062,bom_fg_0062,1,2357,piece,2026-04-12,2026-04-14,Dây chuyền 02,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00063,plan_2026_0032,1,fg_0063,bom_fg_0063,1,2494,piece,2026-05-16,2026-05-18,Dây chuyền 03,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00064,plan_2026_0032,2,fg_0064,bom_fg_0064,1,2631,piece,2026-05-17,2026-05-19,Dây chuyền 04,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00065,plan_2026_0033,1,fg_0065,bom_fg_0065,1,2768,piece,2026-06-17,2026-06-19,Dây chuyền 05,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00066,plan_2026_0033,2,fg_0066,bom_fg_0066,1,2905,piece,2026-06-18,2026-06-20,Dây chuyền 06,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00067,plan_2026_0034,1,fg_0067,bom_fg_0067,1,3042,piece,2026-07-22,2026-07-24,Dây chuyền 07,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00068,plan_2026_0034,2,fg_0068,bom_fg_0068,1,3179,piece,2026-07-23,2026-07-25,Dây chuyền 08,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00069,plan_2026_0035,1,fg_0069,bom_fg_0069,1,3316,piece,2026-08-03,2026-08-05,Dây chuyền 09,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00070,plan_2026_0035,2,fg_0070,bom_fg_0070,1,3453,piece,2026-08-04,2026-08-06,Dây chuyền 10,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00071,plan_2026_0036,1,fg_0071,bom_fg_0071,1,3590,piece,2026-09-08,2026-09-10,Dây chuyền 11,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00072,plan_2026_0036,2,fg_0072,bom_fg_0072,1,3727,piece,2026-09-09,2026-09-11,Dây chuyền 12,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00073,plan_2026_0037,1,fg_0073,bom_fg_0073,1,3864,piece,2026-01-09,2026-01-11,Dây chuyền 01,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00074,plan_2026_0037,2,fg_0074,bom_fg_0074,1,4001,piece,2026-01-10,2026-01-12,Dây chuyền 02,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00075,plan_2026_0038,1,fg_0075,bom_fg_0075,1,4138,piece,2026-02-14,2026-02-16,Dây chuyền 03,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00076,plan_2026_0038,2,fg_0076,bom_fg_0076,1,4275,piece,2026-02-15,2026-02-17,Dây chuyền 04,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00077,plan_2026_0039,1,fg_0077,bom_fg_0077,1,4412,piece,2026-03-15,2026-03-17,Dây chuyền 05,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00078,plan_2026_0039,2,fg_0078,bom_fg_0078,1,4549,piece,2026-03-16,2026-03-18,Dây chuyền 06,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00079,plan_2026_0040,1,fg_0079,bom_fg_0079,1,4686,piece,2026-04-20,2026-04-22,Dây chuyền 07,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00080,plan_2026_0040,2,fg_0080,bom_fg_0080,1,4823,piece,2026-04-21,2026-04-23,Dây chuyền 08,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00081,plan_2026_0041,1,fg_0081,bom_fg_0081,1,4960,piece,2026-05-01,2026-05-03,Dây chuyền 09,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00082,plan_2026_0041,2,fg_0082,bom_fg_0082,1,5097,piece,2026-05-02,2026-05-04,Dây chuyền 10,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00083,plan_2026_0042,1,fg_0083,bom_fg_0083,1,5234,piece,2026-06-06,2026-06-08,Dây chuyền 11,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00084,plan_2026_0042,2,fg_0084,bom_fg_0084,1,5371,piece,2026-06-07,2026-06-09,Dây chuyền 12,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00085,plan_2026_0043,1,fg_0085,bom_fg_0085,1,5508,piece,2026-07-07,2026-07-09,Dây chuyền 01,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00086,plan_2026_0043,2,fg_0086,bom_fg_0086,1,5645,piece,2026-07-08,2026-07-10,Dây chuyền 02,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00087,plan_2026_0044,1,fg_0087,bom_fg_0087,1,5782,piece,2026-08-12,2026-08-14,Dây chuyền 03,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00088,plan_2026_0044,2,fg_0088,bom_fg_0088,1,5919,piece,2026-08-13,2026-08-15,Dây chuyền 04,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00089,plan_2026_0045,1,fg_0089,bom_fg_0089,1,6056,piece,2026-09-13,2026-09-15,Dây chuyền 05,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00090,plan_2026_0045,2,fg_0090,bom_fg_0090,1,6193,piece,2026-09-14,2026-09-16,Dây chuyền 06,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00091,plan_2026_0046,1,fg_0091,bom_fg_0091,1,6330,piece,2026-01-18,2026-01-20,Dây chuyền 07,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00092,plan_2026_0046,2,fg_0092,bom_fg_0092,1,6467,piece,2026-01-19,2026-01-21,Dây chuyền 08,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00093,plan_2026_0047,1,fg_0093,bom_fg_0093,1,6604,piece,2026-02-19,2026-02-21,Dây chuyền 09,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00094,plan_2026_0047,2,fg_0094,bom_fg_0094,1,6741,piece,2026-02-20,2026-02-22,Dây chuyền 10,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00095,plan_2026_0048,1,fg_0095,bom_fg_0095,1,6878,piece,2026-03-04,2026-03-06,Dây chuyền 11,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00096,plan_2026_0048,2,fg_0096,bom_fg_0096,1,7015,piece,2026-03-05,2026-03-07,Dây chuyền 12,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00097,plan_2026_0049,1,fg_0097,bom_fg_0097,1,7152,piece,2026-04-05,2026-04-07,Dây chuyền 01,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00098,plan_2026_0049,2,fg_0098,bom_fg_0098,1,7289,piece,2026-04-06,2026-04-08,Dây chuyền 02,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00099,plan_2026_0050,1,fg_0099,bom_fg_0099,1,7426,piece,2026-05-10,2026-05-12,Dây chuyền 03,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00100,plan_2026_0050,2,fg_0100,bom_fg_0100,1,7563,piece,2026-05-11,2026-05-13,Dây chuyền 04,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00101,plan_2026_0051,1,fg_0101,bom_fg_0101,1,7700,piece,2026-06-11,2026-06-13,Dây chuyền 05,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00102,plan_2026_0051,2,fg_0102,bom_fg_0102,1,7837,piece,2026-06-12,2026-06-14,Dây chuyền 06,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00103,plan_2026_0052,1,fg_0103,bom_fg_0103,1,7974,piece,2026-07-16,2026-07-18,Dây chuyền 07,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00104,plan_2026_0052,2,fg_0104,bom_fg_0104,1,8111,piece,2026-07-17,2026-07-19,Dây chuyền 08,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00105,plan_2026_0053,1,fg_0105,bom_fg_0105,1,8248,piece,2026-08-17,2026-08-19,Dây chuyền 09,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00106,plan_2026_0053,2,fg_0106,bom_fg_0106,1,8385,piece,2026-08-18,2026-08-20,Dây chuyền 10,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00107,plan_2026_0054,1,fg_0107,bom_fg_0107,1,8522,piece,2026-09-22,2026-09-24,Dây chuyền 11,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00108,plan_2026_0054,2,fg_0108,bom_fg_0108,1,8659,piece,2026-09-23,2026-09-25,Dây chuyền 12,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00109,plan_2026_0055,1,fg_0109,bom_fg_0109,1,8796,piece,2026-01-03,2026-01-05,Dây chuyền 01,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00110,plan_2026_0055,2,fg_0110,bom_fg_0110,1,8933,piece,2026-01-04,2026-01-06,Dây chuyền 02,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00111,plan_2026_0056,1,fg_0111,bom_fg_0111,1,9070,piece,2026-02-08,2026-02-10,Dây chuyền 03,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00112,plan_2026_0056,2,fg_0112,bom_fg_0112,1,9207,piece,2026-02-09,2026-02-11,Dây chuyền 04,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00113,plan_2026_0057,1,fg_0113,bom_fg_0113,1,9344,piece,2026-03-09,2026-03-11,Dây chuyền 05,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00114,plan_2026_0057,2,fg_0114,bom_fg_0114,1,9481,piece,2026-03-10,2026-03-12,Dây chuyền 06,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00115,plan_2026_0058,1,fg_0115,bom_fg_0115,1,9618,piece,2026-04-14,2026-04-16,Dây chuyền 07,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00116,plan_2026_0058,2,fg_0116,bom_fg_0116,1,9755,piece,2026-04-15,2026-04-17,Dây chuyền 08,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00117,plan_2026_0059,1,fg_0117,bom_fg_0117,1,9892,piece,2026-05-15,2026-05-17,Dây chuyền 09,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00118,plan_2026_0059,2,fg_0118,bom_fg_0118,1,2029,piece,2026-05-16,2026-05-18,Dây chuyền 10,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00119,plan_2026_0060,1,fg_0119,bom_fg_0119,1,2166,piece,2026-06-20,2026-06-22,Dây chuyền 11,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00120,plan_2026_0060,2,fg_0120,bom_fg_0120,1,2303,piece,2026-06-21,2026-06-23,Dây chuyền 12,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00121,plan_2026_0061,1,fg_0121,bom_fg_0121,1,2440,piece,2026-07-01,2026-07-03,Dây chuyền 01,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00122,plan_2026_0061,2,fg_0122,bom_fg_0122,1,2577,piece,2026-07-02,2026-07-04,Dây chuyền 02,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00123,plan_2026_0062,1,fg_0123,bom_fg_0123,1,2714,piece,2026-08-06,2026-08-08,Dây chuyền 03,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00124,plan_2026_0062,2,fg_0124,bom_fg_0124,1,2851,piece,2026-08-07,2026-08-09,Dây chuyền 04,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00125,plan_2026_0063,1,fg_0125,bom_fg_0125,1,2988,piece,2026-09-07,2026-09-09,Dây chuyền 05,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00126,plan_2026_0063,2,fg_0126,bom_fg_0126,1,3125,piece,2026-09-08,2026-09-10,Dây chuyền 06,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00127,plan_2026_0064,1,fg_0127,bom_fg_0127,1,3262,piece,2026-01-12,2026-01-14,Dây chuyền 07,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00128,plan_2026_0064,2,fg_0128,bom_fg_0128,1,3399,piece,2026-01-13,2026-01-15,Dây chuyền 08,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00129,plan_2026_0065,1,fg_0129,bom_fg_0129,1,3536,piece,2026-02-13,2026-02-15,Dây chuyền 09,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00130,plan_2026_0065,2,fg_0130,bom_fg_0130,1,3673,piece,2026-02-14,2026-02-16,Dây chuyền 10,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00131,plan_2026_0066,1,fg_0131,bom_fg_0131,1,3810,piece,2026-03-18,2026-03-20,Dây chuyền 11,planned,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00132,plan_2026_0066,2,fg_0132,bom_fg_0132,1,3947,piece,2026-03-19,2026-03-21,Dây chuyền 12,released,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00133,plan_2026_0067,1,fg_0133,bom_fg_0133,1,4084,piece,2026-04-19,2026-04-21,Dây chuyền 01,in_progress,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00134,plan_2026_0067,2,fg_0134,bom_fg_0134,1,4221,piece,2026-04-20,2026-04-22,Dây chuyền 02,completed,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
production_order_2026_00135,plan_2026_0068,1,fg_0135,bom_fg_0135,1,4358,piece,2026-05-04,2026-05-06,Dây chuyền 03,paused,Lệnh sản xuất phát hành từ kế hoạch đã được duyệt.
