order_code,employee_code,shift_code,assignment_name,starts_at,ends_at,status,notes
production_order_2026_00032,vmk0466,shift_afternoon,Kiểm soát đóng gói,2026-07-09T14:00:00+07:00,2026-07-09T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00033,vmk0483,shift_night,Bàn giao ca,2026-08-09T22:00:00+07:00,2026-08-10T06:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00033,vmk0486,shift_morning,Vận hành thiết bị,2026-08-09T06:00:00+07:00,2026-08-09T14:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00034,vmk0500,shift_morning,Vận hành thiết bị,2026-08-10T06:00:00+07:00,2026-08-10T14:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00035,vmk0514,shift_afternoon,Kiểm soát đóng gói,2026-09-14T14:00:00+07:00,2026-09-14T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00035,vmk0517,shift_night,Bàn giao ca,2026-09-14T22:00:00+07:00,2026-09-15T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00036,vmk0528,shift_night,Bàn giao ca,2026-09-15T22:00:00+07:00,2026-09-16T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00037,vmk0545,shift_morning,Vận hành thiết bị,2026-01-15T06:00:00+07:00,2026-01-15T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00037,vmk0548,shift_afternoon,Kiểm soát đóng gói,2026-01-15T14:00:00+07:00,2026-01-15T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00038,vmk0011,shift_afternoon,Kiểm soát đóng gói,2026-01-16T14:00:00+07:00,2026-01-16T22:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00039,vmk0025,shift_night,Bàn giao ca,2026-02-20T22:00:00+07:00,2026-02-21T06:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00039,vmk0028,shift_morning,Vận hành thiết bị,2026-02-20T06:00:00+07:00,2026-02-20T14:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00040,vmk0042,shift_morning,Vận hành thiết bị,2026-02-21T06:00:00+07:00,2026-02-21T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00041,vmk0056,shift_afternoon,Kiểm soát đóng gói,2026-03-01T14:00:00+07:00,2026-03-01T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00041,vmk0059,shift_night,Bàn giao ca,2026-03-01T22:00:00+07:00,2026-03-02T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00042,vmk0065,shift_night,Bàn giao ca,2026-03-02T22:00:00+07:00,2026-03-03T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00043,vmk0079,shift_morning,Vận hành thiết bị,2026-04-06T06:00:00+07:00,2026-04-06T14:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00043,vmk0090,shift_afternoon,Kiểm soát đóng gói,2026-04-06T14:00:00+07:00,2026-04-06T22:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00044,vmk0096,shift_afternoon,Kiểm soát đóng gói,2026-04-07T14:00:00+07:00,2026-04-07T22:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00045,vmk0113,shift_night,Bàn giao ca,2026-05-07T22:00:00+07:00,2026-05-08T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00045,vmk0121,shift_morning,Vận hành thiết bị,2026-05-07T06:00:00+07:00,2026-05-07T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00046,vmk0127,shift_morning,Vận hành thiết bị,2026-05-08T06:00:00+07:00,2026-05-08T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00047,vmk0141,shift_afternoon,Kiểm soát đóng gói,2026-06-12T14:00:00+07:00,2026-06-12T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00047,vmk0144,shift_night,Bàn giao ca,2026-06-12T22:00:00+07:00,2026-06-13T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00048,vmk0158,shift_night,Bàn giao ca,2026-06-13T22:00:00+07:00,2026-06-14T06:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00049,vmk0175,shift_morning,Vận hành thiết bị,2026-07-13T06:00:00+07:00,2026-07-13T14:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00049,vmk0178,shift_afternoon,Kiểm soát đóng gói,2026-07-13T14:00:00+07:00,2026-07-13T22:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00050,vmk0189,shift_afternoon,Kiểm soát đóng gói,2026-07-14T14:00:00+07:00,2026-07-14T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00051,vmk0203,shift_night,Bàn giao ca,2026-08-18T22:00:00+07:00,2026-08-19T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00051,vmk0206,shift_morning,Vận hành thiết bị,2026-08-18T06:00:00+07:00,2026-08-18T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00052,vmk0220,shift_morning,Vận hành thiết bị,2026-08-19T06:00:00+07:00,2026-08-19T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00053,vmk0237,shift_afternoon,Kiểm soát đóng gói,2026-09-19T14:00:00+07:00,2026-09-19T22:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00053,vmk0240,shift_night,Bàn giao ca,2026-09-19T22:00:00+07:00,2026-09-20T06:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00054,vmk0251,shift_night,Bàn giao ca,2026-09-20T22:00:00+07:00,2026-09-21T06:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00055,vmk0260,shift_morning,Vận hành thiết bị,2026-01-04T06:00:00+07:00,2026-01-04T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00055,vmk0268,shift_afternoon,Kiểm soát đóng gói,2026-01-04T14:00:00+07:00,2026-01-04T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00056,vmk0274,shift_afternoon,Kiểm soát đóng gói,2026-01-05T14:00:00+07:00,2026-01-05T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00057,vmk0291,shift_night,Bàn giao ca,2026-02-05T22:00:00+07:00,2026-02-06T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00057,vmk0302,shift_morning,Vận hành thiết bị,2026-02-05T06:00:00+07:00,2026-02-05T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00058,vmk0308,shift_morning,Vận hành thiết bị,2026-02-06T06:00:00+07:00,2026-02-06T14:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00059,vmk0322,shift_afternoon,Kiểm soát đóng gói,2026-03-10T14:00:00+07:00,2026-03-10T22:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00059,vmk0325,shift_night,Bàn giao ca,2026-03-10T22:00:00+07:00,2026-03-11T06:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00060,vmk0336,shift_night,Bàn giao ca,2026-03-11T22:00:00+07:00,2026-03-12T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00061,vmk0353,shift_morning,Vận hành thiết bị,2026-04-11T06:00:00+07:00,2026-04-11T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00061,vmk0356,shift_afternoon,Kiểm soát đóng gói,2026-04-11T14:00:00+07:00,2026-04-11T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00062,vmk0370,shift_afternoon,Kiểm soát đóng gói,2026-04-12T14:00:00+07:00,2026-04-12T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00063,vmk0384,shift_night,Bàn giao ca,2026-05-16T22:00:00+07:00,2026-05-17T06:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00063,vmk0387,shift_morning,Vận hành thiết bị,2026-05-16T06:00:00+07:00,2026-05-16T14:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00064,vmk0398,shift_morning,Vận hành thiết bị,2026-05-17T06:00:00+07:00,2026-05-17T14:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00065,vmk0415,shift_afternoon,Kiểm soát đóng gói,2026-06-17T14:00:00+07:00,2026-06-17T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00065,vmk0418,shift_night,Bàn giao ca,2026-06-17T22:00:00+07:00,2026-06-18T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00066,vmk0432,shift_night,Bàn giao ca,2026-06-18T22:00:00+07:00,2026-06-19T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00067,vmk0446,shift_morning,Vận hành thiết bị,2026-07-22T06:00:00+07:00,2026-07-22T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00067,vmk0449,shift_afternoon,Kiểm soát đóng gói,2026-07-22T14:00:00+07:00,2026-07-22T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00068,vmk0455,shift_afternoon,Kiểm soát đóng gói,2026-07-23T14:00:00+07:00,2026-07-23T22:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00069,vmk0469,shift_night,Bàn giao ca,2026-08-03T22:00:00+07:00,2026-08-04T06:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00069,vmk0480,shift_morning,Vận hành thiết bị,2026-08-03T06:00:00+07:00,2026-08-03T14:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00070,vmk0486,shift_morning,Vận hành thiết bị,2026-08-04T06:00:00+07:00,2026-08-04T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00071,vmk0503,shift_afternoon,Kiểm soát đóng gói,2026-09-08T14:00:00+07:00,2026-09-08T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00071,vmk0511,shift_night,Bàn giao ca,2026-09-08T22:00:00+07:00,2026-09-09T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00072,vmk0517,shift_night,Bàn giao ca,2026-09-09T22:00:00+07:00,2026-09-10T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00073,vmk0531,shift_morning,Vận hành thiết bị,2026-01-09T06:00:00+07:00,2026-01-09T14:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00073,vmk0534,shift_afternoon,Kiểm soát đóng gói,2026-01-09T14:00:00+07:00,2026-01-09T22:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00074,vmk0548,shift_afternoon,Kiểm soát đóng gói,2026-01-10T14:00:00+07:00,2026-01-10T22:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00075,vmk0012,shift_night,Bàn giao ca,2026-02-14T22:00:00+07:00,2026-02-15T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00075,vmk0013,shift_morning,Vận hành thiết bị,2026-02-14T06:00:00+07:00,2026-02-14T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00076,vmk0028,shift_morning,Vận hành thiết bị,2026-02-15T06:00:00+07:00,2026-02-15T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00077,vmk0045,shift_afternoon,Kiểm soát đóng gói,2026-03-15T14:00:00+07:00,2026-03-15T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00077,vmk0048,shift_night,Bàn giao ca,2026-03-15T22:00:00+07:00,2026-03-16T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00078,vmk0059,shift_night,Bàn giao ca,2026-03-16T22:00:00+07:00,2026-03-17T06:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00079,vmk0073,shift_morning,Vận hành thiết bị,2026-04-20T06:00:00+07:00,2026-04-20T14:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00079,vmk0076,shift_afternoon,Kiểm soát đóng gói,2026-04-20T14:00:00+07:00,2026-04-20T22:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00080,vmk0090,shift_afternoon,Kiểm soát đóng gói,2026-04-21T14:00:00+07:00,2026-04-21T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00081,vmk0107,shift_night,Bàn giao ca,2026-05-01T22:00:00+07:00,2026-05-02T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00081,vmk0110,shift_morning,Vận hành thiết bị,2026-05-01T06:00:00+07:00,2026-05-01T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00082,vmk0121,shift_morning,Vận hành thiết bị,2026-05-02T06:00:00+07:00,2026-05-02T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00083,vmk0130,shift_afternoon,Kiểm soát đóng gói,2026-06-06T14:00:00+07:00,2026-06-06T22:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00083,vmk0138,shift_night,Bàn giao ca,2026-06-06T22:00:00+07:00,2026-06-07T06:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00084,vmk0144,shift_night,Bàn giao ca,2026-06-07T22:00:00+07:00,2026-06-08T06:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00085,vmk0161,shift_morning,Vận hành thiết bị,2026-07-07T06:00:00+07:00,2026-07-07T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00085,vmk0172,shift_afternoon,Kiểm soát đóng gói,2026-07-07T14:00:00+07:00,2026-07-07T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00086,vmk0178,shift_afternoon,Kiểm soát đóng gói,2026-07-08T14:00:00+07:00,2026-07-08T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00087,vmk0192,shift_night,Bàn giao ca,2026-08-12T22:00:00+07:00,2026-08-13T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00087,vmk0195,shift_morning,Vận hành thiết bị,2026-08-12T06:00:00+07:00,2026-08-12T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00088,vmk0206,shift_morning,Vận hành thiết bị,2026-08-13T06:00:00+07:00,2026-08-13T14:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00089,vmk0223,shift_afternoon,Kiểm soát đóng gói,2026-09-13T14:00:00+07:00,2026-09-13T22:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00089,vmk0226,shift_night,Bàn giao ca,2026-09-13T22:00:00+07:00,2026-09-14T06:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00090,vmk0240,shift_night,Bàn giao ca,2026-09-14T22:00:00+07:00,2026-09-15T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00091,vmk0254,shift_morning,Vận hành thiết bị,2026-01-18T06:00:00+07:00,2026-01-18T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00091,vmk0257,shift_afternoon,Kiểm soát đóng gói,2026-01-18T14:00:00+07:00,2026-01-18T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00092,vmk0268,shift_afternoon,Kiểm soát đóng gói,2026-01-19T14:00:00+07:00,2026-01-19T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00093,vmk0285,shift_night,Bàn giao ca,2026-02-19T22:00:00+07:00,2026-02-20T06:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00093,vmk0288,shift_morning,Vận hành thiết bị,2026-02-19T06:00:00+07:00,2026-02-19T14:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00094,vmk0302,shift_morning,Vận hành thiết bị,2026-02-20T06:00:00+07:00,2026-02-20T14:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00095,vmk0316,shift_afternoon,Kiểm soát đóng gói,2026-03-04T14:00:00+07:00,2026-03-04T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00095,vmk0319,shift_night,Bàn giao ca,2026-03-04T22:00:00+07:00,2026-03-05T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00096,vmk0325,shift_night,Bàn giao ca,2026-03-05T22:00:00+07:00,2026-03-06T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00097,vmk0339,shift_morning,Vận hành thiết bị,2026-04-05T06:00:00+07:00,2026-04-05T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00097,vmk0350,shift_afternoon,Kiểm soát đóng gói,2026-04-05T14:00:00+07:00,2026-04-05T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00098,vmk0356,shift_afternoon,Kiểm soát đóng gói,2026-04-06T14:00:00+07:00,2026-04-06T22:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00099,vmk0373,shift_night,Bàn giao ca,2026-05-10T22:00:00+07:00,2026-05-11T06:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00099,vmk0381,shift_morning,Vận hành thiết bị,2026-05-10T06:00:00+07:00,2026-05-10T14:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00100,vmk0387,shift_morning,Vận hành thiết bị,2026-05-11T06:00:00+07:00,2026-05-11T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00101,vmk0401,shift_afternoon,Kiểm soát đóng gói,2026-06-11T14:00:00+07:00,2026-06-11T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00101,vmk0404,shift_night,Bàn giao ca,2026-06-11T22:00:00+07:00,2026-06-12T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00102,vmk0418,shift_night,Bàn giao ca,2026-06-12T22:00:00+07:00,2026-06-13T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00103,vmk0435,shift_morning,Vận hành thiết bị,2026-07-16T06:00:00+07:00,2026-07-16T14:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00103,vmk0438,shift_afternoon,Kiểm soát đóng gói,2026-07-16T14:00:00+07:00,2026-07-16T22:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00104,vmk0449,shift_afternoon,Kiểm soát đóng gói,2026-07-17T14:00:00+07:00,2026-07-17T22:00:00+07:00,completed,Phân công theo ca sản xuất.
production_order_2026_00105,vmk0463,shift_night,Bàn giao ca,2026-08-17T22:00:00+07:00,2026-08-18T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00105,vmk0466,shift_morning,Vận hành thiết bị,2026-08-17T06:00:00+07:00,2026-08-17T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00106,vmk0480,shift_morning,Vận hành thiết bị,2026-08-18T06:00:00+07:00,2026-08-18T14:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00107,vmk0497,shift_afternoon,Kiểm soát đóng gói,2026-09-22T14:00:00+07:00,2026-09-22T22:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00107,vmk0500,shift_night,Bàn giao ca,2026-09-22T22:00:00+07:00,2026-09-23T06:00:00+07:00,planned,Phân công theo ca sản xuất.
production_order_2026_00108,vmk0511,shift_night,Bàn giao ca,2026-09-23T22:00:00+07:00,2026-09-24T06:00:00+07:00,active,Phân công theo ca sản xuất.
production_order_2026_00109,vmk0520,shift_morning,Vận hành thiết bị,2026-01-03T06:00:00+07:00,2026-01-03T14:00:00+07:00,completed,Phân công theo ca sản xuất.
