bom_line_code,bom_code,version_number,line_number,material_item_code,unit_code,quantity_per_base,scrap_percent,notes
bom_fg_0006_line_04,bom_fg_0006,1,4,rm_0077,litre,182,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0006_line_05,bom_fg_0006,1,5,rm_0094,kg,211,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0007_line_01,bom_fg_0007,1,1,rm_0031,kg,108,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0007_line_02,bom_fg_0007,1,2,rm_0048,kg,137,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0007_line_03,bom_fg_0007,1,3,rm_0065,litre,166,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0007_line_04,bom_fg_0007,1,4,rm_0082,kg,195,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0007_line_05,bom_fg_0007,1,5,rm_0099,litre,224,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0008_line_01,bom_fg_0008,1,1,rm_0036,litre,121,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0008_line_02,bom_fg_0008,1,2,rm_0053,piece,150,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0008_line_03,bom_fg_0008,1,3,rm_0070,kg,179,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0008_line_04,bom_fg_0008,1,4,rm_0087,kg,208,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0008_line_05,bom_fg_0008,1,5,rm_0104,kg,237,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0009_line_01,bom_fg_0009,1,1,rm_0041,kg,134,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0009_line_02,bom_fg_0009,1,2,rm_0058,kg,163,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0009_line_03,bom_fg_0009,1,3,rm_0075,kg,192,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0009_line_04,bom_fg_0009,1,4,rm_0092,kg,221,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0009_line_05,bom_fg_0009,1,5,rm_0109,kg,250,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0010_line_01,bom_fg_0010,1,1,rm_0046,kg,147,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0010_line_02,bom_fg_0010,1,2,rm_0063,piece,176,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0010_line_03,bom_fg_0010,1,3,rm_0080,kg,205,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0010_line_04,bom_fg_0010,1,4,rm_0097,litre,234,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0010_line_05,bom_fg_0010,1,5,rm_0114,piece,263,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0011_line_01,bom_fg_0011,1,1,rm_0051,piece,160,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0011_line_02,bom_fg_0011,1,2,rm_0068,kg,189,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0011_line_03,bom_fg_0011,1,3,rm_0085,kg,218,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0011_line_04,bom_fg_0011,1,4,rm_0102,litre,247,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0011_line_05,bom_fg_0011,1,5,rm_0119,piece,276,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0012_line_01,bom_fg_0012,1,1,rm_0056,piece,173,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0012_line_02,bom_fg_0012,1,2,rm_0073,kg,202,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0012_line_03,bom_fg_0012,1,3,rm_0090,kg,231,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0012_line_04,bom_fg_0012,1,4,rm_0107,kg,260,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0012_line_05,bom_fg_0012,1,5,rm_0124,piece,289,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0013_line_01,bom_fg_0013,1,1,rm_0061,piece,186,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0013_line_02,bom_fg_0013,1,2,rm_0078,kg,215,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0013_line_03,bom_fg_0013,1,3,rm_0095,kg,244,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0013_line_04,bom_fg_0013,1,4,rm_0112,kg,273,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0013_line_05,bom_fg_0013,1,5,rm_0129,litre,302,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0014_line_01,bom_fg_0014,1,1,rm_0066,kg,199,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0014_line_02,bom_fg_0014,1,2,rm_0083,kg,228,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0014_line_03,bom_fg_0014,1,3,rm_0100,litre,257,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0014_line_04,bom_fg_0014,1,4,rm_0117,piece,286,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0014_line_05,bom_fg_0014,1,5,rm_0134,kg,315,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0015_line_01,bom_fg_0015,1,1,rm_0071,kg,212,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0015_line_02,bom_fg_0015,1,2,rm_0088,kg,241,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0015_line_03,bom_fg_0015,1,3,rm_0105,kg,270,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0015_line_04,bom_fg_0015,1,4,rm_0122,kg,299,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0015_line_05,bom_fg_0015,1,5,rm_0139,kg,328,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0016_line_01,bom_fg_0016,1,1,rm_0076,kg,225,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0016_line_02,bom_fg_0016,1,2,rm_0093,kg,254,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0016_line_03,bom_fg_0016,1,3,rm_0110,kg,283,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0016_line_04,bom_fg_0016,1,4,rm_0127,piece,312,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0016_line_05,bom_fg_0016,1,5,rm_0144,kg,341,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0017_line_01,bom_fg_0017,1,1,rm_0081,kg,238,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0017_line_02,bom_fg_0017,1,2,rm_0098,litre,267,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0017_line_03,bom_fg_0017,1,3,rm_0115,piece,296,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0017_line_04,bom_fg_0017,1,4,rm_0132,kg,325,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0017_line_05,bom_fg_0017,1,5,rm_0149,kg,354,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0018_line_01,bom_fg_0018,1,1,rm_0086,kg,251,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0018_line_02,bom_fg_0018,1,2,rm_0103,kg,280,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0018_line_03,bom_fg_0018,1,3,rm_0120,piece,309,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0018_line_04,bom_fg_0018,1,4,rm_0137,kg,338,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0018_line_05,bom_fg_0018,1,5,rm_0154,kg,367,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0019_line_01,bom_fg_0019,1,1,rm_0091,kg,264,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0019_line_02,bom_fg_0019,1,2,rm_0108,kg,293,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0019_line_03,bom_fg_0019,1,3,rm_0125,piece,322,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0019_line_04,bom_fg_0019,1,4,rm_0142,kg,351,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0019_line_05,bom_fg_0019,1,5,rm_0159,kg,380,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0020_line_01,bom_fg_0020,1,1,rm_0096,kg,277,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0020_line_02,bom_fg_0020,1,2,rm_0113,piece,306,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0020_line_03,bom_fg_0020,1,3,rm_0130,kg,335,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0020_line_04,bom_fg_0020,1,4,rm_0147,kg,364,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0020_line_05,bom_fg_0020,1,5,rm_0164,litre,393,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0021_line_01,bom_fg_0021,1,1,rm_0101,litre,290,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0021_line_02,bom_fg_0021,1,2,rm_0118,piece,319,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0021_line_03,bom_fg_0021,1,3,rm_0135,kg,348,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0021_line_04,bom_fg_0021,1,4,rm_0152,kg,377,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0021_line_05,bom_fg_0021,1,5,rm_0169,kg,406,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0022_line_01,bom_fg_0022,1,1,rm_0106,kg,303,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0022_line_02,bom_fg_0022,1,2,rm_0123,piece,332,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0022_line_03,bom_fg_0022,1,3,rm_0140,kg,361,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0022_line_04,bom_fg_0022,1,4,rm_0157,kg,390,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0022_line_05,bom_fg_0022,1,5,rm_0174,kg,419,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0023_line_01,bom_fg_0023,1,1,rm_0111,kg,316,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0023_line_02,bom_fg_0023,1,2,rm_0128,piece,345,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0023_line_03,bom_fg_0023,1,3,rm_0145,kg,374,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0023_line_04,bom_fg_0023,1,4,rm_0162,litre,403,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0023_line_05,bom_fg_0023,1,5,rm_0179,piece,432,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0024_line_01,bom_fg_0024,1,1,rm_0116,piece,329,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0024_line_02,bom_fg_0024,1,2,rm_0133,kg,358,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0024_line_03,bom_fg_0024,1,3,rm_0150,kg,387,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0024_line_04,bom_fg_0024,1,4,rm_0167,kg,416,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0024_line_05,bom_fg_0024,1,5,rm_0184,piece,445,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0025_line_01,bom_fg_0025,1,1,rm_0121,piece,342,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0025_line_02,bom_fg_0025,1,2,rm_0138,kg,371,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0025_line_03,bom_fg_0025,1,3,rm_0155,kg,400,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0025_line_04,bom_fg_0025,1,4,rm_0172,kg,429,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0025_line_05,bom_fg_0025,1,5,rm_0189,piece,458,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0026_line_01,bom_fg_0026,1,1,rm_0126,piece,355,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0026_line_02,bom_fg_0026,1,2,rm_0143,kg,384,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0026_line_03,bom_fg_0026,1,3,rm_0160,kg,413,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0026_line_04,bom_fg_0026,1,4,rm_0177,piece,442,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0026_line_05,bom_fg_0026,1,5,rm_0194,kg,471,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0027_line_01,bom_fg_0027,1,1,rm_0131,kg,368,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0027_line_02,bom_fg_0027,1,2,rm_0148,kg,397,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0027_line_03,bom_fg_0027,1,3,rm_0165,litre,426,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0027_line_04,bom_fg_0027,1,4,rm_0182,piece,455,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0027_line_05,bom_fg_0027,1,5,rm_0199,kg,484,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0028_line_01,bom_fg_0028,1,1,rm_0136,litre,381,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0028_line_02,bom_fg_0028,1,2,rm_0153,kg,410,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0028_line_03,bom_fg_0028,1,3,rm_0170,kg,439,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0028_line_04,bom_fg_0028,1,4,rm_0187,piece,468,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0028_line_05,bom_fg_0028,1,5,rm_0204,kg,497,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0029_line_01,bom_fg_0029,1,1,rm_0141,litre,394,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0029_line_02,bom_fg_0029,1,2,rm_0158,kg,423,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0029_line_03,bom_fg_0029,1,3,rm_0175,kg,452,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0029_line_04,bom_fg_0029,1,4,rm_0192,piece,481,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0029_line_05,bom_fg_0029,1,5,rm_0209,kg,510,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0030_line_01,bom_fg_0030,1,1,rm_0146,kg,407,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0030_line_02,bom_fg_0030,1,2,rm_0163,litre,436,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0030_line_03,bom_fg_0030,1,3,rm_0180,piece,465,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0030_line_04,bom_fg_0030,1,4,rm_0197,kg,494,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0030_line_05,bom_fg_0030,1,5,rm_0214,kg,523,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0031_line_01,bom_fg_0031,1,1,rm_0151,kg,420,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0031_line_02,bom_fg_0031,1,2,rm_0168,kg,449,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0031_line_03,bom_fg_0031,1,3,rm_0185,piece,478,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0031_line_04,bom_fg_0031,1,4,rm_0202,kg,507,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0031_line_05,bom_fg_0031,1,5,rm_0219,kg,536,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0032_line_01,bom_fg_0032,1,1,rm_0156,kg,433,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0032_line_02,bom_fg_0032,1,2,rm_0173,kg,462,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0032_line_03,bom_fg_0032,1,3,rm_0190,piece,491,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0032_line_04,bom_fg_0032,1,4,rm_0207,kg,520,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0032_line_05,bom_fg_0032,1,5,rm_0224,kg,549,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0033_line_01,bom_fg_0033,1,1,rm_0161,litre,446,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0033_line_02,bom_fg_0033,1,2,rm_0178,piece,475,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0033_line_03,bom_fg_0033,1,3,rm_0195,kg,504,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0033_line_04,bom_fg_0033,1,4,rm_0212,kg,533,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0033_line_05,bom_fg_0033,1,5,rm_0229,litre,562,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0034_line_01,bom_fg_0034,1,1,rm_0166,litre,459,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0034_line_02,bom_fg_0034,1,2,rm_0183,piece,488,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0034_line_03,bom_fg_0034,1,3,rm_0200,litre,517,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0034_line_04,bom_fg_0034,1,4,rm_0217,kg,546,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0034_line_05,bom_fg_0034,1,5,rm_0234,kg,575,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0035_line_01,bom_fg_0035,1,1,rm_0171,kg,472,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0035_line_02,bom_fg_0035,1,2,rm_0188,piece,501,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0035_line_03,bom_fg_0035,1,3,rm_0205,litre,530,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0035_line_04,bom_fg_0035,1,4,rm_0222,kg,559,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0035_line_05,bom_fg_0035,1,5,rm_0239,kg,588,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0036_line_01,bom_fg_0036,1,1,rm_0176,kg,485,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0036_line_02,bom_fg_0036,1,2,rm_0193,litre,514,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0036_line_03,bom_fg_0036,1,3,rm_0210,kg,543,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0036_line_04,bom_fg_0036,1,4,rm_0227,litre,572,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0036_line_05,bom_fg_0036,1,5,rm_0244,piece,601,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0037_line_01,bom_fg_0037,1,1,rm_0181,piece,498,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0037_line_02,bom_fg_0037,1,2,rm_0198,kg,527,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0037_line_03,bom_fg_0037,1,3,rm_0215,kg,556,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0037_line_04,bom_fg_0037,1,4,rm_0232,kg,585,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0037_line_05,bom_fg_0037,1,5,rm_0249,piece,614,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0038_line_01,bom_fg_0038,1,1,rm_0186,kg,511,0.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0038_line_02,bom_fg_0038,1,2,rm_0203,kg,540,1.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0038_line_03,bom_fg_0038,1,3,rm_0220,kg,569,1.5,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0038_line_04,bom_fg_0038,1,4,rm_0237,kg,598,2.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
bom_fg_0038_line_05,bom_fg_0038,1,5,rm_0254,piece,627,0.0,Định mức nguyên liệu đã phê duyệt theo mẻ chuẩn.
