order_code,item_code,lot_code,manufactured_on,expires_on,good_quantity,defective_quantity,status,idempotency_key,inventory_receipt_code,warehouse_code,location_code,notes
production_order_2026_00018,fg_0018,production_lot_2026_00018,2026-09-07,2027-05-05,3517,0,received,production_output_00018,receipt_production_2026_00018,wh_finished_north,wh_finished_north_z08,Sản lượng thành phẩm theo lô.
production_order_2026_00019,fg_0019,production_lot_2026_00019,2026-01-11,2026-09-08,3618,1,received,production_output_00019,receipt_production_2026_00019,wh_finished_south,wh_finished_south_z09,Sản lượng thành phẩm theo lô.
production_order_2026_00020,fg_0020,production_lot_2026_00020,2026-01-12,2026-09-09,3719,2,received,production_output_00020,receipt_production_2026_00020,wh_finished_north,wh_finished_north_z10,Sản lượng thành phẩm theo lô.
production_order_2026_00021,fg_0021,production_lot_2026_00021,2026-02-12,2026-10-10,3820,3,received,production_output_00021,receipt_production_2026_00021,wh_finished_south,wh_finished_south_z01,Sản lượng thành phẩm theo lô.
production_order_2026_00022,fg_0022,production_lot_2026_00022,2026-02-13,2026-10-11,3921,4,received,production_output_00022,receipt_production_2026_00022,wh_finished_north,wh_finished_north_z02,Sản lượng thành phẩm theo lô.
production_order_2026_00023,fg_0023,production_lot_2026_00023,2026-03-17,2026-11-12,4022,5,received,production_output_00023,receipt_production_2026_00023,wh_finished_south,wh_finished_south_z03,Sản lượng thành phẩm theo lô.
production_order_2026_00024,fg_0024,production_lot_2026_00024,2026-03-18,2026-11-13,4123,6,received,production_output_00024,receipt_production_2026_00024,wh_finished_north,wh_finished_north_z04,Sản lượng thành phẩm theo lô.
production_order_2026_00025,fg_0025,production_lot_2026_00025,2026-04-18,2026-12-14,4224,7,received,production_output_00025,receipt_production_2026_00025,wh_finished_south,wh_finished_south_z05,Sản lượng thành phẩm theo lô.
production_order_2026_00026,fg_0026,production_lot_2026_00026,2026-04-19,2026-12-15,4325,8,received,production_output_00026,receipt_production_2026_00026,wh_finished_north,wh_finished_north_z06,Sản lượng thành phẩm theo lô.
production_order_2026_00027,fg_0027,production_lot_2026_00027,2026-05-23,2027-01-18,4426,9,received,production_output_00027,receipt_production_2026_00027,wh_finished_south,wh_finished_south_z07,Sản lượng thành phẩm theo lô.
production_order_2026_00028,fg_0028,production_lot_2026_00028,2026-05-24,2027-01-19,4527,10,received,production_output_00028,receipt_production_2026_00028,wh_finished_north,wh_finished_north_z08,Sản lượng thành phẩm theo lô.
production_order_2026_00029,fg_0029,production_lot_2026_00029,2026-06-04,2027-01-30,4628,11,received,production_output_00029,receipt_production_2026_00029,wh_finished_south,wh_finished_south_z09,Sản lượng thành phẩm theo lô.
production_order_2026_00030,fg_0030,production_lot_2026_00030,2026-06-05,2027-01-31,4729,12,received,production_output_00030,receipt_production_2026_00030,wh_finished_north,wh_finished_north_z10,Sản lượng thành phẩm theo lô.
production_order_2026_00031,fg_0031,production_lot_2026_00031,2026-07-09,2027-03-06,4830,13,received,production_output_00031,receipt_production_2026_00031,wh_finished_south,wh_finished_south_z01,Sản lượng thành phẩm theo lô.
production_order_2026_00032,fg_0032,production_lot_2026_00032,2026-07-10,2027-03-07,4931,14,received,production_output_00032,receipt_production_2026_00032,wh_finished_north,wh_finished_north_z02,Sản lượng thành phẩm theo lô.
production_order_2026_00033,fg_0033,production_lot_2026_00033,2026-08-10,2027-04-07,5032,15,received,production_output_00033,receipt_production_2026_00033,wh_finished_south,wh_finished_south_z03,Sản lượng thành phẩm theo lô.
production_order_2026_00034,fg_0034,production_lot_2026_00034,2026-08-11,2027-04-08,5133,16,received,production_output_00034,receipt_production_2026_00034,wh_finished_north,wh_finished_north_z04,Sản lượng thành phẩm theo lô.
production_order_2026_00035,fg_0035,production_lot_2026_00035,2026-09-15,2027-05-13,5234,0,received,production_output_00035,receipt_production_2026_00035,wh_finished_south,wh_finished_south_z05,Sản lượng thành phẩm theo lô.
production_order_2026_00036,fg_0036,production_lot_2026_00036,2026-09-16,2027-05-14,5335,1,received,production_output_00036,receipt_production_2026_00036,wh_finished_north,wh_finished_north_z06,Sản lượng thành phẩm theo lô.
production_order_2026_00037,fg_0037,production_lot_2026_00037,2026-01-16,2026-09-13,5436,2,received,production_output_00037,receipt_production_2026_00037,wh_finished_south,wh_finished_south_z07,Sản lượng thành phẩm theo lô.
production_order_2026_00038,fg_0038,production_lot_2026_00038,2026-01-17,2026-09-14,5537,3,received,production_output_00038,receipt_production_2026_00038,wh_finished_north,wh_finished_north_z08,Sản lượng thành phẩm theo lô.
production_order_2026_00039,fg_0039,production_lot_2026_00039,2026-02-21,2026-10-19,5638,4,received,production_output_00039,receipt_production_2026_00039,wh_finished_south,wh_finished_south_z09,Sản lượng thành phẩm theo lô.
production_order_2026_00040,fg_0040,production_lot_2026_00040,2026-02-22,2026-10-20,5739,5,received,production_output_00040,receipt_production_2026_00040,wh_finished_north,wh_finished_north_z10,Sản lượng thành phẩm theo lô.
production_order_2026_00041,fg_0041,production_lot_2026_00041,2026-03-02,2026-10-28,5840,6,received,production_output_00041,receipt_production_2026_00041,wh_finished_south,wh_finished_south_z01,Sản lượng thành phẩm theo lô.
production_order_2026_00042,fg_0042,production_lot_2026_00042,2026-03-03,2026-10-29,5941,7,received,production_output_00042,receipt_production_2026_00042,wh_finished_north,wh_finished_north_z02,Sản lượng thành phẩm theo lô.
production_order_2026_00043,fg_0043,production_lot_2026_00043,2026-04-07,2026-12-03,6042,8,received,production_output_00043,receipt_production_2026_00043,wh_finished_south,wh_finished_south_z03,Sản lượng thành phẩm theo lô.
production_order_2026_00044,fg_0044,production_lot_2026_00044,2026-04-08,2026-12-04,6143,9,received,production_output_00044,receipt_production_2026_00044,wh_finished_north,wh_finished_north_z04,Sản lượng thành phẩm theo lô.
production_order_2026_00045,fg_0045,production_lot_2026_00045,2026-05-08,2027-01-03,6244,10,received,production_output_00045,receipt_production_2026_00045,wh_finished_south,wh_finished_south_z05,Sản lượng thành phẩm theo lô.
production_order_2026_00046,fg_0046,production_lot_2026_00046,2026-05-09,2027-01-04,6345,11,received,production_output_00046,receipt_production_2026_00046,wh_finished_north,wh_finished_north_z06,Sản lượng thành phẩm theo lô.
production_order_2026_00047,fg_0047,production_lot_2026_00047,2026-06-13,2027-02-08,6446,12,received,production_output_00047,receipt_production_2026_00047,wh_finished_south,wh_finished_south_z07,Sản lượng thành phẩm theo lô.
production_order_2026_00048,fg_0048,production_lot_2026_00048,2026-06-14,2027-02-09,6547,13,received,production_output_00048,receipt_production_2026_00048,wh_finished_north,wh_finished_north_z08,Sản lượng thành phẩm theo lô.
production_order_2026_00049,fg_0049,production_lot_2026_00049,2026-07-14,2027-03-11,6648,14,received,production_output_00049,receipt_production_2026_00049,wh_finished_south,wh_finished_south_z09,Sản lượng thành phẩm theo lô.
production_order_2026_00050,fg_0050,production_lot_2026_00050,2026-07-15,2027-03-12,6749,15,received,production_output_00050,receipt_production_2026_00050,wh_finished_north,wh_finished_north_z10,Sản lượng thành phẩm theo lô.
production_order_2026_00051,fg_0051,production_lot_2026_00051,2026-08-19,2027-04-16,6850,16,received,production_output_00051,receipt_production_2026_00051,wh_finished_south,wh_finished_south_z01,Sản lượng thành phẩm theo lô.
production_order_2026_00052,fg_0052,production_lot_2026_00052,2026-08-20,2027-04-17,6951,0,received,production_output_00052,receipt_production_2026_00052,wh_finished_north,wh_finished_north_z02,Sản lượng thành phẩm theo lô.
production_order_2026_00053,fg_0053,production_lot_2026_00053,2026-09-20,2027-05-18,7052,1,received,production_output_00053,receipt_production_2026_00053,wh_finished_south,wh_finished_south_z03,Sản lượng thành phẩm theo lô.
production_order_2026_00054,fg_0054,production_lot_2026_00054,2026-09-21,2027-05-19,7153,2,received,production_output_00054,receipt_production_2026_00054,wh_finished_north,wh_finished_north_z04,Sản lượng thành phẩm theo lô.
production_order_2026_00055,fg_0055,production_lot_2026_00055,2026-01-05,2026-09-02,7254,3,received,production_output_00055,receipt_production_2026_00055,wh_finished_south,wh_finished_south_z05,Sản lượng thành phẩm theo lô.
production_order_2026_00056,fg_0056,production_lot_2026_00056,2026-01-06,2026-09-03,7355,4,received,production_output_00056,receipt_production_2026_00056,wh_finished_north,wh_finished_north_z06,Sản lượng thành phẩm theo lô.
production_order_2026_00057,fg_0057,production_lot_2026_00057,2026-02-06,2026-10-04,7456,5,received,production_output_00057,receipt_production_2026_00057,wh_finished_south,wh_finished_south_z07,Sản lượng thành phẩm theo lô.
production_order_2026_00058,fg_0058,production_lot_2026_00058,2026-02-07,2026-10-05,7557,6,received,production_output_00058,receipt_production_2026_00058,wh_finished_north,wh_finished_north_z08,Sản lượng thành phẩm theo lô.
production_order_2026_00059,fg_0059,production_lot_2026_00059,2026-03-11,2026-11-06,7658,7,received,production_output_00059,receipt_production_2026_00059,wh_finished_south,wh_finished_south_z09,Sản lượng thành phẩm theo lô.
production_order_2026_00060,fg_0060,production_lot_2026_00060,2026-03-12,2026-11-07,7759,8,received,production_output_00060,receipt_production_2026_00060,wh_finished_north,wh_finished_north_z10,Sản lượng thành phẩm theo lô.
production_order_2026_00061,fg_0061,production_lot_2026_00061,2026-04-12,2026-12-08,7860,9,received,production_output_00061,receipt_production_2026_00061,wh_finished_south,wh_finished_south_z01,Sản lượng thành phẩm theo lô.
production_order_2026_00062,fg_0062,production_lot_2026_00062,2026-04-13,2026-12-09,7961,10,received,production_output_00062,receipt_production_2026_00062,wh_finished_north,wh_finished_north_z02,Sản lượng thành phẩm theo lô.
production_order_2026_00063,fg_0063,production_lot_2026_00063,2026-05-17,2027-01-12,8062,11,received,production_output_00063,receipt_production_2026_00063,wh_finished_south,wh_finished_south_z03,Sản lượng thành phẩm theo lô.
production_order_2026_00064,fg_0064,production_lot_2026_00064,2026-05-18,2027-01-13,8163,12,received,production_output_00064,receipt_production_2026_00064,wh_finished_north,wh_finished_north_z04,Sản lượng thành phẩm theo lô.
production_order_2026_00065,fg_0065,production_lot_2026_00065,2026-06-18,2027-02-13,8264,13,received,production_output_00065,receipt_production_2026_00065,wh_finished_south,wh_finished_south_z05,Sản lượng thành phẩm theo lô.
production_order_2026_00066,fg_0066,production_lot_2026_00066,2026-06-19,2027-02-14,8365,14,received,production_output_00066,receipt_production_2026_00066,wh_finished_north,wh_finished_north_z06,Sản lượng thành phẩm theo lô.
production_order_2026_00067,fg_0067,production_lot_2026_00067,2026-07-23,2027-03-20,8466,15,received,production_output_00067,receipt_production_2026_00067,wh_finished_south,wh_finished_south_z07,Sản lượng thành phẩm theo lô.
production_order_2026_00068,fg_0068,production_lot_2026_00068,2026-07-24,2027-03-21,8567,16,received,production_output_00068,receipt_production_2026_00068,wh_finished_north,wh_finished_north_z08,Sản lượng thành phẩm theo lô.
production_order_2026_00069,fg_0069,production_lot_2026_00069,2026-08-04,2027-04-01,8668,0,received,production_output_00069,receipt_production_2026_00069,wh_finished_south,wh_finished_south_z09,Sản lượng thành phẩm theo lô.
production_order_2026_00070,fg_0070,production_lot_2026_00070,2026-08-05,2027-04-02,8769,1,received,production_output_00070,receipt_production_2026_00070,wh_finished_north,wh_finished_north_z10,Sản lượng thành phẩm theo lô.
production_order_2026_00071,fg_0071,production_lot_2026_00071,2026-09-09,2027-05-07,1870,2,received,production_output_00071,receipt_production_2026_00071,wh_finished_south,wh_finished_south_z01,Sản lượng thành phẩm theo lô.
production_order_2026_00072,fg_0072,production_lot_2026_00072,2026-09-10,2027-05-08,1971,3,received,production_output_00072,receipt_production_2026_00072,wh_finished_north,wh_finished_north_z02,Sản lượng thành phẩm theo lô.
production_order_2026_00073,fg_0073,production_lot_2026_00073,2026-01-10,2026-09-07,2072,4,received,production_output_00073,receipt_production_2026_00073,wh_finished_south,wh_finished_south_z03,Sản lượng thành phẩm theo lô.
production_order_2026_00074,fg_0074,production_lot_2026_00074,2026-01-11,2026-09-08,2173,5,received,production_output_00074,receipt_production_2026_00074,wh_finished_north,wh_finished_north_z04,Sản lượng thành phẩm theo lô.
production_order_2026_00075,fg_0075,production_lot_2026_00075,2026-02-15,2026-10-13,2274,6,received,production_output_00075,receipt_production_2026_00075,wh_finished_south,wh_finished_south_z05,Sản lượng thành phẩm theo lô.
production_order_2026_00076,fg_0076,production_lot_2026_00076,2026-02-16,2026-10-14,2375,7,received,production_output_00076,receipt_production_2026_00076,wh_finished_north,wh_finished_north_z06,Sản lượng thành phẩm theo lô.
production_order_2026_00077,fg_0077,production_lot_2026_00077,2026-03-16,2026-11-11,2476,8,received,production_output_00077,receipt_production_2026_00077,wh_finished_south,wh_finished_south_z07,Sản lượng thành phẩm theo lô.
production_order_2026_00078,fg_0078,production_lot_2026_00078,2026-03-17,2026-11-12,2577,9,received,production_output_00078,receipt_production_2026_00078,wh_finished_north,wh_finished_north_z08,Sản lượng thành phẩm theo lô.
production_order_2026_00079,fg_0079,production_lot_2026_00079,2026-04-21,2026-12-17,2678,10,received,production_output_00079,receipt_production_2026_00079,wh_finished_south,wh_finished_south_z09,Sản lượng thành phẩm theo lô.
production_order_2026_00080,fg_0080,production_lot_2026_00080,2026-04-22,2026-12-18,2779,11,received,production_output_00080,receipt_production_2026_00080,wh_finished_north,wh_finished_north_z10,Sản lượng thành phẩm theo lô.
production_order_2026_00081,fg_0081,production_lot_2026_00081,2026-05-02,2026-12-28,2880,12,received,production_output_00081,receipt_production_2026_00081,wh_finished_south,wh_finished_south_z01,Sản lượng thành phẩm theo lô.
production_order_2026_00082,fg_0082,production_lot_2026_00082,2026-05-03,2026-12-29,2981,13,received,production_output_00082,receipt_production_2026_00082,wh_finished_north,wh_finished_north_z02,Sản lượng thành phẩm theo lô.
production_order_2026_00083,fg_0083,production_lot_2026_00083,2026-06-07,2027-02-02,3082,14,received,production_output_00083,receipt_production_2026_00083,wh_finished_south,wh_finished_south_z03,Sản lượng thành phẩm theo lô.
production_order_2026_00084,fg_0084,production_lot_2026_00084,2026-06-08,2027-02-03,3183,15,received,production_output_00084,receipt_production_2026_00084,wh_finished_north,wh_finished_north_z04,Sản lượng thành phẩm theo lô.
production_order_2026_00085,fg_0085,production_lot_2026_00085,2026-07-08,2027-03-05,3284,16,received,production_output_00085,receipt_production_2026_00085,wh_finished_south,wh_finished_south_z05,Sản lượng thành phẩm theo lô.
production_order_2026_00086,fg_0086,production_lot_2026_00086,2026-07-09,2027-03-06,3385,0,received,production_output_00086,receipt_production_2026_00086,wh_finished_north,wh_finished_north_z06,Sản lượng thành phẩm theo lô.
production_order_2026_00087,fg_0087,production_lot_2026_00087,2026-08-13,2027-04-10,3486,1,received,production_output_00087,receipt_production_2026_00087,wh_finished_south,wh_finished_south_z07,Sản lượng thành phẩm theo lô.
production_order_2026_00088,fg_0088,production_lot_2026_00088,2026-08-14,2027-04-11,3587,2,received,production_output_00088,receipt_production_2026_00088,wh_finished_north,wh_finished_north_z08,Sản lượng thành phẩm theo lô.
production_order_2026_00089,fg_0089,production_lot_2026_00089,2026-09-14,2027-05-12,3688,3,received,production_output_00089,receipt_production_2026_00089,wh_finished_south,wh_finished_south_z09,Sản lượng thành phẩm theo lô.
production_order_2026_00090,fg_0090,production_lot_2026_00090,2026-09-15,2027-05-13,3789,4,received,production_output_00090,receipt_production_2026_00090,wh_finished_north,wh_finished_north_z10,Sản lượng thành phẩm theo lô.
production_order_2026_00091,fg_0091,production_lot_2026_00091,2026-01-19,2026-09-16,3890,5,received,production_output_00091,receipt_production_2026_00091,wh_finished_south,wh_finished_south_z01,Sản lượng thành phẩm theo lô.
production_order_2026_00092,fg_0092,production_lot_2026_00092,2026-01-20,2026-09-17,3991,6,received,production_output_00092,receipt_production_2026_00092,wh_finished_north,wh_finished_north_z02,Sản lượng thành phẩm theo lô.
production_order_2026_00093,fg_0093,production_lot_2026_00093,2026-02-20,2026-10-18,4092,7,received,production_output_00093,receipt_production_2026_00093,wh_finished_south,wh_finished_south_z03,Sản lượng thành phẩm theo lô.
production_order_2026_00094,fg_0094,production_lot_2026_00094,2026-02-21,2026-10-19,4193,8,received,production_output_00094,receipt_production_2026_00094,wh_finished_north,wh_finished_north_z04,Sản lượng thành phẩm theo lô.
production_order_2026_00095,fg_0095,production_lot_2026_00095,2026-03-05,2026-10-31,4294,9,received,production_output_00095,receipt_production_2026_00095,wh_finished_south,wh_finished_south_z05,Sản lượng thành phẩm theo lô.
production_order_2026_00096,fg_0096,production_lot_2026_00096,2026-03-06,2026-11-01,4395,10,received,production_output_00096,receipt_production_2026_00096,wh_finished_north,wh_finished_north_z06,Sản lượng thành phẩm theo lô.
production_order_2026_00097,fg_0097,production_lot_2026_00097,2026-04-06,2026-12-02,4496,11,received,production_output_00097,receipt_production_2026_00097,wh_finished_south,wh_finished_south_z07,Sản lượng thành phẩm theo lô.
production_order_2026_00098,fg_0098,production_lot_2026_00098,2026-04-07,2026-12-03,4597,12,received,production_output_00098,receipt_production_2026_00098,wh_finished_north,wh_finished_north_z08,Sản lượng thành phẩm theo lô.
production_order_2026_00099,fg_0099,production_lot_2026_00099,2026-05-11,2027-01-06,4698,13,received,production_output_00099,receipt_production_2026_00099,wh_finished_south,wh_finished_south_z09,Sản lượng thành phẩm theo lô.
production_order_2026_00100,fg_0100,production_lot_2026_00100,2026-05-12,2027-01-07,4799,14,received,production_output_00100,receipt_production_2026_00100,wh_finished_north,wh_finished_north_z10,Sản lượng thành phẩm theo lô.
production_order_2026_00101,fg_0101,production_lot_2026_00101,2026-06-12,2027-02-07,4900,15,received,production_output_00101,receipt_production_2026_00101,wh_finished_south,wh_finished_south_z01,Sản lượng thành phẩm theo lô.
production_order_2026_00102,fg_0102,production_lot_2026_00102,2026-06-13,2027-02-08,5001,16,received,production_output_00102,receipt_production_2026_00102,wh_finished_north,wh_finished_north_z02,Sản lượng thành phẩm theo lô.
production_order_2026_00103,fg_0103,production_lot_2026_00103,2026-07-17,2027-03-14,5102,0,received,production_output_00103,receipt_production_2026_00103,wh_finished_south,wh_finished_south_z03,Sản lượng thành phẩm theo lô.
production_order_2026_00104,fg_0104,production_lot_2026_00104,2026-07-18,2027-03-15,5203,1,received,production_output_00104,receipt_production_2026_00104,wh_finished_north,wh_finished_north_z04,Sản lượng thành phẩm theo lô.
production_order_2026_00105,fg_0105,production_lot_2026_00105,2026-08-18,2027-04-15,5304,2,received,production_output_00105,receipt_production_2026_00105,wh_finished_south,wh_finished_south_z05,Sản lượng thành phẩm theo lô.
production_order_2026_00106,fg_0106,production_lot_2026_00106,2026-08-19,2027-04-16,5405,3,received,production_output_00106,receipt_production_2026_00106,wh_finished_north,wh_finished_north_z06,Sản lượng thành phẩm theo lô.
production_order_2026_00107,fg_0107,production_lot_2026_00107,2026-09-23,2027-05-21,5506,4,received,production_output_00107,receipt_production_2026_00107,wh_finished_south,wh_finished_south_z07,Sản lượng thành phẩm theo lô.
production_order_2026_00108,fg_0108,production_lot_2026_00108,2026-09-24,2027-05-22,5607,5,received,production_output_00108,receipt_production_2026_00108,wh_finished_north,wh_finished_north_z08,Sản lượng thành phẩm theo lô.
production_order_2026_00109,fg_0109,production_lot_2026_00109,2026-01-04,2026-09-01,5708,6,received,production_output_00109,receipt_production_2026_00109,wh_finished_south,wh_finished_south_z09,Sản lượng thành phẩm theo lô.
production_order_2026_00110,fg_0110,production_lot_2026_00110,2026-01-05,2026-09-02,5809,7,received,production_output_00110,receipt_production_2026_00110,wh_finished_north,wh_finished_north_z10,Sản lượng thành phẩm theo lô.
production_order_2026_00111,fg_0111,production_lot_2026_00111,2026-02-09,2026-10-07,5910,8,received,production_output_00111,receipt_production_2026_00111,wh_finished_south,wh_finished_south_z01,Sản lượng thành phẩm theo lô.
production_order_2026_00112,fg_0112,production_lot_2026_00112,2026-02-10,2026-10-08,6011,9,received,production_output_00112,receipt_production_2026_00112,wh_finished_north,wh_finished_north_z02,Sản lượng thành phẩm theo lô.
production_order_2026_00113,fg_0113,production_lot_2026_00113,2026-03-10,2026-11-05,6112,10,received,production_output_00113,receipt_production_2026_00113,wh_finished_south,wh_finished_south_z03,Sản lượng thành phẩm theo lô.
production_order_2026_00114,fg_0114,production_lot_2026_00114,2026-03-11,2026-11-06,6213,11,received,production_output_00114,receipt_production_2026_00114,wh_finished_north,wh_finished_north_z04,Sản lượng thành phẩm theo lô.
production_order_2026_00115,fg_0115,production_lot_2026_00115,2026-04-15,2026-12-11,6314,12,received,production_output_00115,receipt_production_2026_00115,wh_finished_south,wh_finished_south_z05,Sản lượng thành phẩm theo lô.
production_order_2026_00116,fg_0116,production_lot_2026_00116,2026-04-16,2026-12-12,6415,13,received,production_output_00116,receipt_production_2026_00116,wh_finished_north,wh_finished_north_z06,Sản lượng thành phẩm theo lô.
production_order_2026_00117,fg_0117,production_lot_2026_00117,2026-05-16,2027-01-11,6516,14,received,production_output_00117,receipt_production_2026_00117,wh_finished_south,wh_finished_south_z07,Sản lượng thành phẩm theo lô.
production_order_2026_00118,fg_0118,production_lot_2026_00118,2026-05-17,2027-01-12,6617,15,received,production_output_00118,receipt_production_2026_00118,wh_finished_north,wh_finished_north_z08,Sản lượng thành phẩm theo lô.
production_order_2026_00119,fg_0119,production_lot_2026_00119,2026-06-21,2027-02-16,6718,16,received,production_output_00119,receipt_production_2026_00119,wh_finished_south,wh_finished_south_z09,Sản lượng thành phẩm theo lô.
production_order_2026_00120,fg_0120,production_lot_2026_00120,2026-06-22,2027-02-17,6819,0,received,production_output_00120,receipt_production_2026_00120,wh_finished_north,wh_finished_north_z10,Sản lượng thành phẩm theo lô.
production_order_2026_00121,fg_0121,production_lot_2026_00121,2026-07-02,2027-02-27,6920,1,received,production_output_00121,receipt_production_2026_00121,wh_finished_south,wh_finished_south_z01,Sản lượng thành phẩm theo lô.
production_order_2026_00122,fg_0122,production_lot_2026_00122,2026-07-03,2027-02-28,7021,2,received,production_output_00122,receipt_production_2026_00122,wh_finished_north,wh_finished_north_z02,Sản lượng thành phẩm theo lô.
production_order_2026_00123,fg_0123,production_lot_2026_00123,2026-08-07,2027-04-04,7122,3,received,production_output_00123,receipt_production_2026_00123,wh_finished_south,wh_finished_south_z03,Sản lượng thành phẩm theo lô.
production_order_2026_00124,fg_0124,production_lot_2026_00124,2026-08-08,2027-04-05,7223,4,received,production_output_00124,receipt_production_2026_00124,wh_finished_north,wh_finished_north_z04,Sản lượng thành phẩm theo lô.
production_order_2026_00125,fg_0125,production_lot_2026_00125,2026-09-08,2027-05-06,7324,5,received,production_output_00125,receipt_production_2026_00125,wh_finished_south,wh_finished_south_z05,Sản lượng thành phẩm theo lô.
production_order_2026_00126,fg_0126,production_lot_2026_00126,2026-09-09,2027-05-07,7425,6,received,production_output_00126,receipt_production_2026_00126,wh_finished_north,wh_finished_north_z06,Sản lượng thành phẩm theo lô.
production_order_2026_00127,fg_0127,production_lot_2026_00127,2026-01-13,2026-09-10,7526,7,received,production_output_00127,receipt_production_2026_00127,wh_finished_south,wh_finished_south_z07,Sản lượng thành phẩm theo lô.
production_order_2026_00128,fg_0128,production_lot_2026_00128,2026-01-14,2026-09-11,7627,8,received,production_output_00128,receipt_production_2026_00128,wh_finished_north,wh_finished_north_z08,Sản lượng thành phẩm theo lô.
production_order_2026_00129,fg_0129,production_lot_2026_00129,2026-02-14,2026-10-12,7728,9,received,production_output_00129,receipt_production_2026_00129,wh_finished_south,wh_finished_south_z09,Sản lượng thành phẩm theo lô.
production_order_2026_00130,fg_0130,production_lot_2026_00130,2026-02-15,2026-10-13,7829,10,received,production_output_00130,receipt_production_2026_00130,wh_finished_north,wh_finished_north_z10,Sản lượng thành phẩm theo lô.
production_order_2026_00131,fg_0131,production_lot_2026_00131,2026-03-19,2026-11-14,7930,11,received,production_output_00131,receipt_production_2026_00131,wh_finished_south,wh_finished_south_z01,Sản lượng thành phẩm theo lô.
production_order_2026_00132,fg_0132,production_lot_2026_00132,2026-03-20,2026-11-15,8031,12,received,production_output_00132,receipt_production_2026_00132,wh_finished_north,wh_finished_north_z02,Sản lượng thành phẩm theo lô.
production_order_2026_00133,fg_0133,production_lot_2026_00133,2026-04-20,2026-12-16,8132,13,received,production_output_00133,receipt_production_2026_00133,wh_finished_south,wh_finished_south_z03,Sản lượng thành phẩm theo lô.
