order_code,material_item_code,inventory_issue_code,inventory_issue_line_number,unit_code,consumed_quantity,consumed_at,idempotency_key,notes
production_order_2026_00020,rm_0224,issue_2026_00020,1,kg,27.84,2026-01-12T10:00:00+07:00,material_consumption_00020_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00020,rm_0225,issue_2026_00020,2,litre,30.72,2026-01-12T11:00:00+07:00,material_consumption_00020_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00022,rm_0283,issue_2026_00022,1,kg,28.83,2026-02-13T10:00:00+07:00,material_consumption_00022_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00022,rm_0284,issue_2026_00022,2,kg,31.62,2026-02-13T11:00:00+07:00,material_consumption_00022_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00023,rm_0284,issue_2026_00023,1,kg,30.08,2026-03-17T10:00:00+07:00,material_consumption_00023_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00023,rm_0285,issue_2026_00023,2,kg,32.9,2026-03-17T11:00:00+07:00,material_consumption_00023_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00025,rm_0307,issue_2026_00025,1,piece,32.64,2026-04-18T10:00:00+07:00,material_consumption_00025_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00025,rm_0308,issue_2026_00025,2,piece,35.52,2026-04-18T11:00:00+07:00,material_consumption_00025_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00027,rm_0015,issue_2026_00027,1,kg,33.48,2026-05-23T10:00:00+07:00,material_consumption_00027_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00027,rm_0016,issue_2026_00027,2,kg,36.27,2026-05-23T11:00:00+07:00,material_consumption_00027_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00028,rm_0027,issue_2026_00028,1,kg,34.78,2026-05-24T10:00:00+07:00,material_consumption_00028_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00028,rm_0028,issue_2026_00028,2,kg,37.6,2026-05-24T11:00:00+07:00,material_consumption_00028_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00030,rm_0005,issue_2026_00030,1,kg,37.44,2026-06-05T10:00:00+07:00,material_consumption_00030_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00030,rm_0039,issue_2026_00030,2,kg,40.32,2026-06-05T11:00:00+07:00,material_consumption_00030_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00032,rm_0053,issue_2026_00032,1,piece,38.13,2026-07-10T10:00:00+07:00,material_consumption_00032_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00032,rm_0087,issue_2026_00032,2,kg,40.92,2026-07-10T11:00:00+07:00,material_consumption_00032_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00033,rm_0065,issue_2026_00033,1,litre,39.48,2026-08-10T10:00:00+07:00,material_consumption_00033_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00033,rm_0099,issue_2026_00033,2,litre,42.3,2026-08-10T11:00:00+07:00,material_consumption_00033_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00035,rm_0076,issue_2026_00035,1,kg,42.24,2026-09-15T10:00:00+07:00,material_consumption_00035_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00035,rm_0077,issue_2026_00035,2,litre,45.12,2026-09-15T11:00:00+07:00,material_consumption_00035_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00037,rm_0135,issue_2026_00037,1,kg,42.78,2026-01-16T10:00:00+07:00,material_consumption_00037_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00037,rm_0136,issue_2026_00037,2,litre,45.57,2026-01-16T11:00:00+07:00,material_consumption_00037_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00038,rm_0136,issue_2026_00038,1,litre,44.18,2026-01-17T10:00:00+07:00,material_consumption_00038_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00038,rm_0137,issue_2026_00038,2,kg,9.4,2026-01-17T11:00:00+07:00,material_consumption_00038_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00040,rm_0160,issue_2026_00040,1,kg,47.04,2026-02-22T10:00:00+07:00,material_consumption_00040_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00040,rm_0161,issue_2026_00040,2,litre,11.52,2026-02-22T11:00:00+07:00,material_consumption_00040_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00042,rm_0149,issue_2026_00042,1,kg,10.23,2026-03-03T10:00:00+07:00,material_consumption_00042_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00042,rm_0183,issue_2026_00042,2,piece,13.02,2026-03-03T11:00:00+07:00,material_consumption_00042_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00043,rm_0196,issue_2026_00043,1,kg,11.28,2026-04-07T10:00:00+07:00,material_consumption_00043_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00043,rm_0197,issue_2026_00043,2,kg,14.1,2026-04-07T11:00:00+07:00,material_consumption_00043_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00045,rm_0209,issue_2026_00045,1,kg,13.44,2026-05-08T10:00:00+07:00,material_consumption_00045_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00045,rm_0243,issue_2026_00045,2,piece,16.32,2026-05-08T11:00:00+07:00,material_consumption_00045_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00047,rm_0233,issue_2026_00047,1,kg,14.88,2026-06-13T10:00:00+07:00,material_consumption_00047_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00047,rm_0267,issue_2026_00047,2,kg,17.67,2026-06-13T11:00:00+07:00,material_consumption_00047_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00048,rm_0267,issue_2026_00048,1,kg,15.98,2026-06-14T10:00:00+07:00,material_consumption_00048_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00048,rm_0268,issue_2026_00048,2,kg,18.8,2026-06-14T11:00:00+07:00,material_consumption_00048_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00050,rm_0256,issue_2026_00050,1,piece,18.24,2026-07-15T10:00:00+07:00,material_consumption_00050_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00050,rm_0257,issue_2026_00050,2,litre,21.12,2026-07-15T11:00:00+07:00,material_consumption_00050_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00052,rm_0304,issue_2026_00052,1,kg,19.53,2026-08-20T10:00:00+07:00,material_consumption_00052_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00052,rm_0305,issue_2026_00052,2,piece,22.32,2026-08-20T11:00:00+07:00,material_consumption_00052_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00053,rm_0316,issue_2026_00053,1,piece,20.68,2026-09-20T10:00:00+07:00,material_consumption_00053_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00053,rm_0317,issue_2026_00053,2,piece,23.5,2026-09-20T11:00:00+07:00,material_consumption_00053_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00055,rm_0023,issue_2026_00055,1,kg,23.04,2026-01-05T10:00:00+07:00,material_consumption_00055_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00055,rm_0024,issue_2026_00055,2,kg,25.92,2026-01-05T11:00:00+07:00,material_consumption_00055_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00057,rm_0037,issue_2026_00057,1,litre,24.18,2026-02-06T10:00:00+07:00,material_consumption_00057_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00057,rm_0071,issue_2026_00057,2,kg,26.97,2026-02-06T11:00:00+07:00,material_consumption_00057_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00058,rm_0047,issue_2026_00058,1,kg,25.38,2026-02-07T10:00:00+07:00,material_consumption_00058_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00058,rm_0048,issue_2026_00058,2,kg,28.2,2026-02-07T11:00:00+07:00,material_consumption_00058_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00060,rm_0061,issue_2026_00060,1,piece,27.84,2026-03-12T10:00:00+07:00,material_consumption_00060_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00060,rm_0095,issue_2026_00060,2,kg,30.72,2026-03-12T11:00:00+07:00,material_consumption_00060_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00062,rm_0084,issue_2026_00062,1,kg,28.83,2026-04-13T10:00:00+07:00,material_consumption_00062_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00062,rm_0085,issue_2026_00062,2,kg,31.62,2026-04-13T11:00:00+07:00,material_consumption_00062_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00063,rm_0085,issue_2026_00063,1,kg,30.08,2026-05-17T10:00:00+07:00,material_consumption_00063_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00063,rm_0119,issue_2026_00063,2,piece,32.9,2026-05-17T11:00:00+07:00,material_consumption_00063_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00065,rm_0144,issue_2026_00065,1,kg,32.64,2026-06-18T10:00:00+07:00,material_consumption_00065_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00065,rm_0145,issue_2026_00065,2,kg,35.52,2026-06-18T11:00:00+07:00,material_consumption_00065_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00067,rm_0155,issue_2026_00067,1,kg,33.48,2026-07-23T10:00:00+07:00,material_consumption_00067_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00067,rm_0156,issue_2026_00067,2,kg,36.27,2026-07-23T11:00:00+07:00,material_consumption_00067_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00068,rm_0168,issue_2026_00068,1,kg,34.78,2026-07-24T10:00:00+07:00,material_consumption_00068_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00068,rm_0169,issue_2026_00068,2,kg,37.6,2026-07-24T11:00:00+07:00,material_consumption_00068_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00070,rm_0215,issue_2026_00070,1,kg,37.44,2026-08-05T10:00:00+07:00,material_consumption_00070_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00070,rm_0216,issue_2026_00070,2,kg,40.32,2026-08-05T11:00:00+07:00,material_consumption_00070_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00072,rm_0193,issue_2026_00072,1,litre,38.13,2026-09-10T10:00:00+07:00,material_consumption_00072_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00072,rm_0227,issue_2026_00072,2,litre,40.92,2026-09-10T11:00:00+07:00,material_consumption_00072_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00073,rm_0239,issue_2026_00073,1,kg,39.48,2026-01-10T10:00:00+07:00,material_consumption_00073_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00073,rm_0240,issue_2026_00073,2,kg,42.3,2026-01-10T11:00:00+07:00,material_consumption_00073_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00075,rm_0253,issue_2026_00075,1,piece,42.24,2026-02-15T10:00:00+07:00,material_consumption_00075_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00075,rm_0287,issue_2026_00075,2,kg,45.12,2026-02-15T11:00:00+07:00,material_consumption_00075_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00077,rm_0276,issue_2026_00077,1,kg,42.78,2026-03-16T10:00:00+07:00,material_consumption_00077_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00077,rm_0277,issue_2026_00077,2,kg,45.57,2026-03-16T11:00:00+07:00,material_consumption_00077_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00078,rm_0277,issue_2026_00078,1,kg,44.18,2026-03-17T10:00:00+07:00,material_consumption_00078_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00078,rm_0311,issue_2026_00078,2,piece,9.4,2026-03-17T11:00:00+07:00,material_consumption_00078_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00080,rm_0300,issue_2026_00080,1,kg,47.04,2026-04-22T10:00:00+07:00,material_consumption_00080_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00080,rm_0301,issue_2026_00080,2,kg,11.52,2026-04-22T11:00:00+07:00,material_consumption_00080_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00082,rm_0031,issue_2026_00082,1,kg,10.23,2026-05-03T10:00:00+07:00,material_consumption_00082_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00082,rm_0032,issue_2026_00082,2,kg,13.02,2026-05-03T11:00:00+07:00,material_consumption_00082_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00083,rm_0032,issue_2026_00083,1,kg,11.28,2026-06-07T10:00:00+07:00,material_consumption_00083_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00083,rm_0033,issue_2026_00083,2,litre,14.1,2026-06-07T11:00:00+07:00,material_consumption_00083_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00085,rm_0091,issue_2026_00085,1,kg,13.44,2026-07-08T10:00:00+07:00,material_consumption_00085_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00085,rm_0092,issue_2026_00085,2,kg,16.32,2026-07-08T11:00:00+07:00,material_consumption_00085_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00087,rm_0069,issue_2026_00087,1,kg,14.88,2026-08-13T10:00:00+07:00,material_consumption_00087_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00087,rm_0103,issue_2026_00087,2,kg,17.67,2026-08-13T11:00:00+07:00,material_consumption_00087_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00088,rm_0079,issue_2026_00088,1,kg,15.98,2026-08-14T10:00:00+07:00,material_consumption_00088_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00088,rm_0080,issue_2026_00088,2,kg,18.8,2026-08-14T11:00:00+07:00,material_consumption_00088_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00090,rm_0129,issue_2026_00090,1,litre,18.24,2026-09-15T10:00:00+07:00,material_consumption_00090_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00090,rm_0163,issue_2026_00090,2,litre,21.12,2026-09-15T11:00:00+07:00,material_consumption_00090_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00092,rm_0140,issue_2026_00092,1,kg,19.53,2026-01-20T10:00:00+07:00,material_consumption_00092_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00092,rm_0141,issue_2026_00092,2,litre,22.32,2026-01-20T11:00:00+07:00,material_consumption_00092_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00093,rm_0117,issue_2026_00093,1,piece,20.68,2026-02-20T10:00:00+07:00,material_consumption_00093_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00093,rm_0151,issue_2026_00093,2,kg,23.5,2026-02-20T11:00:00+07:00,material_consumption_00093_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00095,rm_0200,issue_2026_00095,1,litre,23.04,2026-03-05T10:00:00+07:00,material_consumption_00095_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00095,rm_0201,issue_2026_00095,2,kg,25.92,2026-03-05T11:00:00+07:00,material_consumption_00095_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00097,rm_0187,issue_2026_00097,1,piece,24.18,2026-04-06T10:00:00+07:00,material_consumption_00097_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00097,rm_0188,issue_2026_00097,2,piece,26.97,2026-04-06T11:00:00+07:00,material_consumption_00097_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00098,rm_0188,issue_2026_00098,1,piece,25.38,2026-04-07T10:00:00+07:00,material_consumption_00098_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00098,rm_0189,issue_2026_00098,2,piece,28.2,2026-04-07T11:00:00+07:00,material_consumption_00098_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00100,rm_0247,issue_2026_00100,1,piece,27.84,2026-05-12T10:00:00+07:00,material_consumption_00100_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00100,rm_0248,issue_2026_00100,2,piece,30.72,2026-05-12T11:00:00+07:00,material_consumption_00100_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00102,rm_0225,issue_2026_00102,1,litre,28.83,2026-06-13T10:00:00+07:00,material_consumption_00102_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00102,rm_0259,issue_2026_00102,2,kg,31.62,2026-06-13T11:00:00+07:00,material_consumption_00102_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00103,rm_0307,issue_2026_00103,1,piece,30.08,2026-07-17T10:00:00+07:00,material_consumption_00103_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00103,rm_0308,issue_2026_00103,2,piece,32.9,2026-07-17T11:00:00+07:00,material_consumption_00103_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00105,rm_0285,issue_2026_00105,1,kg,32.64,2026-08-18T10:00:00+07:00,material_consumption_00105_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00105,rm_0319,issue_2026_00105,2,piece,35.52,2026-08-18T11:00:00+07:00,material_consumption_00105_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00107,rm_0296,issue_2026_00107,1,kg,33.48,2026-09-23T10:00:00+07:00,material_consumption_00107_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00107,rm_0297,issue_2026_00107,2,kg,36.27,2026-09-23T11:00:00+07:00,material_consumption_00107_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00108,rm_0033,issue_2026_00108,1,litre,34.78,2026-09-24T10:00:00+07:00,material_consumption_00108_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00108,rm_0067,issue_2026_00108,2,kg,37.6,2026-09-24T11:00:00+07:00,material_consumption_00108_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00110,rm_0009,issue_2026_00110,1,kg,37.44,2026-01-05T10:00:00+07:00,material_consumption_00110_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00110,rm_0043,issue_2026_00110,2,kg,40.32,2026-01-05T11:00:00+07:00,material_consumption_00110_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00112,rm_0103,issue_2026_00112,1,kg,38.13,2026-02-10T10:00:00+07:00,material_consumption_00112_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00112,rm_0104,issue_2026_00112,2,kg,40.92,2026-02-10T11:00:00+07:00,material_consumption_00112_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00113,rm_0104,issue_2026_00113,1,kg,39.48,2026-03-10T10:00:00+07:00,material_consumption_00113_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00113,rm_0105,issue_2026_00113,2,kg,42.3,2026-03-10T11:00:00+07:00,material_consumption_00113_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00115,rm_0091,issue_2026_00115,1,kg,42.24,2026-04-15T10:00:00+07:00,material_consumption_00115_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00115,rm_0092,issue_2026_00115,2,kg,45.12,2026-04-15T11:00:00+07:00,material_consumption_00115_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00117,rm_0141,issue_2026_00117,1,litre,42.78,2026-05-16T10:00:00+07:00,material_consumption_00117_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00117,rm_0175,issue_2026_00117,2,kg,45.57,2026-05-16T11:00:00+07:00,material_consumption_00117_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00118,rm_0116,issue_2026_00118,1,piece,44.18,2026-05-17T10:00:00+07:00,material_consumption_00118_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00118,rm_0117,issue_2026_00118,2,piece,9.4,2026-05-17T11:00:00+07:00,material_consumption_00118_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00120,rm_0129,issue_2026_00120,1,litre,47.04,2026-06-22T10:00:00+07:00,material_consumption_00120_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00120,rm_0163,issue_2026_00120,2,litre,11.52,2026-06-22T11:00:00+07:00,material_consumption_00120_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00122,rm_0164,issue_2026_00122,1,litre,10.23,2026-07-03T10:00:00+07:00,material_consumption_00122_1,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
production_order_2026_00122,rm_0165,issue_2026_00122,2,litre,13.02,2026-07-03T11:00:00+07:00,material_consumption_00122_2,Tiêu hao thực tế đã đối chiếu với phiếu xuất vật tư.
