order_code,event_type,previous_status,new_status,note,occurred_at,idempotency_key
production_order_2026_00020,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-01-12T16:00:00+07:00,order_event_progress_00020
production_order_2026_00021,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-02-10T08:00:00+07:00,order_event_status_00021
production_order_2026_00021,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-02-12T16:00:00+07:00,order_event_progress_00021
production_order_2026_00022,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-02-11T08:00:00+07:00,order_event_status_00022
production_order_2026_00022,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-02-13T16:00:00+07:00,order_event_progress_00022
production_order_2026_00023,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-03-15T08:00:00+07:00,order_event_status_00023
production_order_2026_00023,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-03-17T16:00:00+07:00,order_event_progress_00023
production_order_2026_00024,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-03-16T08:00:00+07:00,order_event_status_00024
production_order_2026_00024,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-03-18T16:00:00+07:00,order_event_progress_00024
production_order_2026_00025,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-04-16T08:00:00+07:00,order_event_status_00025
production_order_2026_00025,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-04-18T16:00:00+07:00,order_event_progress_00025
production_order_2026_00026,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-04-17T08:00:00+07:00,order_event_status_00026
production_order_2026_00026,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-04-19T16:00:00+07:00,order_event_progress_00026
production_order_2026_00027,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-05-21T08:00:00+07:00,order_event_status_00027
production_order_2026_00027,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-05-23T16:00:00+07:00,order_event_progress_00027
production_order_2026_00028,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-05-22T08:00:00+07:00,order_event_status_00028
production_order_2026_00028,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-05-24T16:00:00+07:00,order_event_progress_00028
production_order_2026_00029,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-06-02T08:00:00+07:00,order_event_status_00029
production_order_2026_00029,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-06-04T16:00:00+07:00,order_event_progress_00029
production_order_2026_00030,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-06-03T08:00:00+07:00,order_event_status_00030
production_order_2026_00030,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-06-05T16:00:00+07:00,order_event_progress_00030
production_order_2026_00031,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-07-07T08:00:00+07:00,order_event_status_00031
production_order_2026_00031,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-07-09T16:00:00+07:00,order_event_progress_00031
production_order_2026_00032,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-07-08T08:00:00+07:00,order_event_status_00032
production_order_2026_00032,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-07-10T16:00:00+07:00,order_event_progress_00032
production_order_2026_00033,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-08-08T08:00:00+07:00,order_event_status_00033
production_order_2026_00033,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-08-10T16:00:00+07:00,order_event_progress_00033
production_order_2026_00034,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-08-09T08:00:00+07:00,order_event_status_00034
production_order_2026_00034,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-08-11T16:00:00+07:00,order_event_progress_00034
production_order_2026_00035,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-09-13T08:00:00+07:00,order_event_status_00035
production_order_2026_00035,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-09-15T16:00:00+07:00,order_event_progress_00035
production_order_2026_00036,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-09-14T08:00:00+07:00,order_event_status_00036
production_order_2026_00036,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-09-16T16:00:00+07:00,order_event_progress_00036
production_order_2026_00037,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-01-14T08:00:00+07:00,order_event_status_00037
production_order_2026_00037,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-01-16T16:00:00+07:00,order_event_progress_00037
production_order_2026_00038,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-01-15T08:00:00+07:00,order_event_status_00038
production_order_2026_00038,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-01-17T16:00:00+07:00,order_event_progress_00038
production_order_2026_00039,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-02-19T08:00:00+07:00,order_event_status_00039
production_order_2026_00039,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-02-21T16:00:00+07:00,order_event_progress_00039
production_order_2026_00040,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-02-20T08:00:00+07:00,order_event_status_00040
production_order_2026_00040,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-02-22T16:00:00+07:00,order_event_progress_00040
production_order_2026_00041,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-02-28T08:00:00+07:00,order_event_status_00041
production_order_2026_00041,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-03-02T16:00:00+07:00,order_event_progress_00041
production_order_2026_00042,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-03-01T08:00:00+07:00,order_event_status_00042
production_order_2026_00042,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-03-03T16:00:00+07:00,order_event_progress_00042
production_order_2026_00043,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-04-05T08:00:00+07:00,order_event_status_00043
production_order_2026_00043,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-04-07T16:00:00+07:00,order_event_progress_00043
production_order_2026_00044,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-04-06T08:00:00+07:00,order_event_status_00044
production_order_2026_00044,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-04-08T16:00:00+07:00,order_event_progress_00044
production_order_2026_00045,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-05-06T08:00:00+07:00,order_event_status_00045
production_order_2026_00045,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-05-08T16:00:00+07:00,order_event_progress_00045
production_order_2026_00046,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-05-07T08:00:00+07:00,order_event_status_00046
production_order_2026_00046,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-05-09T16:00:00+07:00,order_event_progress_00046
production_order_2026_00047,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-06-11T08:00:00+07:00,order_event_status_00047
production_order_2026_00047,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-06-13T16:00:00+07:00,order_event_progress_00047
production_order_2026_00048,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-06-12T08:00:00+07:00,order_event_status_00048
production_order_2026_00048,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-06-14T16:00:00+07:00,order_event_progress_00048
production_order_2026_00049,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-07-12T08:00:00+07:00,order_event_status_00049
production_order_2026_00049,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-07-14T16:00:00+07:00,order_event_progress_00049
production_order_2026_00050,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-07-13T08:00:00+07:00,order_event_status_00050
production_order_2026_00050,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-07-15T16:00:00+07:00,order_event_progress_00050
production_order_2026_00051,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-08-17T08:00:00+07:00,order_event_status_00051
production_order_2026_00051,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-08-19T16:00:00+07:00,order_event_progress_00051
production_order_2026_00052,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-08-18T08:00:00+07:00,order_event_status_00052
production_order_2026_00052,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-08-20T16:00:00+07:00,order_event_progress_00052
production_order_2026_00053,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-09-18T08:00:00+07:00,order_event_status_00053
production_order_2026_00053,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-09-20T16:00:00+07:00,order_event_progress_00053
production_order_2026_00054,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-09-19T08:00:00+07:00,order_event_status_00054
production_order_2026_00054,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-09-21T16:00:00+07:00,order_event_progress_00054
production_order_2026_00055,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-01-03T08:00:00+07:00,order_event_status_00055
production_order_2026_00055,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-01-05T16:00:00+07:00,order_event_progress_00055
production_order_2026_00056,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-01-04T08:00:00+07:00,order_event_status_00056
production_order_2026_00056,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-01-06T16:00:00+07:00,order_event_progress_00056
production_order_2026_00057,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-02-04T08:00:00+07:00,order_event_status_00057
production_order_2026_00057,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-02-06T16:00:00+07:00,order_event_progress_00057
production_order_2026_00058,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-02-05T08:00:00+07:00,order_event_status_00058
production_order_2026_00058,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-02-07T16:00:00+07:00,order_event_progress_00058
production_order_2026_00059,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-03-09T08:00:00+07:00,order_event_status_00059
production_order_2026_00059,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-03-11T16:00:00+07:00,order_event_progress_00059
production_order_2026_00060,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-03-10T08:00:00+07:00,order_event_status_00060
production_order_2026_00060,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-03-12T16:00:00+07:00,order_event_progress_00060
production_order_2026_00061,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-04-10T08:00:00+07:00,order_event_status_00061
production_order_2026_00061,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-04-12T16:00:00+07:00,order_event_progress_00061
production_order_2026_00062,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-04-11T08:00:00+07:00,order_event_status_00062
production_order_2026_00062,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-04-13T16:00:00+07:00,order_event_progress_00062
production_order_2026_00063,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-05-15T08:00:00+07:00,order_event_status_00063
production_order_2026_00063,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-05-17T16:00:00+07:00,order_event_progress_00063
production_order_2026_00064,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-05-16T08:00:00+07:00,order_event_status_00064
production_order_2026_00064,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-05-18T16:00:00+07:00,order_event_progress_00064
production_order_2026_00065,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-06-16T08:00:00+07:00,order_event_status_00065
production_order_2026_00065,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-06-18T16:00:00+07:00,order_event_progress_00065
production_order_2026_00066,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-06-17T08:00:00+07:00,order_event_status_00066
production_order_2026_00066,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-06-19T16:00:00+07:00,order_event_progress_00066
production_order_2026_00067,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-07-21T08:00:00+07:00,order_event_status_00067
production_order_2026_00067,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-07-23T16:00:00+07:00,order_event_progress_00067
production_order_2026_00068,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-07-22T08:00:00+07:00,order_event_status_00068
production_order_2026_00068,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-07-24T16:00:00+07:00,order_event_progress_00068
production_order_2026_00069,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-08-02T08:00:00+07:00,order_event_status_00069
production_order_2026_00069,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-08-04T16:00:00+07:00,order_event_progress_00069
production_order_2026_00070,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-08-03T08:00:00+07:00,order_event_status_00070
production_order_2026_00070,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-08-05T16:00:00+07:00,order_event_progress_00070
production_order_2026_00071,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-09-07T08:00:00+07:00,order_event_status_00071
production_order_2026_00071,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-09-09T16:00:00+07:00,order_event_progress_00071
production_order_2026_00072,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-09-08T08:00:00+07:00,order_event_status_00072
production_order_2026_00072,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-09-10T16:00:00+07:00,order_event_progress_00072
production_order_2026_00073,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-01-08T08:00:00+07:00,order_event_status_00073
production_order_2026_00073,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-01-10T16:00:00+07:00,order_event_progress_00073
production_order_2026_00074,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-01-09T08:00:00+07:00,order_event_status_00074
production_order_2026_00074,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-01-11T16:00:00+07:00,order_event_progress_00074
production_order_2026_00075,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-02-13T08:00:00+07:00,order_event_status_00075
production_order_2026_00075,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-02-15T16:00:00+07:00,order_event_progress_00075
production_order_2026_00076,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-02-14T08:00:00+07:00,order_event_status_00076
production_order_2026_00076,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-02-16T16:00:00+07:00,order_event_progress_00076
production_order_2026_00077,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-03-14T08:00:00+07:00,order_event_status_00077
production_order_2026_00077,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-03-16T16:00:00+07:00,order_event_progress_00077
production_order_2026_00078,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-03-15T08:00:00+07:00,order_event_status_00078
production_order_2026_00078,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-03-17T16:00:00+07:00,order_event_progress_00078
production_order_2026_00079,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-04-19T08:00:00+07:00,order_event_status_00079
production_order_2026_00079,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-04-21T16:00:00+07:00,order_event_progress_00079
production_order_2026_00080,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-04-20T08:00:00+07:00,order_event_status_00080
production_order_2026_00080,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-04-22T16:00:00+07:00,order_event_progress_00080
production_order_2026_00081,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-04-30T08:00:00+07:00,order_event_status_00081
production_order_2026_00081,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-05-02T16:00:00+07:00,order_event_progress_00081
production_order_2026_00082,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-05-01T08:00:00+07:00,order_event_status_00082
production_order_2026_00082,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-05-03T16:00:00+07:00,order_event_progress_00082
production_order_2026_00083,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-06-05T08:00:00+07:00,order_event_status_00083
production_order_2026_00083,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-06-07T16:00:00+07:00,order_event_progress_00083
production_order_2026_00084,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-06-06T08:00:00+07:00,order_event_status_00084
production_order_2026_00084,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-06-08T16:00:00+07:00,order_event_progress_00084
production_order_2026_00085,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-07-06T08:00:00+07:00,order_event_status_00085
production_order_2026_00085,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-07-08T16:00:00+07:00,order_event_progress_00085
production_order_2026_00086,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-07-07T08:00:00+07:00,order_event_status_00086
production_order_2026_00086,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-07-09T16:00:00+07:00,order_event_progress_00086
production_order_2026_00087,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-08-11T08:00:00+07:00,order_event_status_00087
production_order_2026_00087,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-08-13T16:00:00+07:00,order_event_progress_00087
production_order_2026_00088,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-08-12T08:00:00+07:00,order_event_status_00088
production_order_2026_00088,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-08-14T16:00:00+07:00,order_event_progress_00088
production_order_2026_00089,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-09-12T08:00:00+07:00,order_event_status_00089
production_order_2026_00089,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-09-14T16:00:00+07:00,order_event_progress_00089
production_order_2026_00090,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-09-13T08:00:00+07:00,order_event_status_00090
production_order_2026_00090,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-09-15T16:00:00+07:00,order_event_progress_00090
production_order_2026_00091,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-01-17T08:00:00+07:00,order_event_status_00091
production_order_2026_00091,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-01-19T16:00:00+07:00,order_event_progress_00091
production_order_2026_00092,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-01-18T08:00:00+07:00,order_event_status_00092
production_order_2026_00092,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-01-20T16:00:00+07:00,order_event_progress_00092
production_order_2026_00093,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-02-18T08:00:00+07:00,order_event_status_00093
production_order_2026_00093,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-02-20T16:00:00+07:00,order_event_progress_00093
production_order_2026_00094,status_changed,draft,completed,Tạo và cập nhật lệnh theo kế hoạch.,2026-02-19T08:00:00+07:00,order_event_status_00094
production_order_2026_00094,progress_note,completed,completed,Đã cập nhật tiến độ ca sản xuất.,2026-02-21T16:00:00+07:00,order_event_progress_00094
production_order_2026_00095,status_changed,draft,paused,Tạo và cập nhật lệnh theo kế hoạch.,2026-03-03T08:00:00+07:00,order_event_status_00095
production_order_2026_00095,progress_note,paused,paused,Đã cập nhật tiến độ ca sản xuất.,2026-03-05T16:00:00+07:00,order_event_progress_00095
production_order_2026_00096,status_changed,draft,planned,Tạo và cập nhật lệnh theo kế hoạch.,2026-03-04T08:00:00+07:00,order_event_status_00096
production_order_2026_00096,progress_note,planned,planned,Đã cập nhật tiến độ ca sản xuất.,2026-03-06T16:00:00+07:00,order_event_progress_00096
production_order_2026_00097,status_changed,draft,released,Tạo và cập nhật lệnh theo kế hoạch.,2026-04-04T08:00:00+07:00,order_event_status_00097
production_order_2026_00097,progress_note,released,released,Đã cập nhật tiến độ ca sản xuất.,2026-04-06T16:00:00+07:00,order_event_progress_00097
production_order_2026_00098,status_changed,draft,in_progress,Tạo và cập nhật lệnh theo kế hoạch.,2026-04-05T08:00:00+07:00,order_event_status_00098
production_order_2026_00098,progress_note,in_progress,in_progress,Đã cập nhật tiến độ ca sản xuất.,2026-04-07T16:00:00+07:00,order_event_progress_00098
