bom_code,item_code,version_number,base_quantity,unit_code,valid_from,valid_to,status,notes
bom_fg_0137,fg_0137,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0138,fg_0138,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0139,fg_0139,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0140,fg_0140,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0141,fg_0141,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0142,fg_0142,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0143,fg_0143,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0144,fg_0144,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0145,fg_0145,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0146,fg_0146,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0147,fg_0147,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0148,fg_0148,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0149,fg_0149,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0150,fg_0150,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0151,fg_0151,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0152,fg_0152,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0153,fg_0153,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0154,fg_0154,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0155,fg_0155,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0156,fg_0156,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0157,fg_0157,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0158,fg_0158,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0159,fg_0159,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0160,fg_0160,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0161,fg_0161,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0162,fg_0162,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0163,fg_0163,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0164,fg_0164,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0165,fg_0165,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0166,fg_0166,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0167,fg_0167,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0168,fg_0168,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0169,fg_0169,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0170,fg_0170,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0171,fg_0171,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0172,fg_0172,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0173,fg_0173,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0174,fg_0174,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0175,fg_0175,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0176,fg_0176,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0177,fg_0177,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0178,fg_0178,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0179,fg_0179,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0180,fg_0180,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0181,fg_0181,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0182,fg_0182,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0183,fg_0183,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0184,fg_0184,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0185,fg_0185,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0186,fg_0186,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0187,fg_0187,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0188,fg_0188,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0189,fg_0189,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0190,fg_0190,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0191,fg_0191,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0192,fg_0192,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0193,fg_0193,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0194,fg_0194,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0195,fg_0195,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0196,fg_0196,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0197,fg_0197,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0198,fg_0198,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0199,fg_0199,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
bom_fg_0200,fg_0200,1,1000,piece,2025-01-01,,active,Định mức mô phỏng cho một nghìn đơn vị thành phẩm.
