plan_code,plan_name,planned_on,starts_on,ends_on,status,notes
plan_2026_0015,Kế hoạch sản xuất tuần 015,2026-05-20,2026-06-03,2026-06-09,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0016,Kế hoạch sản xuất tuần 016,2026-06-22,2026-07-06,2026-07-12,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0017,Kế hoạch sản xuất tuần 017,2026-07-26,2026-08-09,2026-08-15,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0018,Kế hoạch sản xuất tuần 018,2026-08-29,2026-09-12,2026-09-18,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0019,Kế hoạch sản xuất tuần 019,2026-01-01,2026-01-15,2026-01-21,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0020,Kế hoạch sản xuất tuần 020,2026-02-04,2026-02-18,2026-02-24,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0021,Kế hoạch sản xuất tuần 021,2026-02-15,2026-03-01,2026-03-07,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0022,Kế hoạch sản xuất tuần 022,2026-03-21,2026-04-04,2026-04-10,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0023,Kế hoạch sản xuất tuần 023,2026-04-23,2026-05-07,2026-05-13,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0024,Kế hoạch sản xuất tuần 024,2026-05-27,2026-06-10,2026-06-16,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0025,Kế hoạch sản xuất tuần 025,2026-06-29,2026-07-13,2026-07-19,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0026,Kế hoạch sản xuất tuần 026,2026-08-02,2026-08-16,2026-08-22,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0027,Kế hoạch sản xuất tuần 027,2026-09-05,2026-09-19,2026-09-25,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0028,Kế hoạch sản xuất tuần 028,2025-12-19,2026-01-02,2026-01-08,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0029,Kế hoạch sản xuất tuần 029,2026-01-22,2026-02-05,2026-02-11,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0030,Kế hoạch sản xuất tuần 030,2026-02-22,2026-03-08,2026-03-14,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0031,Kế hoạch sản xuất tuần 031,2026-03-28,2026-04-11,2026-04-17,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0032,Kế hoạch sản xuất tuần 032,2026-04-30,2026-05-14,2026-05-20,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0033,Kế hoạch sản xuất tuần 033,2026-06-03,2026-06-17,2026-06-23,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0034,Kế hoạch sản xuất tuần 034,2026-07-06,2026-07-20,2026-07-26,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0035,Kế hoạch sản xuất tuần 035,2026-07-20,2026-08-03,2026-08-09,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0036,Kế hoạch sản xuất tuần 036,2026-08-23,2026-09-06,2026-09-12,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0037,Kế hoạch sản xuất tuần 037,2025-12-26,2026-01-09,2026-01-15,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0038,Kế hoạch sản xuất tuần 038,2026-01-29,2026-02-12,2026-02-18,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0039,Kế hoạch sản xuất tuần 039,2026-03-01,2026-03-15,2026-03-21,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0040,Kế hoạch sản xuất tuần 040,2026-04-04,2026-04-18,2026-04-24,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0041,Kế hoạch sản xuất tuần 041,2026-04-17,2026-05-01,2026-05-07,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0042,Kế hoạch sản xuất tuần 042,2026-05-21,2026-06-04,2026-06-10,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0043,Kế hoạch sản xuất tuần 043,2026-06-23,2026-07-07,2026-07-13,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0044,Kế hoạch sản xuất tuần 044,2026-07-27,2026-08-10,2026-08-16,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0045,Kế hoạch sản xuất tuần 045,2026-08-30,2026-09-13,2026-09-19,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0046,Kế hoạch sản xuất tuần 046,2026-01-02,2026-01-16,2026-01-22,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0047,Kế hoạch sản xuất tuần 047,2026-02-05,2026-02-19,2026-02-25,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0048,Kế hoạch sản xuất tuần 048,2026-02-16,2026-03-02,2026-03-08,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0049,Kế hoạch sản xuất tuần 049,2026-03-22,2026-04-05,2026-04-11,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0050,Kế hoạch sản xuất tuần 050,2026-04-24,2026-05-08,2026-05-14,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0051,Kế hoạch sản xuất tuần 051,2026-05-28,2026-06-11,2026-06-17,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0052,Kế hoạch sản xuất tuần 052,2026-06-30,2026-07-14,2026-07-20,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0053,Kế hoạch sản xuất tuần 053,2026-08-03,2026-08-17,2026-08-23,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0054,Kế hoạch sản xuất tuần 054,2026-09-06,2026-09-20,2026-09-26,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0055,Kế hoạch sản xuất tuần 055,2025-12-20,2026-01-03,2026-01-09,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0056,Kế hoạch sản xuất tuần 056,2026-01-23,2026-02-06,2026-02-12,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0057,Kế hoạch sản xuất tuần 057,2026-02-23,2026-03-09,2026-03-15,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0058,Kế hoạch sản xuất tuần 058,2026-03-29,2026-04-12,2026-04-18,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0059,Kế hoạch sản xuất tuần 059,2026-05-01,2026-05-15,2026-05-21,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0060,Kế hoạch sản xuất tuần 060,2026-06-04,2026-06-18,2026-06-24,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0061,Kế hoạch sản xuất tuần 061,2026-06-17,2026-07-01,2026-07-07,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0062,Kế hoạch sản xuất tuần 062,2026-07-21,2026-08-04,2026-08-10,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0063,Kế hoạch sản xuất tuần 063,2026-08-24,2026-09-07,2026-09-13,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0064,Kế hoạch sản xuất tuần 064,2025-12-27,2026-01-10,2026-01-16,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0065,Kế hoạch sản xuất tuần 065,2026-01-30,2026-02-13,2026-02-19,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0066,Kế hoạch sản xuất tuần 066,2026-03-02,2026-03-16,2026-03-22,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0067,Kế hoạch sản xuất tuần 067,2026-04-05,2026-04-19,2026-04-25,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0068,Kế hoạch sản xuất tuần 068,2026-04-18,2026-05-02,2026-05-08,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0069,Kế hoạch sản xuất tuần 069,2026-05-22,2026-06-05,2026-06-11,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0070,Kế hoạch sản xuất tuần 070,2026-06-24,2026-07-08,2026-07-14,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0071,Kế hoạch sản xuất tuần 071,2026-07-28,2026-08-11,2026-08-17,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0072,Kế hoạch sản xuất tuần 072,2026-08-31,2026-09-14,2026-09-20,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0073,Kế hoạch sản xuất tuần 073,2026-01-03,2026-01-17,2026-01-23,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0074,Kế hoạch sản xuất tuần 074,2026-02-06,2026-02-20,2026-02-26,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0075,Kế hoạch sản xuất tuần 075,2026-02-17,2026-03-03,2026-03-09,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0076,Kế hoạch sản xuất tuần 076,2026-03-23,2026-04-06,2026-04-12,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0077,Kế hoạch sản xuất tuần 077,2026-04-25,2026-05-09,2026-05-15,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0078,Kế hoạch sản xuất tuần 078,2026-05-29,2026-06-12,2026-06-18,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0079,Kế hoạch sản xuất tuần 079,2026-07-01,2026-07-15,2026-07-21,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0080,Kế hoạch sản xuất tuần 080,2026-08-04,2026-08-18,2026-08-24,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0081,Kế hoạch sản xuất tuần 081,2026-08-18,2026-09-01,2026-09-07,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0082,Kế hoạch sản xuất tuần 082,2025-12-21,2026-01-04,2026-01-10,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0083,Kế hoạch sản xuất tuần 083,2026-01-24,2026-02-07,2026-02-13,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0084,Kế hoạch sản xuất tuần 084,2026-02-24,2026-03-10,2026-03-16,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0085,Kế hoạch sản xuất tuần 085,2026-03-30,2026-04-13,2026-04-19,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0086,Kế hoạch sản xuất tuần 086,2026-05-02,2026-05-16,2026-05-22,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0087,Kế hoạch sản xuất tuần 087,2026-06-05,2026-06-19,2026-06-25,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0088,Kế hoạch sản xuất tuần 088,2026-06-18,2026-07-02,2026-07-08,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0089,Kế hoạch sản xuất tuần 089,2026-07-22,2026-08-05,2026-08-11,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0090,Kế hoạch sản xuất tuần 090,2026-08-25,2026-09-08,2026-09-14,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0091,Kế hoạch sản xuất tuần 091,2025-12-28,2026-01-11,2026-01-17,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0092,Kế hoạch sản xuất tuần 092,2026-01-31,2026-02-14,2026-02-20,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0093,Kế hoạch sản xuất tuần 093,2026-03-03,2026-03-17,2026-03-23,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0094,Kế hoạch sản xuất tuần 094,2026-04-06,2026-04-20,2026-04-26,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0095,Kế hoạch sản xuất tuần 095,2026-04-19,2026-05-03,2026-05-09,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0096,Kế hoạch sản xuất tuần 096,2026-05-23,2026-06-06,2026-06-12,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0097,Kế hoạch sản xuất tuần 097,2026-06-25,2026-07-09,2026-07-15,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0098,Kế hoạch sản xuất tuần 098,2026-07-29,2026-08-12,2026-08-18,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0099,Kế hoạch sản xuất tuần 099,2026-09-01,2026-09-15,2026-09-21,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0100,Kế hoạch sản xuất tuần 100,2026-01-04,2026-01-18,2026-01-24,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0101,Kế hoạch sản xuất tuần 101,2026-01-18,2026-02-01,2026-02-07,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0102,Kế hoạch sản xuất tuần 102,2026-02-18,2026-03-04,2026-03-10,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0103,Kế hoạch sản xuất tuần 103,2026-03-24,2026-04-07,2026-04-13,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0104,Kế hoạch sản xuất tuần 104,2026-04-26,2026-05-10,2026-05-16,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0105,Kế hoạch sản xuất tuần 105,2026-05-30,2026-06-13,2026-06-19,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0106,Kế hoạch sản xuất tuần 106,2026-07-02,2026-07-16,2026-07-22,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0107,Kế hoạch sản xuất tuần 107,2026-08-05,2026-08-19,2026-08-25,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0108,Kế hoạch sản xuất tuần 108,2026-08-19,2026-09-02,2026-09-08,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0109,Kế hoạch sản xuất tuần 109,2025-12-22,2026-01-05,2026-01-11,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0110,Kế hoạch sản xuất tuần 110,2026-01-25,2026-02-08,2026-02-14,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0111,Kế hoạch sản xuất tuần 111,2026-02-25,2026-03-11,2026-03-17,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0112,Kế hoạch sản xuất tuần 112,2026-03-31,2026-04-14,2026-04-20,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0113,Kế hoạch sản xuất tuần 113,2026-05-03,2026-05-17,2026-05-23,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0114,Kế hoạch sản xuất tuần 114,2026-06-06,2026-06-20,2026-06-26,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0115,Kế hoạch sản xuất tuần 115,2026-06-19,2026-07-03,2026-07-09,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0116,Kế hoạch sản xuất tuần 116,2026-07-23,2026-08-06,2026-08-12,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0117,Kế hoạch sản xuất tuần 117,2026-08-26,2026-09-09,2026-09-15,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0118,Kế hoạch sản xuất tuần 118,2025-12-29,2026-01-12,2026-01-18,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0119,Kế hoạch sản xuất tuần 119,2026-02-01,2026-02-15,2026-02-21,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0120,Kế hoạch sản xuất tuần 120,2026-03-04,2026-03-18,2026-03-24,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0121,Kế hoạch sản xuất tuần 121,2026-03-18,2026-04-01,2026-04-07,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0122,Kế hoạch sản xuất tuần 122,2026-04-20,2026-05-04,2026-05-10,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0123,Kế hoạch sản xuất tuần 123,2026-05-24,2026-06-07,2026-06-13,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0124,Kế hoạch sản xuất tuần 124,2026-06-26,2026-07-10,2026-07-16,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0125,Kế hoạch sản xuất tuần 125,2026-07-30,2026-08-13,2026-08-19,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0126,Kế hoạch sản xuất tuần 126,2026-09-02,2026-09-16,2026-09-22,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0127,Kế hoạch sản xuất tuần 127,2026-01-05,2026-01-19,2026-01-25,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0128,Kế hoạch sản xuất tuần 128,2026-01-19,2026-02-02,2026-02-08,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0129,Kế hoạch sản xuất tuần 129,2026-02-19,2026-03-05,2026-03-11,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0130,Kế hoạch sản xuất tuần 130,2026-03-25,2026-04-08,2026-04-14,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0131,Kế hoạch sản xuất tuần 131,2026-04-27,2026-05-11,2026-05-17,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0132,Kế hoạch sản xuất tuần 132,2026-05-31,2026-06-14,2026-06-20,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0133,Kế hoạch sản xuất tuần 133,2026-07-03,2026-07-17,2026-07-23,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0134,Kế hoạch sản xuất tuần 134,2026-08-06,2026-08-20,2026-08-26,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0135,Kế hoạch sản xuất tuần 135,2026-08-20,2026-09-03,2026-09-09,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0136,Kế hoạch sản xuất tuần 136,2025-12-23,2026-01-06,2026-01-12,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0137,Kế hoạch sản xuất tuần 137,2026-01-26,2026-02-09,2026-02-15,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0138,Kế hoạch sản xuất tuần 138,2026-02-26,2026-03-12,2026-03-18,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0139,Kế hoạch sản xuất tuần 139,2026-04-01,2026-04-15,2026-04-21,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0140,Kế hoạch sản xuất tuần 140,2026-05-04,2026-05-18,2026-05-24,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0141,Kế hoạch sản xuất tuần 141,2026-05-18,2026-06-01,2026-06-07,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0142,Kế hoạch sản xuất tuần 142,2026-06-20,2026-07-04,2026-07-10,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0143,Kế hoạch sản xuất tuần 143,2026-07-24,2026-08-07,2026-08-13,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0144,Kế hoạch sản xuất tuần 144,2026-08-27,2026-09-10,2026-09-16,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0145,Kế hoạch sản xuất tuần 145,2025-12-30,2026-01-13,2026-01-19,approved,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0146,Kế hoạch sản xuất tuần 146,2026-02-02,2026-02-16,2026-02-22,released,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0147,Kế hoạch sản xuất tuần 147,2026-03-05,2026-03-19,2026-03-25,completed,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
plan_2026_0148,Kế hoạch sản xuất tuần 148,2026-03-19,2026-04-02,2026-04-08,draft,"Kế hoạch lập theo nhu cầu phân phối, tồn an toàn và năng lực dây chuyền."
