plan_code,line_number,item_code,unit_code,target_quantity,required_on,notes
plan_2026_0009,1,fg_0017,piece,11688,2026-09-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0009,2,fg_0018,piece,12688,2026-09-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0010,1,fg_0019,piece,11899,2026-01-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0010,2,fg_0020,piece,12899,2026-01-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0011,1,fg_0021,piece,12110,2026-02-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0011,2,fg_0022,piece,13110,2026-02-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0012,1,fg_0023,piece,12321,2026-03-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0012,2,fg_0024,piece,13321,2026-03-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0013,1,fg_0025,piece,12532,2026-04-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0013,2,fg_0026,piece,13532,2026-04-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0014,1,fg_0027,piece,12743,2026-05-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0014,2,fg_0028,piece,13743,2026-05-26,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0015,1,fg_0029,piece,12954,2026-06-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0015,2,fg_0030,piece,13954,2026-06-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0016,1,fg_0031,piece,13165,2026-07-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0016,2,fg_0032,piece,14165,2026-07-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0017,1,fg_0033,piece,13376,2026-08-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0017,2,fg_0034,piece,14376,2026-08-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0018,1,fg_0035,piece,13587,2026-09-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0018,2,fg_0036,piece,14587,2026-09-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0019,1,fg_0037,piece,13798,2026-01-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0019,2,fg_0038,piece,14798,2026-01-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0020,1,fg_0039,piece,14009,2026-02-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0020,2,fg_0040,piece,15009,2026-02-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0021,1,fg_0041,piece,14220,2026-03-06,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0021,2,fg_0042,piece,15220,2026-03-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0022,1,fg_0043,piece,14431,2026-04-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0022,2,fg_0044,piece,15431,2026-04-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0023,1,fg_0045,piece,14642,2026-05-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0023,2,fg_0046,piece,15642,2026-05-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0024,1,fg_0047,piece,14853,2026-06-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0024,2,fg_0048,piece,15853,2026-06-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0025,1,fg_0049,piece,15064,2026-07-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0025,2,fg_0050,piece,16064,2026-07-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0026,1,fg_0051,piece,15275,2026-08-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0026,2,fg_0052,piece,16275,2026-08-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0027,1,fg_0053,piece,15486,2026-09-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0027,2,fg_0054,piece,16486,2026-09-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0028,1,fg_0055,piece,15697,2026-01-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0028,2,fg_0056,piece,16697,2026-01-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0029,1,fg_0057,piece,15908,2026-02-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0029,2,fg_0058,piece,16908,2026-02-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0030,1,fg_0059,piece,16119,2026-03-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0030,2,fg_0060,piece,17119,2026-03-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0031,1,fg_0061,piece,16330,2026-04-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0031,2,fg_0062,piece,17330,2026-04-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0032,1,fg_0063,piece,16541,2026-05-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0032,2,fg_0064,piece,17541,2026-05-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0033,1,fg_0065,piece,16752,2026-06-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0033,2,fg_0066,piece,17752,2026-06-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0034,1,fg_0067,piece,16963,2026-07-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0034,2,fg_0068,piece,17963,2026-07-26,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0035,1,fg_0069,piece,17174,2026-08-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0035,2,fg_0070,piece,18174,2026-08-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0036,1,fg_0071,piece,17385,2026-09-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0036,2,fg_0072,piece,18385,2026-09-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0037,1,fg_0073,piece,17596,2026-01-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0037,2,fg_0074,piece,18596,2026-01-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0038,1,fg_0075,piece,17807,2026-02-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0038,2,fg_0076,piece,18807,2026-02-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0039,1,fg_0077,piece,18018,2026-03-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0039,2,fg_0078,piece,19018,2026-03-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0040,1,fg_0079,piece,18229,2026-04-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0040,2,fg_0080,piece,19229,2026-04-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0041,1,fg_0081,piece,18440,2026-05-06,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0041,2,fg_0082,piece,19440,2026-05-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0042,1,fg_0083,piece,18651,2026-06-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0042,2,fg_0084,piece,19651,2026-06-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0043,1,fg_0085,piece,18862,2026-07-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0043,2,fg_0086,piece,19862,2026-07-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0044,1,fg_0087,piece,19073,2026-08-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0044,2,fg_0088,piece,20073,2026-08-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0045,1,fg_0089,piece,19284,2026-09-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0045,2,fg_0090,piece,20284,2026-09-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0046,1,fg_0091,piece,19495,2026-01-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0046,2,fg_0092,piece,20495,2026-01-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0047,1,fg_0093,piece,19706,2026-02-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0047,2,fg_0094,piece,20706,2026-02-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0048,1,fg_0095,piece,19917,2026-03-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0048,2,fg_0096,piece,20917,2026-03-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0049,1,fg_0097,piece,20128,2026-04-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0049,2,fg_0098,piece,21128,2026-04-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0050,1,fg_0099,piece,20339,2026-05-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0050,2,fg_0100,piece,21339,2026-05-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0051,1,fg_0101,piece,20550,2026-06-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0051,2,fg_0102,piece,21550,2026-06-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0052,1,fg_0103,piece,20761,2026-07-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0052,2,fg_0104,piece,21761,2026-07-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0053,1,fg_0105,piece,20972,2026-08-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0053,2,fg_0106,piece,21972,2026-08-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0054,1,fg_0107,piece,21183,2026-09-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0054,2,fg_0108,piece,22183,2026-09-26,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0055,1,fg_0109,piece,21394,2026-01-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0055,2,fg_0110,piece,22394,2026-01-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0056,1,fg_0111,piece,21605,2026-02-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0056,2,fg_0112,piece,22605,2026-02-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0057,1,fg_0113,piece,21816,2026-03-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0057,2,fg_0114,piece,22816,2026-03-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0058,1,fg_0115,piece,22027,2026-04-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0058,2,fg_0116,piece,23027,2026-04-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0059,1,fg_0117,piece,22238,2026-05-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0059,2,fg_0118,piece,23238,2026-05-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0060,1,fg_0119,piece,22449,2026-06-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0060,2,fg_0120,piece,23449,2026-06-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0061,1,fg_0121,piece,22660,2026-07-06,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0061,2,fg_0122,piece,23660,2026-07-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0062,1,fg_0123,piece,22871,2026-08-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0062,2,fg_0124,piece,23871,2026-08-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0063,1,fg_0125,piece,23082,2026-09-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0063,2,fg_0126,piece,24082,2026-09-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0064,1,fg_0127,piece,23293,2026-01-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0064,2,fg_0128,piece,24293,2026-01-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0065,1,fg_0129,piece,23504,2026-02-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0065,2,fg_0130,piece,24504,2026-02-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0066,1,fg_0131,piece,23715,2026-03-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0066,2,fg_0132,piece,24715,2026-03-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0067,1,fg_0133,piece,23926,2026-04-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0067,2,fg_0134,piece,24926,2026-04-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0068,1,fg_0135,piece,24137,2026-05-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0068,2,fg_0136,piece,25137,2026-05-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0069,1,fg_0137,piece,24348,2026-06-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0069,2,fg_0138,piece,25348,2026-06-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0070,1,fg_0139,piece,24559,2026-07-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0070,2,fg_0140,piece,25559,2026-07-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0071,1,fg_0141,piece,24770,2026-08-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0071,2,fg_0142,piece,25770,2026-08-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0072,1,fg_0143,piece,24981,2026-09-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0072,2,fg_0144,piece,25981,2026-09-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0073,1,fg_0145,piece,25192,2026-01-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0073,2,fg_0146,piece,26192,2026-01-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0074,1,fg_0147,piece,25403,2026-02-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0074,2,fg_0148,piece,26403,2026-02-26,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0075,1,fg_0149,piece,25614,2026-03-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0075,2,fg_0150,piece,26614,2026-03-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0076,1,fg_0151,piece,25825,2026-04-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0076,2,fg_0152,piece,26825,2026-04-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0077,1,fg_0153,piece,26036,2026-05-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0077,2,fg_0154,piece,27036,2026-05-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0078,1,fg_0155,piece,26247,2026-06-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0078,2,fg_0156,piece,27247,2026-06-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0079,1,fg_0157,piece,26458,2026-07-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0079,2,fg_0158,piece,27458,2026-07-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0080,1,fg_0159,piece,26669,2026-08-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0080,2,fg_0160,piece,27669,2026-08-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0081,1,fg_0161,piece,26880,2026-09-06,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0081,2,fg_0162,piece,27880,2026-09-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0082,1,fg_0163,piece,27091,2026-01-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0082,2,fg_0164,piece,28091,2026-01-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0083,1,fg_0165,piece,27302,2026-02-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0083,2,fg_0166,piece,28302,2026-02-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0084,1,fg_0167,piece,27513,2026-03-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0084,2,fg_0168,piece,28513,2026-03-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0085,1,fg_0169,piece,27724,2026-04-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0085,2,fg_0170,piece,28724,2026-04-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0086,1,fg_0171,piece,27935,2026-05-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0086,2,fg_0172,piece,28935,2026-05-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0087,1,fg_0173,piece,28146,2026-06-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0087,2,fg_0174,piece,29146,2026-06-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0088,1,fg_0175,piece,28357,2026-07-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0088,2,fg_0176,piece,29357,2026-07-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0089,1,fg_0177,piece,28568,2026-08-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0089,2,fg_0178,piece,29568,2026-08-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0090,1,fg_0179,piece,28779,2026-09-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0090,2,fg_0180,piece,29779,2026-09-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0091,1,fg_0181,piece,28990,2026-01-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0091,2,fg_0182,piece,29990,2026-01-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0092,1,fg_0183,piece,29201,2026-02-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0092,2,fg_0184,piece,30201,2026-02-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0093,1,fg_0185,piece,29412,2026-03-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0093,2,fg_0186,piece,30412,2026-03-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0094,1,fg_0187,piece,29623,2026-04-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0094,2,fg_0188,piece,30623,2026-04-26,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0095,1,fg_0189,piece,29834,2026-05-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0095,2,fg_0190,piece,30834,2026-05-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0096,1,fg_0191,piece,30045,2026-06-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0096,2,fg_0192,piece,31045,2026-06-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0097,1,fg_0193,piece,30256,2026-07-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0097,2,fg_0194,piece,31256,2026-07-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0098,1,fg_0195,piece,30467,2026-08-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0098,2,fg_0196,piece,31467,2026-08-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0099,1,fg_0197,piece,30678,2026-09-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0099,2,fg_0198,piece,31678,2026-09-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0100,1,fg_0199,piece,30889,2026-01-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0100,2,fg_0200,piece,31889,2026-01-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0101,1,fg_0001,piece,31100,2026-02-06,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0101,2,fg_0002,piece,32100,2026-02-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0102,1,fg_0003,piece,31311,2026-03-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0102,2,fg_0004,piece,32311,2026-03-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0103,1,fg_0005,piece,31522,2026-04-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0103,2,fg_0006,piece,32522,2026-04-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0104,1,fg_0007,piece,31733,2026-05-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0104,2,fg_0008,piece,32733,2026-05-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0105,1,fg_0009,piece,31944,2026-06-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0105,2,fg_0010,piece,32944,2026-06-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0106,1,fg_0011,piece,32155,2026-07-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
