calculation_code,period_code,production_order_code,stock_item_code,stock_item_name,good_quantity,material_cost,direct_labor_cost,overhead_cost,adjustment_amount,total_cost,unit_cost,target_status,notes
fixture_calculation_2026_00021,fixture_cost_period_2026_09,production_order_2026_00021,fg_0021,Sữa tươi tiệt trùng 100% Không đường - 110 ml,3820.000000,6532200.00,687600.00,534800.00,-11460.00,7743140.00,2027.000000,calculated,Mã kiểm tra fixture_calculation_2026_00021; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00022,fixture_cost_period_2026_10,production_order_2026_00022,fg_0022,Sữa tươi tiệt trùng 100% Không đường - 180 ml,3921.000000,4705200.00,764595.00,627360.00,7842.00,6104997.00,1557.000000,approved,Mã kiểm tra fixture_calculation_2026_00022; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00023,fixture_cost_period_2026_11,production_order_2026_00023,fg_0023,Sữa tươi tiệt trùng 100% Không đường - 220 ml,4022.000000,5168270.00,844620.00,723960.00,8044.00,6744894.00,1677.000000,locked,Mã kiểm tra fixture_calculation_2026_00023; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00024,fixture_cost_period_2026_12,production_order_2026_00024,fg_0024,Sữa tươi tiệt trùng 100% Không đường - 400 ml,4123.000000,5648510.00,927675.00,824600.00,8246.00,7409031.00,1797.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00024; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00025,fixture_cost_period_2026_01,production_order_2026_00025,fg_0025,Sữa tươi tiệt trùng 100% Không đường - Thùng tiêu chuẩn,4224.000000,6145920.00,1013760.00,591360.00,8448.00,7759488.00,1837.000000,calculated,Mã kiểm tra fixture_calculation_2026_00025; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00026,fixture_cost_period_2026_02,production_order_2026_00026,fg_0026,Sữa hạt 9 loại hạt Ít đường - 110 ml,4325.000000,6660500.00,778500.00,692000.00,8650.00,8139650.00,1882.000000,approved,Mã kiểm tra fixture_calculation_2026_00026; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00027,fixture_cost_period_2026_03,production_order_2026_00027,fg_0027,Sữa hạt 9 loại hạt Ít đường - 180 ml,4426.000000,7192250.00,863070.00,796680.00,8852.00,8860852.00,2002.000000,locked,Mã kiểm tra fixture_calculation_2026_00027; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00028,fixture_cost_period_2026_04,production_order_2026_00028,fg_0028,Sữa hạt 9 loại hạt Ít đường - 220 ml,4527.000000,7741170.00,950670.00,905400.00,9054.00,9606294.00,2122.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00028; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00029,fixture_cost_period_2026_05,production_order_2026_00029,fg_0029,Sữa hạt 9 loại hạt Ít đường - 400 ml,4628.000000,5553600.00,1041300.00,647920.00,9256.00,7252076.00,1567.000000,calculated,Mã kiểm tra fixture_calculation_2026_00029; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00030,fixture_cost_period_2026_06,production_order_2026_00030,fg_0030,Sữa hạt 9 loại hạt Ít đường - Thùng tiêu chuẩn,4729.000000,6076765.00,1134960.00,756640.00,9458.00,7977823.00,1687.000000,approved,Mã kiểm tra fixture_calculation_2026_00030; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00031,fixture_cost_period_2026_07,production_order_2026_00031,fg_0031,Sữa đậu nành Hạnh nhân Ít đường - 110 ml,4830.000000,6617100.00,869400.00,869400.00,-14490.00,8341410.00,1727.000000,locked,Mã kiểm tra fixture_calculation_2026_00031; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00032,fixture_cost_period_2026_08,production_order_2026_00032,fg_0032,Sữa đậu nành Hạnh nhân Ít đường - 180 ml,4931.000000,7174605.00,961545.00,986200.00,9862.00,9132212.00,1852.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00032; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00033,fixture_cost_period_2026_09,production_order_2026_00033,fg_0033,Sữa đậu nành Hạnh nhân Ít đường - 220 ml,5032.000000,7749280.00,1056720.00,704480.00,10064.00,9520544.00,1892.000000,calculated,Mã kiểm tra fixture_calculation_2026_00033; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00034,fixture_cost_period_2026_10,production_order_2026_00034,fg_0034,Sữa đậu nành Hạnh nhân Ít đường - 400 ml,5133.000000,8341125.00,1154925.00,821280.00,10266.00,10327596.00,2012.000000,approved,Mã kiểm tra fixture_calculation_2026_00034; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00035,fixture_cost_period_2026_11,production_order_2026_00035,fg_0035,Sữa đậu nành Hạnh nhân Ít đường - Thùng tiêu chuẩn,5234.000000,8950140.00,1256160.00,942120.00,10468.00,11158888.00,2132.000000,locked,Mã kiểm tra fixture_calculation_2026_00035; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00036,fixture_cost_period_2026_12,production_order_2026_00036,fg_0036,Sữa đậu nành Sữa tươi Ít đường - 110 ml,5335.000000,6402000.00,960300.00,1067000.00,10670.00,8439970.00,1582.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00036; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00037,fixture_cost_period_2026_01,production_order_2026_00037,fg_0037,Sữa đậu nành Sữa tươi Ít đường - 180 ml,5436.000000,6985260.00,1060020.00,761040.00,10872.00,8817192.00,1622.000000,calculated,Mã kiểm tra fixture_calculation_2026_00037; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00038,fixture_cost_period_2026_02,production_order_2026_00038,fg_0038,Sữa đậu nành Sữa tươi Ít đường - 220 ml,5537.000000,7585690.00,1162770.00,885920.00,11074.00,9645454.00,1742.000000,approved,Mã kiểm tra fixture_calculation_2026_00038; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00039,fixture_cost_period_2026_03,production_order_2026_00039,fg_0039,Sữa đậu nành Sữa tươi Ít đường - 400 ml,5638.000000,8203290.00,1268550.00,1014840.00,11276.00,10497956.00,1862.000000,locked,Mã kiểm tra fixture_calculation_2026_00039; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00040,fixture_cost_period_2026_04,production_order_2026_00040,fg_0040,Sữa đậu nành Sữa tươi Ít đường - Thùng tiêu chuẩn,5739.000000,8838060.00,1377360.00,1147800.00,11478.00,11374698.00,1982.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00040; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00041,fixture_cost_period_2026_05,production_order_2026_00041,fg_0041,Sữa bột CanxiPro - 110 ml,5840.000000,9490000.00,1051200.00,817600.00,-17520.00,11341280.00,1942.000000,calculated,Mã kiểm tra fixture_calculation_2026_00041; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00042,fixture_cost_period_2026_06,production_order_2026_00042,fg_0042,Sữa bột CanxiPro - 180 ml,5941.000000,10159110.00,1158495.00,950560.00,11882.00,12280047.00,2067.000000,approved,Mã kiểm tra fixture_calculation_2026_00042; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00043,fixture_cost_period_2026_07,production_order_2026_00043,fg_0043,Sữa bột CanxiPro - 220 ml,6042.000000,7250400.00,1268820.00,1087560.00,12084.00,9618864.00,1592.000000,locked,Mã kiểm tra fixture_calculation_2026_00043; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00044,fixture_cost_period_2026_08,production_order_2026_00044,fg_0044,Sữa bột CanxiPro - 400 ml,6143.000000,7893755.00,1382175.00,1228600.00,12286.00,10516816.00,1712.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00044; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00045,fixture_cost_period_2026_09,production_order_2026_00045,fg_0045,Sữa bột CanxiPro - Thùng tiêu chuẩn,6244.000000,8554280.00,1498560.00,874160.00,12488.00,10939488.00,1752.000000,calculated,Mã kiểm tra fixture_calculation_2026_00045; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00046,fixture_cost_period_2026_10,production_order_2026_00046,fg_0046,Sữa chua uống SuSu Hương Dâu - 110 ml,6345.000000,9231975.00,1142100.00,1015200.00,12690.00,11401965.00,1797.000000,approved,Mã kiểm tra fixture_calculation_2026_00046; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00047,fixture_cost_period_2026_11,production_order_2026_00047,fg_0047,Sữa chua uống SuSu Hương Dâu - 180 ml,6446.000000,9926840.00,1256970.00,1160280.00,12892.00,12356982.00,1917.000000,locked,Mã kiểm tra fixture_calculation_2026_00047; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00048,fixture_cost_period_2026_12,production_order_2026_00048,fg_0048,Sữa chua uống SuSu Hương Dâu - 220 ml,6547.000000,10638875.00,1374870.00,1309400.00,13094.00,13336239.00,2037.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00048; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00049,fixture_cost_period_2026_01,production_order_2026_00049,fg_0049,Sữa chua uống SuSu Hương Dâu - 400 ml,6648.000000,11368080.00,1495800.00,930720.00,13296.00,13807896.00,2077.000000,calculated,Mã kiểm tra fixture_calculation_2026_00049; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00050,fixture_cost_period_2026_02,production_order_2026_00050,fg_0050,Sữa chua uống SuSu Hương Dâu - Thùng tiêu chuẩn,6749.000000,8098800.00,1619760.00,1079840.00,13498.00,10811898.00,1602.000000,approved,Mã kiểm tra fixture_calculation_2026_00050; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00051,fixture_cost_period_2026_03,production_order_2026_00051,fg_0051,Sữa chua uống SuSu Hương Cam - 110 ml,6850.000000,8802250.00,1233000.00,1233000.00,-20550.00,11247700.00,1642.000000,locked,Mã kiểm tra fixture_calculation_2026_00051; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00052,fixture_cost_period_2026_04,production_order_2026_00052,fg_0052,Sữa chua uống SuSu Hương Cam - 180 ml,6951.000000,9522870.00,1355445.00,1390200.00,13902.00,12282417.00,1767.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00052; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00053,fixture_cost_period_2026_05,production_order_2026_00053,fg_0053,Sữa chua uống SuSu Hương Cam - 220 ml,7052.000000,10260660.00,1480920.00,987280.00,14104.00,12742964.00,1807.000000,calculated,Mã kiểm tra fixture_calculation_2026_00053; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00054,fixture_cost_period_2026_06,production_order_2026_00054,fg_0054,Sữa chua uống SuSu Hương Cam - 400 ml,7153.000000,11015620.00,1609425.00,1144480.00,14306.00,13783831.00,1927.000000,approved,Mã kiểm tra fixture_calculation_2026_00054; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00055,fixture_cost_period_2026_07,production_order_2026_00055,fg_0055,Sữa chua uống SuSu Hương Cam - Thùng tiêu chuẩn,7254.000000,11787750.00,1740960.00,1305720.00,14508.00,14848938.00,2047.000000,locked,Mã kiểm tra fixture_calculation_2026_00055; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00056,fixture_cost_period_2026_08,production_order_2026_00056,fg_0056,Sữa chua uống SuSu Hương Táo Nho - 110 ml,7355.000000,12577050.00,1323900.00,1471000.00,14710.00,15386660.00,2092.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00056; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00057,fixture_cost_period_2026_09,production_order_2026_00057,fg_0057,Sữa chua uống SuSu Hương Táo Nho - 180 ml,7456.000000,8947200.00,1453920.00,1043840.00,14912.00,11459872.00,1537.000000,calculated,Mã kiểm tra fixture_calculation_2026_00057; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00058,fixture_cost_period_2026_10,production_order_2026_00058,fg_0058,Sữa chua uống SuSu Hương Táo Nho - 220 ml,7557.000000,9710745.00,1586970.00,1209120.00,15114.00,12521949.00,1657.000000,approved,Mã kiểm tra fixture_calculation_2026_00058; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00059,fixture_cost_period_2026_11,production_order_2026_00059,fg_0059,Sữa chua uống SuSu Hương Táo Nho - 400 ml,7658.000000,10491460.00,1723050.00,1378440.00,15316.00,13608266.00,1777.000000,locked,Mã kiểm tra fixture_calculation_2026_00059; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00060,fixture_cost_period_2026_12,production_order_2026_00060,fg_0060,Sữa chua uống SuSu Hương Táo Nho - Thùng tiêu chuẩn,2075.000000,3019125.00,498000.00,415000.00,4150.00,3936275.00,1897.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00060; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00061,fixture_cost_period_2026_01,production_order_2026_00061,fg_0061,Sữa chua uống SuSu Hương Việt Quất Chuối - 110 ml,2211.000000,3404940.00,397980.00,309540.00,-6633.00,4105827.00,1857.000000,calculated,Mã kiểm tra fixture_calculation_2026_00061; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00062,fixture_cost_period_2026_02,production_order_2026_00062,fg_0062,Sữa chua uống SuSu Hương Việt Quất Chuối - 180 ml,2347.000000,3813875.00,457665.00,375520.00,4694.00,4651754.00,1982.000000,approved,Mã kiểm tra fixture_calculation_2026_00062; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00063,fixture_cost_period_2026_03,production_order_2026_00063,fg_0063,Sữa chua uống SuSu Hương Việt Quất Chuối - 220 ml,2483.000000,4245930.00,521430.00,446940.00,4966.00,5219266.00,2102.000000,locked,Mã kiểm tra fixture_calculation_2026_00063; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00064,fixture_cost_period_2026_04,production_order_2026_00064,fg_0064,Sữa chua uống SuSu Hương Việt Quất Chuối - 400 ml,2619.000000,3142800.00,589275.00,523800.00,5238.00,4261113.00,1627.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00064; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00065,fixture_cost_period_2026_05,production_order_2026_00065,fg_0065,Sữa chua uống SuSu Hương Việt Quất Chuối - Thùng tiêu chuẩn,2755.000000,3540175.00,661200.00,385700.00,5510.00,4592585.00,1667.000000,calculated,Mã kiểm tra fixture_calculation_2026_00065; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00066,fixture_cost_period_2026_06,production_order_2026_00066,fg_0066,Sữa trái cây Hero Hương Dâu - 110 ml,2891.000000,3960670.00,520380.00,462560.00,5782.00,4949392.00,1712.000000,approved,Mã kiểm tra fixture_calculation_2026_00066; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00067,fixture_cost_period_2026_07,production_order_2026_00067,fg_0067,Sữa trái cây Hero Hương Dâu - 180 ml,3027.000000,4404285.00,590265.00,544860.00,6054.00,5545464.00,1832.000000,locked,Mã kiểm tra fixture_calculation_2026_00067; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00068,fixture_cost_period_2026_08,production_order_2026_00068,fg_0068,Sữa trái cây Hero Hương Dâu - 220 ml,3163.000000,4871020.00,664230.00,632600.00,6326.00,6174176.00,1952.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00068; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00069,fixture_cost_period_2026_09,production_order_2026_00069,fg_0069,Sữa trái cây Hero Hương Dâu - 400 ml,3316.000000,5388500.00,746100.00,464240.00,6632.00,6605472.00,1992.000000,calculated,Mã kiểm tra fixture_calculation_2026_00069; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00070,fixture_cost_period_2026_10,production_order_2026_00070,fg_0070,Sữa trái cây Hero Hương Dâu - Thùng tiêu chuẩn,3452.000000,5902920.00,828480.00,552320.00,6904.00,7290624.00,2112.000000,approved,Mã kiểm tra fixture_calculation_2026_00070; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00071,fixture_cost_period_2026_11,production_order_2026_00071,fg_0071,Sữa trái cây Hero Hương Kẹo Nho - 110 ml,1870.000000,2244000.00,336600.00,336600.00,-5610.00,2911590.00,1557.000000,locked,Mã kiểm tra fixture_calculation_2026_00071; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00072,fixture_cost_period_2026_12,production_order_2026_00072,fg_0072,Sữa trái cây Hero Hương Kẹo Nho - 180 ml,1971.000000,2532735.00,384345.00,394200.00,3942.00,3315222.00,1682.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00072; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00073,fixture_cost_period_2026_01,production_order_2026_00073,fg_0073,Sữa trái cây Hero Hương Kẹo Nho - 220 ml,2072.000000,2838640.00,435120.00,290080.00,4144.00,3567984.00,1722.000000,calculated,Mã kiểm tra fixture_calculation_2026_00073; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00074,fixture_cost_period_2026_02,production_order_2026_00074,fg_0074,Sữa trái cây Hero Hương Kẹo Nho - 400 ml,2173.000000,3161715.00,488925.00,347680.00,4346.00,4002666.00,1842.000000,approved,Mã kiểm tra fixture_calculation_2026_00074; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00075,fixture_cost_period_2026_03,production_order_2026_00075,fg_0075,Sữa trái cây Hero Hương Kẹo Nho - Thùng tiêu chuẩn,2274.000000,3501960.00,545760.00,409320.00,4548.00,4461588.00,1962.000000,locked,Mã kiểm tra fixture_calculation_2026_00075; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00076,fixture_cost_period_2026_04,production_order_2026_00076,fg_0076,Sữa trái cây Hero Hương Cam - 110 ml,2375.000000,3859375.00,427500.00,475000.00,4750.00,4766625.00,2007.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00076; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00077,fixture_cost_period_2026_05,production_order_2026_00077,fg_0077,Sữa trái cây Hero Hương Cam - 180 ml,2476.000000,4233960.00,482820.00,346640.00,4952.00,5068372.00,2047.000000,calculated,Mã kiểm tra fixture_calculation_2026_00077; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00078,fixture_cost_period_2026_06,production_order_2026_00078,fg_0078,Sữa trái cây Hero Hương Cam - 220 ml,2577.000000,3092400.00,541170.00,412320.00,5154.00,4051044.00,1572.000000,approved,Mã kiểm tra fixture_calculation_2026_00078; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00079,fixture_cost_period_2026_07,production_order_2026_00079,fg_0079,Sữa trái cây Hero Hương Cam - 400 ml,2678.000000,3441230.00,602550.00,482040.00,5356.00,4531176.00,1692.000000,locked,Mã kiểm tra fixture_calculation_2026_00079; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00080,fixture_cost_period_2026_08,production_order_2026_00080,fg_0080,Sữa trái cây Hero Hương Cam - Thùng tiêu chuẩn,2779.000000,3807230.00,666960.00,555800.00,5558.00,5035548.00,1812.000000,cancelled,Mã kiểm tra fixture_calculation_2026_00080; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00081,fixture_cost_period_2026_09,production_order_2026_00081,fg_0081,Sữa trái cây Hero Hương Dưa Hấu - 110 ml,2880.000000,4190400.00,518400.00,403200.00,-8640.00,5103360.00,1772.000000,calculated,Mã kiểm tra fixture_calculation_2026_00081; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00082,fixture_cost_period_2026_10,production_order_2026_00082,fg_0082,Sữa trái cây Hero Hương Dưa Hấu - 180 ml,2981.000000,4590740.00,581295.00,476960.00,5962.00,5654957.00,1897.000000,approved,Mã kiểm tra fixture_calculation_2026_00082; phân bổ theo sản lượng đạt và chi phí thực tế.
fixture_calculation_2026_00083,fixture_cost_period_2026_11,production_order_2026_00083,fg_0083,Sữa trái cây Hero Hương Dưa Hấu - 220 ml,3082.000000,5008250.00,647220.00,554760.00,6164.00,6216394.00,2017.000000,locked,Mã kiểm tra fixture_calculation_2026_00083; phân bổ theo sản lượng đạt và chi phí thực tế.
