inspection_code,production_order_code,production_output_code,stock_item_code,lot_code,inspected_quantity,good_quantity,defective_quantity,inspected_on,target_status,notes
fixture_quality_inspection_2026_00014,production_order_2026_00014,production_output_00014,fg_0014,production_lot_2026_00014,3176.000000,3113.000000,13.000000,2026-07-21,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00015,production_order_2026_00015,production_output_00015,fg_0015,production_lot_2026_00015,3283.000000,3214.000000,14.000000,2026-08-05,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00016,production_order_2026_00016,production_output_00016,fg_0016,production_lot_2026_00016,3390.000000,3315.000000,15.000000,2026-08-06,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00017,production_order_2026_00017,production_output_00017,fg_0017,production_lot_2026_00017,3457.000000,3416.000000,16.000000,2026-09-06,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00018,production_order_2026_00018,production_output_00018,fg_0018,production_lot_2026_00018,3547.000000,3517.000000,0.000000,2026-09-07,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00019,production_order_2026_00019,production_output_00019,fg_0019,production_lot_2026_00019,3654.000000,3618.000000,1.000000,2026-01-11,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00020,production_order_2026_00020,production_output_00020,fg_0020,production_lot_2026_00020,3761.000000,3719.000000,2.000000,2026-01-12,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00021,production_order_2026_00021,production_output_00021,fg_0021,production_lot_2026_00021,3868.000000,3820.000000,3.000000,2026-02-12,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00022,production_order_2026_00022,production_output_00022,fg_0022,production_lot_2026_00022,3975.000000,3921.000000,4.000000,2026-02-13,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00023,production_order_2026_00023,production_output_00023,fg_0023,production_lot_2026_00023,4082.000000,4022.000000,5.000000,2026-03-17,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00024,production_order_2026_00024,production_output_00024,fg_0024,production_lot_2026_00024,4189.000000,4123.000000,6.000000,2026-03-18,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00025,production_order_2026_00025,production_output_00025,fg_0025,production_lot_2026_00025,4256.000000,4224.000000,7.000000,2026-04-18,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00026,production_order_2026_00026,production_output_00026,fg_0026,production_lot_2026_00026,4363.000000,4325.000000,8.000000,2026-04-19,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00027,production_order_2026_00027,production_output_00027,fg_0027,production_lot_2026_00027,4470.000000,4426.000000,9.000000,2026-05-23,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00028,production_order_2026_00028,production_output_00028,fg_0028,production_lot_2026_00028,4577.000000,4527.000000,10.000000,2026-05-24,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00029,production_order_2026_00029,production_output_00029,fg_0029,production_lot_2026_00029,4684.000000,4628.000000,11.000000,2026-06-04,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00030,production_order_2026_00030,production_output_00030,fg_0030,production_lot_2026_00030,4791.000000,4729.000000,12.000000,2026-06-05,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00031,production_order_2026_00031,production_output_00031,fg_0031,production_lot_2026_00031,4898.000000,4830.000000,13.000000,2026-07-09,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00032,production_order_2026_00032,production_output_00032,fg_0032,production_lot_2026_00032,5005.000000,4931.000000,14.000000,2026-07-10,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00033,production_order_2026_00033,production_output_00033,fg_0033,production_lot_2026_00033,5072.000000,5032.000000,15.000000,2026-08-10,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00034,production_order_2026_00034,production_output_00034,fg_0034,production_lot_2026_00034,5179.000000,5133.000000,16.000000,2026-08-11,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00035,production_order_2026_00035,production_output_00035,fg_0035,production_lot_2026_00035,5269.000000,5234.000000,0.000000,2026-09-15,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00036,production_order_2026_00036,production_output_00036,fg_0036,production_lot_2026_00036,5376.000000,5335.000000,1.000000,2026-09-16,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00037,production_order_2026_00037,production_output_00037,fg_0037,production_lot_2026_00037,5483.000000,5436.000000,2.000000,2026-01-16,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00038,production_order_2026_00038,production_output_00038,fg_0038,production_lot_2026_00038,5590.000000,5537.000000,3.000000,2026-01-17,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00039,production_order_2026_00039,production_output_00039,fg_0039,production_lot_2026_00039,5697.000000,5638.000000,4.000000,2026-02-21,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00040,production_order_2026_00040,production_output_00040,fg_0040,production_lot_2026_00040,5804.000000,5739.000000,5.000000,2026-02-22,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00041,production_order_2026_00041,production_output_00041,fg_0041,production_lot_2026_00041,5871.000000,5840.000000,6.000000,2026-03-02,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00042,production_order_2026_00042,production_output_00042,fg_0042,production_lot_2026_00042,5978.000000,5941.000000,7.000000,2026-03-03,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00043,production_order_2026_00043,production_output_00043,fg_0043,production_lot_2026_00043,6085.000000,6042.000000,8.000000,2026-04-07,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00044,production_order_2026_00044,production_output_00044,fg_0044,production_lot_2026_00044,6192.000000,6143.000000,9.000000,2026-04-08,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00045,production_order_2026_00045,production_output_00045,fg_0045,production_lot_2026_00045,6299.000000,6244.000000,10.000000,2026-05-08,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00046,production_order_2026_00046,production_output_00046,fg_0046,production_lot_2026_00046,6406.000000,6345.000000,11.000000,2026-05-09,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00047,production_order_2026_00047,production_output_00047,fg_0047,production_lot_2026_00047,6513.000000,6446.000000,12.000000,2026-06-13,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00048,production_order_2026_00048,production_output_00048,fg_0048,production_lot_2026_00048,6620.000000,6547.000000,13.000000,2026-06-14,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00049,production_order_2026_00049,production_output_00049,fg_0049,production_lot_2026_00049,6687.000000,6648.000000,14.000000,2026-07-14,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00050,production_order_2026_00050,production_output_00050,fg_0050,production_lot_2026_00050,6794.000000,6749.000000,15.000000,2026-07-15,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00051,production_order_2026_00051,production_output_00051,fg_0051,production_lot_2026_00051,6901.000000,6850.000000,16.000000,2026-08-19,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00052,production_order_2026_00052,production_output_00052,fg_0052,production_lot_2026_00052,6991.000000,6951.000000,0.000000,2026-08-20,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00053,production_order_2026_00053,production_output_00053,fg_0053,production_lot_2026_00053,7098.000000,7052.000000,1.000000,2026-09-20,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00054,production_order_2026_00054,production_output_00054,fg_0054,production_lot_2026_00054,7205.000000,7153.000000,2.000000,2026-09-21,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00055,production_order_2026_00055,production_output_00055,fg_0055,production_lot_2026_00055,7312.000000,7254.000000,3.000000,2026-01-05,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00056,production_order_2026_00056,production_output_00056,fg_0056,production_lot_2026_00056,7419.000000,7355.000000,4.000000,2026-01-06,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00057,production_order_2026_00057,production_output_00057,fg_0057,production_lot_2026_00057,7486.000000,7456.000000,5.000000,2026-02-06,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00058,production_order_2026_00058,production_output_00058,fg_0058,production_lot_2026_00058,7593.000000,7557.000000,6.000000,2026-02-07,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00059,production_order_2026_00059,production_output_00059,fg_0059,production_lot_2026_00059,7700.000000,7658.000000,7.000000,2026-03-11,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00060,production_order_2026_00060,production_output_00060,fg_0060,production_lot_2026_00060,2115.000000,2075.000000,0.000000,2026-03-12,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00061,production_order_2026_00061,production_output_00061,fg_0061,production_lot_2026_00061,2256.000000,2211.000000,0.000000,2026-04-12,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00062,production_order_2026_00062,production_output_00062,fg_0062,production_lot_2026_00062,2397.000000,2347.000000,0.000000,2026-04-13,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00063,production_order_2026_00063,production_output_00063,fg_0063,production_lot_2026_00063,2538.000000,2483.000000,0.000000,2026-05-17,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00064,production_order_2026_00064,production_output_00064,fg_0064,production_lot_2026_00064,2679.000000,2619.000000,0.000000,2026-05-18,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00065,production_order_2026_00065,production_output_00065,fg_0065,production_lot_2026_00065,2780.000000,2755.000000,0.000000,2026-06-18,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00066,production_order_2026_00066,production_output_00066,fg_0066,production_lot_2026_00066,2921.000000,2891.000000,0.000000,2026-06-19,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00067,production_order_2026_00067,production_output_00067,fg_0067,production_lot_2026_00067,3062.000000,3027.000000,0.000000,2026-07-23,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00068,production_order_2026_00068,production_output_00068,fg_0068,production_lot_2026_00068,3203.000000,3163.000000,0.000000,2026-07-24,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00069,production_order_2026_00069,production_output_00069,fg_0069,production_lot_2026_00069,3361.000000,3316.000000,0.000000,2026-08-04,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00070,production_order_2026_00070,production_output_00070,fg_0070,production_lot_2026_00070,3502.000000,3452.000000,0.000000,2026-08-05,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00071,production_order_2026_00071,production_output_00071,fg_0071,production_lot_2026_00071,1927.000000,1870.000000,2.000000,2026-09-09,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00072,production_order_2026_00072,production_output_00072,fg_0072,production_lot_2026_00072,2034.000000,1971.000000,3.000000,2026-09-10,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00073,production_order_2026_00073,production_output_00073,fg_0073,production_lot_2026_00073,2101.000000,2072.000000,4.000000,2026-01-10,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00074,production_order_2026_00074,production_output_00074,fg_0074,production_lot_2026_00074,2208.000000,2173.000000,5.000000,2026-01-11,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00075,production_order_2026_00075,production_output_00075,fg_0075,production_lot_2026_00075,2315.000000,2274.000000,6.000000,2026-02-15,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00076,production_order_2026_00076,production_output_00076,fg_0076,production_lot_2026_00076,2422.000000,2375.000000,7.000000,2026-02-16,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00077,production_order_2026_00077,production_output_00077,fg_0077,production_lot_2026_00077,2529.000000,2476.000000,8.000000,2026-03-16,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00078,production_order_2026_00078,production_output_00078,fg_0078,production_lot_2026_00078,2636.000000,2577.000000,9.000000,2026-03-17,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00079,production_order_2026_00079,production_output_00079,fg_0079,production_lot_2026_00079,2743.000000,2678.000000,10.000000,2026-04-21,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00080,production_order_2026_00080,production_output_00080,fg_0080,production_lot_2026_00080,2850.000000,2779.000000,11.000000,2026-04-22,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00081,production_order_2026_00081,production_output_00081,fg_0081,production_lot_2026_00081,2917.000000,2880.000000,12.000000,2026-05-02,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00082,production_order_2026_00082,production_output_00082,fg_0082,production_lot_2026_00082,3024.000000,2981.000000,13.000000,2026-05-03,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00083,production_order_2026_00083,production_output_00083,fg_0083,production_lot_2026_00083,3131.000000,3082.000000,14.000000,2026-06-07,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00084,production_order_2026_00084,production_output_00084,fg_0084,production_lot_2026_00084,3238.000000,3183.000000,15.000000,2026-06-08,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00085,production_order_2026_00085,production_output_00085,fg_0085,production_lot_2026_00085,3345.000000,3284.000000,16.000000,2026-07-08,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00086,production_order_2026_00086,production_output_00086,fg_0086,production_lot_2026_00086,3435.000000,3385.000000,0.000000,2026-07-09,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00087,production_order_2026_00087,production_output_00087,fg_0087,production_lot_2026_00087,3542.000000,3486.000000,1.000000,2026-08-13,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00088,production_order_2026_00088,production_output_00088,fg_0088,production_lot_2026_00088,3649.000000,3587.000000,2.000000,2026-08-14,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00089,production_order_2026_00089,production_output_00089,fg_0089,production_lot_2026_00089,3716.000000,3688.000000,3.000000,2026-09-14,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00090,production_order_2026_00090,production_output_00090,fg_0090,production_lot_2026_00090,3823.000000,3789.000000,4.000000,2026-09-15,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00091,production_order_2026_00091,production_output_00091,fg_0091,production_lot_2026_00091,3930.000000,3890.000000,5.000000,2026-01-19,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00092,production_order_2026_00092,production_output_00092,fg_0092,production_lot_2026_00092,4037.000000,3991.000000,6.000000,2026-01-20,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00093,production_order_2026_00093,production_output_00093,fg_0093,production_lot_2026_00093,4144.000000,4092.000000,7.000000,2026-02-20,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00094,production_order_2026_00094,production_output_00094,fg_0094,production_lot_2026_00094,4251.000000,4193.000000,8.000000,2026-02-21,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00095,production_order_2026_00095,production_output_00095,fg_0095,production_lot_2026_00095,4358.000000,4294.000000,9.000000,2026-03-05,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00096,production_order_2026_00096,production_output_00096,fg_0096,production_lot_2026_00096,4465.000000,4395.000000,10.000000,2026-03-06,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00097,production_order_2026_00097,production_output_00097,fg_0097,production_lot_2026_00097,4532.000000,4496.000000,11.000000,2026-04-06,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00098,production_order_2026_00098,production_output_00098,fg_0098,production_lot_2026_00098,4639.000000,4597.000000,12.000000,2026-04-07,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00099,production_order_2026_00099,production_output_00099,fg_0099,production_lot_2026_00099,4746.000000,4698.000000,13.000000,2026-05-11,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00100,production_order_2026_00100,production_output_00100,fg_0100,production_lot_2026_00100,4853.000000,4799.000000,14.000000,2026-05-12,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00101,production_order_2026_00101,production_output_00101,fg_0101,production_lot_2026_00101,4960.000000,4900.000000,15.000000,2026-06-12,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00102,production_order_2026_00102,production_output_00102,fg_0102,production_lot_2026_00102,5067.000000,5001.000000,16.000000,2026-06-13,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00103,production_order_2026_00103,production_output_00103,fg_0103,production_lot_2026_00103,5157.000000,5102.000000,0.000000,2026-07-17,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00104,production_order_2026_00104,production_output_00104,fg_0104,production_lot_2026_00104,5264.000000,5203.000000,1.000000,2026-07-18,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00105,production_order_2026_00105,production_output_00105,fg_0105,production_lot_2026_00105,5331.000000,5304.000000,2.000000,2026-08-18,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00106,production_order_2026_00106,production_output_00106,fg_0106,production_lot_2026_00106,5438.000000,5405.000000,3.000000,2026-08-19,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00107,production_order_2026_00107,production_output_00107,fg_0107,production_lot_2026_00107,5545.000000,5506.000000,4.000000,2026-09-23,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00108,production_order_2026_00108,production_output_00108,fg_0108,production_lot_2026_00108,5652.000000,5607.000000,5.000000,2026-09-24,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00109,production_order_2026_00109,production_output_00109,fg_0109,production_lot_2026_00109,5759.000000,5708.000000,6.000000,2026-01-04,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00110,production_order_2026_00110,production_output_00110,fg_0110,production_lot_2026_00110,5866.000000,5809.000000,7.000000,2026-01-05,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00111,production_order_2026_00111,production_output_00111,fg_0111,production_lot_2026_00111,5973.000000,5910.000000,8.000000,2026-02-09,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00112,production_order_2026_00112,production_output_00112,fg_0112,production_lot_2026_00112,6080.000000,6011.000000,9.000000,2026-02-10,cancelled,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00113,production_order_2026_00113,production_output_00113,fg_0113,production_lot_2026_00113,6147.000000,6112.000000,10.000000,2026-03-10,draft,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00114,production_order_2026_00114,production_output_00114,fg_0114,production_lot_2026_00114,6254.000000,6213.000000,11.000000,2026-03-11,submitted,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00115,production_order_2026_00115,production_output_00115,fg_0115,production_lot_2026_00115,6361.000000,6314.000000,12.000000,2026-04-15,passed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00116,production_order_2026_00116,production_output_00116,fg_0116,production_lot_2026_00116,6468.000000,6415.000000,13.000000,2026-04-16,failed,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00117,production_order_2026_00117,production_output_00117,fg_0117,production_lot_2026_00117,6575.000000,6516.000000,14.000000,2026-05-16,held,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
fixture_quality_inspection_2026_00118,production_order_2026_00118,production_output_00118,fg_0118,production_lot_2026_00118,2064.000000,2014.000000,0.000000,2026-05-17,released,Biên bản kiểm tra chất lượng đầu ra đã đối chiếu với lô sản xuất.
