proposal_code,period_code,stock_item_code,stock_item_name,unit_cost,margin_percent,proposed_price,effective_on,currency_code,target_status,notes
fixture_price_proposal_2026_00011,fixture_cost_period_2026_11,fg_0011,Sữa tươi tiệt trùng Green Farm Cao đạm ít béo - 110 ml,1812.000000,12.0000,2029.44,2026-11-30,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00012,fixture_cost_period_2026_12,fg_0012,Sữa tươi tiệt trùng Green Farm Cao đạm ít béo - 180 ml,1937.000000,14.0000,2208.18,2026-12-31,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00013,fixture_cost_period_2026_01,fg_0013,Sữa tươi tiệt trùng Green Farm Cao đạm ít béo - 220 ml,1977.000000,16.0000,2293.32,2026-01-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00014,fixture_cost_period_2026_02,fg_0014,Sữa tươi tiệt trùng Green Farm Cao đạm ít béo - 400 ml,2097.000000,18.0000,2474.46,2026-02-28,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00015,fixture_cost_period_2026_03,fg_0015,Sữa tươi tiệt trùng Green Farm Cao đạm ít béo - Thùng tiêu chuẩn,1622.000000,20.0000,1946.40,2026-03-31,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00016,fixture_cost_period_2026_04,fg_0016,Sữa tươi tiệt trùng 100% Ít đường - 110 ml,1667.000000,22.0000,2033.74,2026-04-30,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00017,fixture_cost_period_2026_05,fg_0017,Sữa tươi tiệt trùng 100% Ít đường - 180 ml,1707.000000,8.0000,1843.56,2026-05-31,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00018,fixture_cost_period_2026_06,fg_0018,Sữa tươi tiệt trùng 100% Ít đường - 220 ml,1827.000000,10.0000,2009.70,2026-06-30,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00019,fixture_cost_period_2026_07,fg_0019,Sữa tươi tiệt trùng 100% Ít đường - 400 ml,1947.000000,12.0000,2180.64,2026-07-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00020,fixture_cost_period_2026_08,fg_0020,Sữa tươi tiệt trùng 100% Ít đường - Thùng tiêu chuẩn,2067.000000,14.0000,2356.38,2026-08-31,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00021,fixture_cost_period_2026_09,fg_0021,Sữa tươi tiệt trùng 100% Không đường - 110 ml,2027.000000,16.0000,2351.32,2026-09-30,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00022,fixture_cost_period_2026_10,fg_0022,Sữa tươi tiệt trùng 100% Không đường - 180 ml,1557.000000,18.0000,1837.26,2026-10-31,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00023,fixture_cost_period_2026_11,fg_0023,Sữa tươi tiệt trùng 100% Không đường - 220 ml,1677.000000,20.0000,2012.40,2026-11-30,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00024,fixture_cost_period_2026_12,fg_0024,Sữa tươi tiệt trùng 100% Không đường - 400 ml,1797.000000,22.0000,2192.34,2026-12-31,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00025,fixture_cost_period_2026_01,fg_0025,Sữa tươi tiệt trùng 100% Không đường - Thùng tiêu chuẩn,1837.000000,8.0000,1983.96,2026-01-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00026,fixture_cost_period_2026_02,fg_0026,Sữa hạt 9 loại hạt Ít đường - 110 ml,1882.000000,10.0000,2070.20,2026-02-28,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00027,fixture_cost_period_2026_03,fg_0027,Sữa hạt 9 loại hạt Ít đường - 180 ml,2002.000000,12.0000,2242.24,2026-03-31,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00028,fixture_cost_period_2026_04,fg_0028,Sữa hạt 9 loại hạt Ít đường - 220 ml,2122.000000,14.0000,2419.08,2026-04-30,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00029,fixture_cost_period_2026_05,fg_0029,Sữa hạt 9 loại hạt Ít đường - 400 ml,1567.000000,16.0000,1817.72,2026-05-31,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00030,fixture_cost_period_2026_06,fg_0030,Sữa hạt 9 loại hạt Ít đường - Thùng tiêu chuẩn,1687.000000,18.0000,1990.66,2026-06-30,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00031,fixture_cost_period_2026_07,fg_0031,Sữa đậu nành Hạnh nhân Ít đường - 110 ml,1727.000000,20.0000,2072.40,2026-07-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00032,fixture_cost_period_2026_08,fg_0032,Sữa đậu nành Hạnh nhân Ít đường - 180 ml,1852.000000,22.0000,2259.44,2026-08-31,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00033,fixture_cost_period_2026_09,fg_0033,Sữa đậu nành Hạnh nhân Ít đường - 220 ml,1892.000000,8.0000,2043.36,2026-09-30,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00034,fixture_cost_period_2026_10,fg_0034,Sữa đậu nành Hạnh nhân Ít đường - 400 ml,2012.000000,10.0000,2213.20,2026-10-31,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00035,fixture_cost_period_2026_11,fg_0035,Sữa đậu nành Hạnh nhân Ít đường - Thùng tiêu chuẩn,2132.000000,12.0000,2387.84,2026-11-30,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00036,fixture_cost_period_2026_12,fg_0036,Sữa đậu nành Sữa tươi Ít đường - 110 ml,1582.000000,14.0000,1803.48,2026-12-31,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00037,fixture_cost_period_2026_01,fg_0037,Sữa đậu nành Sữa tươi Ít đường - 180 ml,1622.000000,16.0000,1881.52,2026-01-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00038,fixture_cost_period_2026_02,fg_0038,Sữa đậu nành Sữa tươi Ít đường - 220 ml,1742.000000,18.0000,2055.56,2026-02-28,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00039,fixture_cost_period_2026_03,fg_0039,Sữa đậu nành Sữa tươi Ít đường - 400 ml,1862.000000,20.0000,2234.40,2026-03-31,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00040,fixture_cost_period_2026_04,fg_0040,Sữa đậu nành Sữa tươi Ít đường - Thùng tiêu chuẩn,1982.000000,22.0000,2418.04,2026-04-30,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00041,fixture_cost_period_2026_05,fg_0041,Sữa bột CanxiPro - 110 ml,1942.000000,8.0000,2097.36,2026-05-31,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00042,fixture_cost_period_2026_06,fg_0042,Sữa bột CanxiPro - 180 ml,2067.000000,10.0000,2273.70,2026-06-30,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00043,fixture_cost_period_2026_07,fg_0043,Sữa bột CanxiPro - 220 ml,1592.000000,12.0000,1783.04,2026-07-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00044,fixture_cost_period_2026_08,fg_0044,Sữa bột CanxiPro - 400 ml,1712.000000,14.0000,1951.68,2026-08-31,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00045,fixture_cost_period_2026_09,fg_0045,Sữa bột CanxiPro - Thùng tiêu chuẩn,1752.000000,16.0000,2032.32,2026-09-30,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00046,fixture_cost_period_2026_10,fg_0046,Sữa chua uống SuSu Hương Dâu - 110 ml,1797.000000,18.0000,2120.46,2026-10-31,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00047,fixture_cost_period_2026_11,fg_0047,Sữa chua uống SuSu Hương Dâu - 180 ml,1917.000000,20.0000,2300.40,2026-11-30,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00048,fixture_cost_period_2026_12,fg_0048,Sữa chua uống SuSu Hương Dâu - 220 ml,2037.000000,22.0000,2485.14,2026-12-31,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00049,fixture_cost_period_2026_01,fg_0049,Sữa chua uống SuSu Hương Dâu - 400 ml,2077.000000,8.0000,2243.16,2026-01-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00050,fixture_cost_period_2026_02,fg_0050,Sữa chua uống SuSu Hương Dâu - Thùng tiêu chuẩn,1602.000000,10.0000,1762.20,2026-02-28,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00051,fixture_cost_period_2026_03,fg_0051,Sữa chua uống SuSu Hương Cam - 110 ml,1642.000000,12.0000,1839.04,2026-03-31,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00052,fixture_cost_period_2026_04,fg_0052,Sữa chua uống SuSu Hương Cam - 180 ml,1767.000000,14.0000,2014.38,2026-04-30,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00053,fixture_cost_period_2026_05,fg_0053,Sữa chua uống SuSu Hương Cam - 220 ml,1807.000000,16.0000,2096.12,2026-05-31,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00054,fixture_cost_period_2026_06,fg_0054,Sữa chua uống SuSu Hương Cam - 400 ml,1927.000000,18.0000,2273.86,2026-06-30,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00055,fixture_cost_period_2026_07,fg_0055,Sữa chua uống SuSu Hương Cam - Thùng tiêu chuẩn,2047.000000,20.0000,2456.40,2026-07-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00056,fixture_cost_period_2026_08,fg_0056,Sữa chua uống SuSu Hương Táo Nho - 110 ml,2092.000000,22.0000,2552.24,2026-08-31,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00057,fixture_cost_period_2026_09,fg_0057,Sữa chua uống SuSu Hương Táo Nho - 180 ml,1537.000000,8.0000,1659.96,2026-09-30,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00058,fixture_cost_period_2026_10,fg_0058,Sữa chua uống SuSu Hương Táo Nho - 220 ml,1657.000000,10.0000,1822.70,2026-10-31,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00059,fixture_cost_period_2026_11,fg_0059,Sữa chua uống SuSu Hương Táo Nho - 400 ml,1777.000000,12.0000,1990.24,2026-11-30,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00060,fixture_cost_period_2026_12,fg_0060,Sữa chua uống SuSu Hương Táo Nho - Thùng tiêu chuẩn,1897.000000,14.0000,2162.58,2026-12-31,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00061,fixture_cost_period_2026_01,fg_0061,Sữa chua uống SuSu Hương Việt Quất Chuối - 110 ml,1857.000000,16.0000,2154.12,2026-01-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00062,fixture_cost_period_2026_02,fg_0062,Sữa chua uống SuSu Hương Việt Quất Chuối - 180 ml,1982.000000,18.0000,2338.76,2026-02-28,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00063,fixture_cost_period_2026_03,fg_0063,Sữa chua uống SuSu Hương Việt Quất Chuối - 220 ml,2102.000000,20.0000,2522.40,2026-03-31,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00064,fixture_cost_period_2026_04,fg_0064,Sữa chua uống SuSu Hương Việt Quất Chuối - 400 ml,1627.000000,22.0000,1984.94,2026-04-30,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00065,fixture_cost_period_2026_05,fg_0065,Sữa chua uống SuSu Hương Việt Quất Chuối - Thùng tiêu chuẩn,1667.000000,8.0000,1800.36,2026-05-31,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00066,fixture_cost_period_2026_06,fg_0066,Sữa trái cây Hero Hương Dâu - 110 ml,1712.000000,10.0000,1883.20,2026-06-30,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00067,fixture_cost_period_2026_07,fg_0067,Sữa trái cây Hero Hương Dâu - 180 ml,1832.000000,12.0000,2051.84,2026-07-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00068,fixture_cost_period_2026_08,fg_0068,Sữa trái cây Hero Hương Dâu - 220 ml,1952.000000,14.0000,2225.28,2026-08-31,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00069,fixture_cost_period_2026_09,fg_0069,Sữa trái cây Hero Hương Dâu - 400 ml,1992.000000,16.0000,2310.72,2026-09-30,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00070,fixture_cost_period_2026_10,fg_0070,Sữa trái cây Hero Hương Dâu - Thùng tiêu chuẩn,2112.000000,18.0000,2492.16,2026-10-31,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00071,fixture_cost_period_2026_11,fg_0071,Sữa trái cây Hero Hương Kẹo Nho - 110 ml,1557.000000,20.0000,1868.40,2026-11-30,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00072,fixture_cost_period_2026_12,fg_0072,Sữa trái cây Hero Hương Kẹo Nho - 180 ml,1682.000000,22.0000,2052.04,2026-12-31,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00073,fixture_cost_period_2026_01,fg_0073,Sữa trái cây Hero Hương Kẹo Nho - 220 ml,1722.000000,8.0000,1859.76,2026-01-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00074,fixture_cost_period_2026_02,fg_0074,Sữa trái cây Hero Hương Kẹo Nho - 400 ml,1842.000000,10.0000,2026.20,2026-02-28,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00075,fixture_cost_period_2026_03,fg_0075,Sữa trái cây Hero Hương Kẹo Nho - Thùng tiêu chuẩn,1962.000000,12.0000,2197.44,2026-03-31,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00076,fixture_cost_period_2026_04,fg_0076,Sữa trái cây Hero Hương Cam - 110 ml,2007.000000,14.0000,2287.98,2026-04-30,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00077,fixture_cost_period_2026_05,fg_0077,Sữa trái cây Hero Hương Cam - 180 ml,2047.000000,16.0000,2374.52,2026-05-31,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00078,fixture_cost_period_2026_06,fg_0078,Sữa trái cây Hero Hương Cam - 220 ml,1572.000000,18.0000,1854.96,2026-06-30,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00079,fixture_cost_period_2026_07,fg_0079,Sữa trái cây Hero Hương Cam - 400 ml,1692.000000,20.0000,2030.40,2026-07-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00080,fixture_cost_period_2026_08,fg_0080,Sữa trái cây Hero Hương Cam - Thùng tiêu chuẩn,1812.000000,22.0000,2210.64,2026-08-31,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00081,fixture_cost_period_2026_09,fg_0081,Sữa trái cây Hero Hương Dưa Hấu - 110 ml,1772.000000,8.0000,1913.76,2026-09-30,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00082,fixture_cost_period_2026_10,fg_0082,Sữa trái cây Hero Hương Dưa Hấu - 180 ml,1897.000000,10.0000,2086.70,2026-10-31,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00083,fixture_cost_period_2026_11,fg_0083,Sữa trái cây Hero Hương Dưa Hấu - 220 ml,2017.000000,12.0000,2259.04,2026-11-30,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00084,fixture_cost_period_2026_12,fg_0084,Sữa trái cây Hero Hương Dưa Hấu - 400 ml,2137.000000,14.0000,2436.18,2026-12-31,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00085,fixture_cost_period_2026_01,fg_0085,Sữa trái cây Hero Hương Dưa Hấu - Thùng tiêu chuẩn,1582.000000,16.0000,1835.12,2026-01-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00086,fixture_cost_period_2026_02,fg_0086,Sữa trái cây SuSu Thạch Hương Kẹo Bông - 110 ml,1627.000000,18.0000,1919.86,2026-02-28,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00087,fixture_cost_period_2026_03,fg_0087,Sữa trái cây SuSu Thạch Hương Kẹo Bông - 180 ml,1747.000000,20.0000,2096.40,2026-03-31,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00088,fixture_cost_period_2026_04,fg_0088,Sữa trái cây SuSu Thạch Hương Kẹo Bông - 220 ml,1867.000000,22.0000,2277.74,2026-04-30,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00089,fixture_cost_period_2026_05,fg_0089,Sữa trái cây SuSu Thạch Hương Kẹo Bông - 400 ml,1907.000000,8.0000,2059.56,2026-05-31,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00090,fixture_cost_period_2026_06,fg_0090,Sữa trái cây SuSu Thạch Hương Kẹo Bông - Thùng tiêu chuẩn,2027.000000,10.0000,2229.70,2026-06-30,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00091,fixture_cost_period_2026_07,fg_0091,Sữa trái cây SuSu Thạch Hương Marshmallow Kiwi - 110 ml,2067.000000,12.0000,2315.04,2026-07-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00092,fixture_cost_period_2026_08,fg_0092,Sữa trái cây SuSu Thạch Hương Marshmallow Kiwi - 180 ml,1597.000000,14.0000,1820.58,2026-08-31,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00093,fixture_cost_period_2026_09,fg_0093,Sữa trái cây SuSu Thạch Hương Marshmallow Kiwi - 220 ml,1637.000000,16.0000,1898.92,2026-09-30,VND,approved,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00094,fixture_cost_period_2026_10,fg_0094,Sữa trái cây SuSu Thạch Hương Marshmallow Kiwi - 400 ml,1757.000000,18.0000,2073.26,2026-10-31,VND,rejected,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00095,fixture_cost_period_2026_11,fg_0095,Sữa trái cây SuSu Thạch Hương Marshmallow Kiwi - Thùng tiêu chuẩn,1877.000000,20.0000,2252.40,2026-11-30,VND,published,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00096,fixture_cost_period_2026_12,fg_0096,Nước ép Cam Đào Collagen - 110 ml,1922.000000,22.0000,2344.84,2026-12-31,VND,cancelled,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00097,fixture_cost_period_2026_01,fg_0097,Nước ép Cam Đào Collagen - 180 ml,1962.000000,8.0000,2118.96,2026-01-31,VND,draft,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
fixture_price_proposal_2026_00098,fixture_cost_period_2026_02,fg_0098,Nước ép Cam Đào Collagen - 220 ml,2082.000000,10.0000,2290.20,2026-02-28,VND,pending,Đề xuất giá bán tham chiếu từ giá thành đơn vị và biên lợi nhuận kế hoạch.
