contract_code,employee_code,contract_type,effective_from,effective_to,base_salary,currency_code,status,notes
contract_2024_0052,vmk0052,indefinite,2024-04-12,,26250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0053,vmk0053,fixed_term_36_months,2024-01-01,,18500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0054,vmk0054,indefinite,2024-01-01,,29750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0055,vmk0055,indefinite,2024-01-01,,17500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0056,vmk0056,indefinite,2024-01-01,,18750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0057,vmk0057,fixed_term_36_months,2024-01-01,,23000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0058,vmk0058,indefinite,2024-01-01,,22750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0059,vmk0059,indefinite,2024-01-01,,13500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0060,vmk0060,indefinite,2024-01-01,,30250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0061,vmk0061,fixed_term_36_months,2024-01-01,,21000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0062,vmk0062,indefinite,2024-01-01,,17250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0063,vmk0063,indefinite,2024-01-01,,26500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0064,vmk0064,indefinite,2024-01-01,,33250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0065,vmk0065,fixed_term_36_months,2024-09-05,,26000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0066,vmk0066,indefinite,2024-01-01,,23750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0067,vmk0067,indefinite,2024-01-01,,17000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0068,vmk0068,indefinite,2024-01-01,,20250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0069,vmk0069,fixed_term_36_months,2024-01-01,,15000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0070,vmk0070,indefinite,2024-01-01,,25750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0071,vmk0071,indefinite,2024-01-01,,18000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0072,vmk0072,indefinite,2024-01-01,,29250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0073,vmk0073,fixed_term_36_months,2024-01-01,,13500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0074,vmk0074,indefinite,2024-01-01,,23750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0075,vmk0075,indefinite,2024-01-01,,18500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0076,vmk0076,indefinite,2024-01-01,,26250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0077,vmk0077,fixed_term_36_months,2024-01-01,,29000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0078,vmk0078,indefinite,2024-02-23,,27750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0079,vmk0079,indefinite,2024-01-01,,16500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0080,vmk0080,indefinite,2024-01-01,,29250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0081,vmk0081,fixed_term_36_months,2024-01-01,,12000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0082,vmk0082,indefinite,2024-01-01,,17750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0083,vmk0083,indefinite,2024-01-01,,17000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0084,vmk0084,indefinite,2024-01-01,,24250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0085,vmk0085,fixed_term_36_months,2024-01-01,,27000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0086,vmk0086,indefinite,2024-01-01,,21750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0087,vmk0087,indefinite,2024-01-01,,17500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0088,vmk0088,indefinite,2024-01-01,,26250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0089,vmk0089,fixed_term_36_months,2024-01-01,,23000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0090,vmk0090,indefinite,2024-01-01,,12750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0091,vmk0091,indefinite,2024-07-16,,27500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0092,vmk0092,indefinite,2024-01-01,,26250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0093,vmk0093,fixed_term_36_months,2024-01-01,,16500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0094,vmk0094,indefinite,2024-01-01,,41750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0095,vmk0095,indefinite,2024-01-01,,26500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0096,vmk0096,indefinite,2024-01-01,,17250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0097,vmk0097,fixed_term_36_months,2024-01-01,,28000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0098,vmk0098,indefinite,2024-01-01,,26750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0099,vmk0099,indefinite,2024-01-01,,24500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0100,vmk0100,indefinite,2024-01-01,,26250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0101,vmk0101,fixed_term_36_months,2024-01-01,,25000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0102,vmk0102,indefinite,2024-01-01,,27750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0103,vmk0103,indefinite,2024-01-01,,22500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0104,vmk0104,indefinite,2024-12-09,,27250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0105,vmk0105,fixed_term_36_months,2024-01-01,,23000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0106,vmk0106,indefinite,2024-01-01,,26750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0107,vmk0107,indefinite,2024-01-01,,27500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0108,vmk0108,indefinite,2024-01-01,,30250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0109,vmk0109,fixed_term_36_months,2024-01-01,,26000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0110,vmk0110,indefinite,2024-01-01,,27750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0111,vmk0111,indefinite,2024-01-01,,16500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0112,vmk0112,indefinite,2024-01-01,,27250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0113,vmk0113,fixed_term_36_months,2024-01-01,,24000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0114,vmk0114,indefinite,2024-01-01,,28750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0115,vmk0115,indefinite,2024-01-01,,22500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0116,vmk0116,indefinite,2024-01-01,,19250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0117,vmk0117,fixed_term_36_months,2024-05-02,,31000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0118,vmk0118,indefinite,2024-01-01,,25750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0119,vmk0119,indefinite,2024-01-01,,22500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0120,vmk0120,indefinite,2024-01-01,,28250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0121,vmk0121,fixed_term_36_months,2024-01-01,,13500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0122,vmk0122,indefinite,2024-01-01,,22750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0123,vmk0123,indefinite,2024-01-01,,23500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0124,vmk0124,indefinite,2024-01-01,,28250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0125,vmk0125,fixed_term_36_months,2024-01-01,,29000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0126,vmk0126,indefinite,2024-01-01,,26750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0127,vmk0127,indefinite,2024-01-01,,28500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0128,vmk0128,indefinite,2024-01-01,,27250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0129,vmk0129,fixed_term_36_months,2024-01-01,,38000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0130,vmk0130,indefinite,2024-10-20,,24750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0131,vmk0131,indefinite,2024-01-01,,21500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0132,vmk0132,indefinite,2024-01-01,,17750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0133,vmk0133,fixed_term_36_months,2024-01-01,,21000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0134,vmk0134,indefinite,2024-01-01,,15750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0135,vmk0135,indefinite,2024-01-01,,20000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0136,vmk0136,indefinite,2024-01-01,,24250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0137,vmk0137,fixed_term_36_months,2024-01-01,,22000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0138,vmk0138,indefinite,2024-01-01,,12750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0139,vmk0139,indefinite,2024-01-01,,24500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0140,vmk0140,indefinite,2024-01-01,,28250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0141,vmk0141,fixed_term_36_months,2024-01-01,,15000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0142,vmk0142,indefinite,2024-01-01,,29750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0143,vmk0143,indefinite,2024-03-13,,28500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0144,vmk0144,indefinite,2024-01-01,,29250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0145,vmk0145,fixed_term_36_months,2024-01-01,,21000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0146,vmk0146,indefinite,2024-01-01,,18750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0147,vmk0147,indefinite,2024-01-01,,18500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0148,vmk0148,indefinite,2024-01-01,,25250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0149,vmk0149,fixed_term_36_months,2024-01-01,,16000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0150,vmk0150,indefinite,2024-01-01,,26750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0151,vmk0151,indefinite,2024-01-01,,23500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0152,vmk0152,indefinite,2024-01-01,,18250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0153,vmk0153,fixed_term_36_months,2024-01-01,,15500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0154,vmk0154,indefinite,2024-01-01,,19750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0155,vmk0155,indefinite,2024-01-01,,13500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0156,vmk0156,indefinite,2024-08-06,,28250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0157,vmk0157,fixed_term_36_months,2024-01-01,,21000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0158,vmk0158,indefinite,2024-01-01,,15750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0159,vmk0159,indefinite,2024-01-01,,23500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0160,vmk0160,indefinite,2024-01-01,,27250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0161,vmk0161,fixed_term_36_months,2024-01-01,,24000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0162,vmk0162,indefinite,2024-01-01,,15750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0163,vmk0163,indefinite,2024-01-01,,29500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0164,vmk0164,indefinite,2024-01-01,,19250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0165,vmk0165,fixed_term_36_months,2024-01-01,,29000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0166,vmk0166,indefinite,2024-01-01,,25750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0167,vmk0167,indefinite,2024-01-01,,22500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0168,vmk0168,indefinite,2024-01-01,,25250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0169,vmk0169,fixed_term_36_months,2024-01-24,,15500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0170,vmk0170,indefinite,2024-01-01,,21750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0171,vmk0171,indefinite,2024-01-01,,25500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0172,vmk0172,indefinite,2024-01-01,,15750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0173,vmk0173,fixed_term_36_months,2024-01-01,,31000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0174,vmk0174,indefinite,2024-01-01,,26750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0175,vmk0175,indefinite,2024-01-01,,28500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0176,vmk0176,indefinite,2024-01-01,,25250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0177,vmk0177,fixed_term_36_months,2024-01-01,,22000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0178,vmk0178,indefinite,2024-01-01,,14250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0179,vmk0179,indefinite,2024-01-01,,21500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0180,vmk0180,indefinite,2024-01-01,,17250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0181,vmk0181,fixed_term_36_months,2024-01-01,,26000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0182,vmk0182,indefinite,2024-06-17,,29750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0183,vmk0183,indefinite,2024-01-01,,20000000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0184,vmk0184,indefinite,2024-01-01,,20250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0185,vmk0185,fixed_term_36_months,2024-01-01,,15500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0186,vmk0186,indefinite,2024-01-01,,12750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0187,vmk0187,indefinite,2024-01-01,,23500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0188,vmk0188,indefinite,2024-01-01,,27250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0189,vmk0189,fixed_term_36_months,2024-01-01,,16500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0190,vmk0190,indefinite,2024-01-01,,29750000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0191,vmk0191,indefinite,2024-01-01,,28500000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
contract_2024_0192,vmk0192,indefinite,2024-01-01,,17250000,VND,active,Hợp đồng tổng hợp phục vụ kiểm thử nghiệp vụ.
