transfer_code,line_number,item_code,lot_code,source_location_code,destination_location_code,quantity
transfer_2026_00142,1,rm_0261,lot_rm_0261_01,wh_finished_south_z09,wh_cold_z02,6
transfer_2026_00143,1,rm_0284,lot_rm_0284_02,wh_cold_z06,wh_packaging_z03,7
transfer_2026_00144,1,rm_0307,,wh_raw_south_z03,wh_raw_north_z04,8
transfer_2026_00145,1,rm_0003,lot_rm_0003_01,wh_raw_south_z05,wh_raw_north_z05,9
transfer_2026_00146,1,rm_0017,lot_rm_0017_01,wh_cold_z01,wh_finished_south_z06,10
transfer_2026_00147,1,rm_0040,lot_rm_0040_02,wh_raw_south_z08,wh_finished_north_z07,11
transfer_2026_00148,1,rm_0063,,wh_finished_south_z05,wh_cold_z08,12
transfer_2026_00149,1,rm_0077,lot_rm_0077_01,wh_raw_south_z01,wh_packaging_z09,13
transfer_2026_00150,1,rm_0100,lot_rm_0100_02,wh_finished_south_z08,wh_raw_south_z10,14
transfer_2026_00151,1,rm_0123,,wh_cold_z05,wh_raw_north_z01,15
transfer_2026_00152,1,rm_0137,lot_rm_0137_01,wh_finished_south_z01,wh_finished_north_z02,16
transfer_2026_00153,1,rm_0160,lot_rm_0160_02,wh_cold_z08,wh_finished_north_z03,17
transfer_2026_00154,1,rm_0183,,wh_raw_south_z05,wh_cold_z04,18
transfer_2026_00155,1,rm_0197,lot_rm_0197_01,wh_cold_z01,wh_packaging_z05,19
transfer_2026_00156,1,rm_0220,lot_rm_0220_02,wh_raw_south_z08,wh_raw_north_z06,20
transfer_2026_00157,1,rm_0243,,wh_finished_south_z05,wh_raw_north_z07,21
transfer_2026_00158,1,rm_0257,lot_rm_0257_01,wh_raw_south_z01,wh_finished_south_z08,22
transfer_2026_00159,1,rm_0280,lot_rm_0280_02,wh_finished_south_z08,wh_finished_north_z09,23
transfer_2026_00160,1,rm_0303,lot_rm_0303_01,wh_cold_z05,wh_packaging_z10,24
transfer_2026_00161,1,rm_0317,,wh_finished_south_z01,wh_packaging_z01,5
transfer_2026_00162,1,rm_0023,lot_rm_0023_01,wh_raw_south_z05,wh_raw_north_z02,6
transfer_2026_00163,1,rm_0037,lot_rm_0037_01,wh_cold_z01,wh_raw_north_z03,7
transfer_2026_00164,1,rm_0060,,wh_raw_south_z08,wh_finished_south_z04,8
transfer_2026_00165,1,rm_0083,lot_rm_0083_01,wh_finished_south_z05,wh_finished_north_z05,9
transfer_2026_00166,1,rm_0097,lot_rm_0097_01,wh_raw_south_z01,wh_cold_z06,10
transfer_2026_00167,1,rm_0120,,wh_finished_south_z08,wh_packaging_z07,11
transfer_2026_00168,1,rm_0143,lot_rm_0143_01,wh_cold_z05,wh_raw_south_z08,12
transfer_2026_00169,1,rm_0157,lot_rm_0157_01,wh_finished_south_z01,wh_raw_north_z09,13
transfer_2026_00170,1,rm_0180,,wh_cold_z08,wh_finished_south_z10,14
transfer_2026_00171,1,rm_0203,lot_rm_0203_01,wh_raw_south_z05,wh_finished_north_z01,15
transfer_2026_00172,1,rm_0217,lot_rm_0217_01,wh_cold_z01,wh_packaging_z02,16
transfer_2026_00173,1,rm_0240,lot_rm_0240_02,wh_raw_south_z08,wh_packaging_z03,17
transfer_2026_00174,1,rm_0263,lot_rm_0263_01,wh_finished_south_z05,wh_raw_south_z04,18
transfer_2026_00175,1,rm_0277,lot_rm_0277_01,wh_raw_south_z01,wh_raw_north_z05,19
transfer_2026_00176,1,rm_0300,lot_rm_0300_02,wh_finished_south_z08,wh_finished_north_z06,20
transfer_2026_00177,1,rm_0007,lot_rm_0007_01,wh_raw_south_z03,wh_finished_north_z07,21
transfer_2026_00178,1,rm_0021,lot_rm_0021_01,wh_cold_z09,wh_packaging_z08,22
transfer_2026_00179,1,rm_0044,lot_rm_0044_02,wh_raw_south_z06,wh_packaging_z09,23
transfer_2026_00180,1,rm_0067,lot_rm_0067_01,wh_finished_south_z03,wh_raw_south_z10,24
transfer_2026_00181,1,rm_0081,lot_rm_0081_01,wh_raw_south_z09,wh_raw_north_z01,5
transfer_2026_00182,1,rm_0104,lot_rm_0104_02,wh_finished_south_z06,wh_finished_north_z02,6
transfer_2026_00183,1,rm_0127,,wh_cold_z03,wh_finished_north_z03,7
transfer_2026_00184,1,rm_0141,lot_rm_0141_01,wh_finished_south_z09,wh_cold_z04,8
transfer_2026_00185,1,rm_0164,lot_rm_0164_02,wh_cold_z06,wh_packaging_z05,9
transfer_2026_00186,1,rm_0187,,wh_raw_south_z03,wh_raw_north_z06,10
transfer_2026_00187,1,rm_0201,lot_rm_0201_01,wh_cold_z09,wh_raw_north_z07,11
transfer_2026_00188,1,rm_0224,lot_rm_0224_02,wh_raw_south_z06,wh_finished_south_z08,12
transfer_2026_00189,1,rm_0247,,wh_finished_south_z03,wh_finished_north_z09,13
transfer_2026_00190,1,rm_0261,lot_rm_0261_01,wh_raw_south_z09,wh_cold_z10,14
transfer_2026_00191,1,rm_0284,lot_rm_0284_02,wh_finished_south_z06,wh_packaging_z01,15
transfer_2026_00192,1,rm_0307,,wh_cold_z03,wh_raw_south_z02,16
transfer_2026_00193,1,rm_0007,lot_rm_0007_01,wh_finished_south_z03,wh_raw_north_z03,17
transfer_2026_00194,1,rm_0021,lot_rm_0021_01,wh_raw_south_z09,wh_finished_south_z04,18
transfer_2026_00195,1,rm_0044,lot_rm_0044_02,wh_finished_south_z06,wh_finished_north_z05,19
transfer_2026_00196,1,rm_0067,lot_rm_0067_01,wh_cold_z03,wh_packaging_z06,20
transfer_2026_00197,1,rm_0081,lot_rm_0081_01,wh_finished_south_z09,wh_packaging_z07,21
transfer_2026_00198,1,rm_0104,lot_rm_0104_02,wh_cold_z06,wh_raw_south_z08,22
transfer_2026_00199,1,rm_0127,,wh_raw_south_z03,wh_raw_north_z09,23
transfer_2026_00200,1,rm_0141,lot_rm_0141_01,wh_cold_z09,wh_finished_south_z10,24
transfer_2026_00201,1,rm_0164,lot_rm_0164_02,wh_raw_south_z06,wh_finished_north_z01,5
transfer_2026_00202,1,rm_0187,,wh_finished_south_z03,wh_cold_z02,6
transfer_2026_00203,1,rm_0201,lot_rm_0201_01,wh_raw_south_z09,wh_packaging_z03,7
transfer_2026_00204,1,rm_0224,lot_rm_0224_02,wh_finished_south_z06,wh_raw_south_z04,8
transfer_2026_00205,1,rm_0247,,wh_cold_z03,wh_raw_north_z05,9
transfer_2026_00206,1,rm_0261,lot_rm_0261_01,wh_finished_south_z09,wh_finished_north_z06,10
transfer_2026_00207,1,rm_0284,lot_rm_0284_02,wh_cold_z06,wh_finished_north_z07,11
transfer_2026_00208,1,rm_0307,,wh_raw_south_z03,wh_cold_z08,12
transfer_2026_00209,1,rm_0003,lot_rm_0003_01,wh_raw_south_z05,wh_packaging_z09,13
transfer_2026_00210,1,rm_0017,lot_rm_0017_01,wh_cold_z01,wh_raw_south_z10,14
transfer_2026_00211,1,rm_0040,lot_rm_0040_02,wh_raw_south_z08,wh_raw_north_z01,15
transfer_2026_00212,1,rm_0063,,wh_finished_south_z05,wh_finished_north_z02,16
transfer_2026_00213,1,rm_0077,lot_rm_0077_01,wh_raw_south_z01,wh_finished_north_z03,17
transfer_2026_00214,1,rm_0100,lot_rm_0100_02,wh_finished_south_z08,wh_cold_z04,18
transfer_2026_00215,1,rm_0123,,wh_cold_z05,wh_packaging_z05,19
transfer_2026_00216,1,rm_0137,lot_rm_0137_01,wh_finished_south_z01,wh_raw_south_z06,20
transfer_2026_00217,1,rm_0160,lot_rm_0160_02,wh_cold_z08,wh_raw_north_z07,21
transfer_2026_00218,1,rm_0183,,wh_raw_south_z05,wh_finished_south_z08,22
transfer_2026_00219,1,rm_0197,lot_rm_0197_01,wh_cold_z01,wh_finished_north_z09,23
transfer_2026_00220,1,rm_0220,lot_rm_0220_02,wh_raw_south_z08,wh_cold_z10,24
transfer_2026_00221,1,rm_0243,,wh_finished_south_z05,wh_packaging_z01,5
transfer_2026_00222,1,rm_0257,lot_rm_0257_01,wh_raw_south_z01,wh_raw_north_z02,6
transfer_2026_00223,1,rm_0280,lot_rm_0280_02,wh_finished_south_z08,wh_raw_north_z03,7
transfer_2026_00224,1,rm_0303,lot_rm_0303_01,wh_cold_z05,wh_finished_south_z04,8
transfer_2026_00225,1,rm_0317,,wh_finished_south_z01,wh_finished_north_z05,9
transfer_2026_00226,1,rm_0023,lot_rm_0023_01,wh_raw_south_z05,wh_cold_z06,10
transfer_2026_00227,1,rm_0037,lot_rm_0037_01,wh_cold_z01,wh_packaging_z07,11
transfer_2026_00228,1,rm_0060,,wh_raw_south_z08,wh_raw_north_z08,12
transfer_2026_00229,1,rm_0083,lot_rm_0083_01,wh_finished_south_z05,wh_raw_north_z09,13
transfer_2026_00230,1,rm_0097,lot_rm_0097_01,wh_raw_south_z01,wh_finished_south_z10,14
transfer_2026_00231,1,rm_0120,,wh_finished_south_z08,wh_finished_north_z01,15
transfer_2026_00232,1,rm_0143,lot_rm_0143_01,wh_cold_z05,wh_packaging_z02,16
transfer_2026_00233,1,rm_0157,lot_rm_0157_01,wh_finished_south_z01,wh_packaging_z03,17
transfer_2026_00234,1,rm_0180,,wh_cold_z08,wh_raw_south_z04,18
transfer_2026_00235,1,rm_0203,lot_rm_0203_01,wh_raw_south_z05,wh_raw_north_z05,19
transfer_2026_00236,1,rm_0217,lot_rm_0217_01,wh_cold_z01,wh_finished_south_z06,20
transfer_2026_00237,1,rm_0240,lot_rm_0240_02,wh_raw_south_z08,wh_finished_north_z07,21
transfer_2026_00238,1,rm_0263,lot_rm_0263_01,wh_finished_south_z05,wh_cold_z08,22
transfer_2026_00239,1,rm_0277,lot_rm_0277_01,wh_raw_south_z01,wh_packaging_z09,23
transfer_2026_00240,1,rm_0300,lot_rm_0300_02,wh_finished_south_z08,wh_raw_south_z10,24
transfer_2026_00241,1,rm_0007,lot_rm_0007_01,wh_raw_south_z03,wh_raw_north_z01,5
transfer_2026_00242,1,rm_0021,lot_rm_0021_01,wh_cold_z09,wh_finished_south_z02,6
transfer_2026_00243,1,rm_0044,lot_rm_0044_02,wh_raw_south_z06,wh_finished_north_z03,7
transfer_2026_00244,1,rm_0067,lot_rm_0067_01,wh_finished_south_z03,wh_cold_z04,8
transfer_2026_00245,1,rm_0081,lot_rm_0081_01,wh_raw_south_z09,wh_packaging_z05,9
transfer_2026_00246,1,rm_0104,lot_rm_0104_02,wh_finished_south_z06,wh_raw_south_z06,10
transfer_2026_00247,1,rm_0127,,wh_cold_z03,wh_raw_north_z07,11
transfer_2026_00248,1,rm_0141,lot_rm_0141_01,wh_finished_south_z09,wh_finished_north_z08,12
transfer_2026_00249,1,rm_0164,lot_rm_0164_02,wh_cold_z06,wh_finished_north_z09,13
transfer_2026_00250,1,rm_0187,,wh_raw_south_z03,wh_cold_z10,14
transfer_2026_state_draft,1,rm_0007,lot_rm_0007_01,wh_finished_south_z03,wh_raw_north_z01,1
transfer_2026_state_pending,1,rm_0007,lot_rm_0007_01,wh_finished_south_z03,wh_raw_north_z01,1
transfer_2026_state_cancelled,1,rm_0007,lot_rm_0007_01,wh_finished_south_z03,wh_raw_north_z01,1
