receipt_code,warehouse_code,supplier_code,source_module,source_document_code,reference_number,status,idempotency_key,posted_at,notes
receipt_2025_00032,wh_raw_north,supplier_002,,,purchase_order_2026_00032,cancelled,receipt_2026_00032,2026-12-06T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00033,wh_finished_south,supplier_003,,,purchase_order_2025_00033,draft,receipt_2025_00033,2025-05-17T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00034,wh_finished_north,supplier_004,,,purchase_order_2026_00034,pending,receipt_2026_00034,2026-10-04T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00035,wh_cold,supplier_005,,,purchase_order_2025_00035,posted,receipt_2025_00035,2025-03-15T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00036,wh_packaging,supplier_006,,,purchase_order_2026_00036,cancelled,receipt_2026_00036,2026-08-02T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00037,wh_raw_south,supplier_007,,,purchase_order_2025_00037,draft,receipt_2025_00037,2025-01-13T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00038,wh_raw_north,supplier_008,,,purchase_order_2026_00038,pending,receipt_2026_00038,2026-06-24T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00039,wh_finished_south,supplier_009,,,purchase_order_2025_00039,posted,receipt_2025_00039,2025-11-11T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00040,wh_finished_north,supplier_010,,,purchase_order_2026_00040,cancelled,receipt_2026_00040,2026-04-22T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00041,wh_cold,supplier_011,,,purchase_order_2025_00041,draft,receipt_2025_00041,2025-09-09T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00042,wh_packaging,supplier_012,,,purchase_order_2026_00042,pending,receipt_2026_00042,2026-02-20T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00043,wh_raw_south,supplier_013,,,purchase_order_2025_00043,posted,receipt_2025_00043,2025-07-07T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00044,wh_raw_north,supplier_014,,,purchase_order_2026_00044,cancelled,receipt_2026_00044,2026-12-18T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00045,wh_finished_south,supplier_015,,,purchase_order_2025_00045,draft,receipt_2025_00045,2025-05-05T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00046,wh_finished_north,supplier_016,,,purchase_order_2026_00046,pending,receipt_2026_00046,2026-10-16T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00047,wh_cold,supplier_017,,,purchase_order_2025_00047,posted,receipt_2025_00047,2025-03-03T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00048,wh_packaging,supplier_018,,,purchase_order_2026_00048,cancelled,receipt_2026_00048,2026-08-14T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00049,wh_raw_south,supplier_019,,,purchase_order_2025_00049,draft,receipt_2025_00049,2025-01-01T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00050,wh_raw_north,supplier_020,,,purchase_order_2026_00050,pending,receipt_2026_00050,2026-06-12T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00051,wh_finished_south,supplier_021,,,purchase_order_2025_00051,posted,receipt_2025_00051,2025-11-23T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00052,wh_finished_north,supplier_022,,,purchase_order_2026_00052,cancelled,receipt_2026_00052,2026-04-10T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00053,wh_cold,supplier_023,,,purchase_order_2025_00053,draft,receipt_2025_00053,2025-09-21T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00054,wh_packaging,supplier_024,,,purchase_order_2026_00054,pending,receipt_2026_00054,2026-02-08T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00055,wh_raw_south,supplier_025,,,purchase_order_2025_00055,posted,receipt_2025_00055,2025-07-19T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00056,wh_raw_north,supplier_026,,,purchase_order_2026_00056,cancelled,receipt_2026_00056,2026-12-06T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00057,wh_finished_south,supplier_027,,,purchase_order_2025_00057,draft,receipt_2025_00057,2025-05-17T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00058,wh_finished_north,supplier_028,,,purchase_order_2026_00058,pending,receipt_2026_00058,2026-10-04T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00059,wh_cold,supplier_029,,,purchase_order_2025_00059,posted,receipt_2025_00059,2025-03-15T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00060,wh_packaging,supplier_030,,,purchase_order_2026_00060,cancelled,receipt_2026_00060,2026-08-02T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00061,wh_raw_south,supplier_001,,,purchase_order_2025_00061,draft,receipt_2025_00061,2025-01-13T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00062,wh_raw_north,supplier_002,,,purchase_order_2026_00062,pending,receipt_2026_00062,2026-06-24T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00063,wh_finished_south,supplier_003,,,purchase_order_2025_00063,posted,receipt_2025_00063,2025-11-11T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00064,wh_finished_north,supplier_004,,,purchase_order_2026_00064,cancelled,receipt_2026_00064,2026-04-22T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00065,wh_cold,supplier_005,,,purchase_order_2025_00065,draft,receipt_2025_00065,2025-09-09T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00066,wh_packaging,supplier_006,,,purchase_order_2026_00066,pending,receipt_2026_00066,2026-02-20T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00067,wh_raw_south,supplier_007,,,purchase_order_2025_00067,posted,receipt_2025_00067,2025-07-07T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00068,wh_raw_north,supplier_008,,,purchase_order_2026_00068,cancelled,receipt_2026_00068,2026-12-18T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00069,wh_finished_south,supplier_009,,,purchase_order_2025_00069,draft,receipt_2025_00069,2025-05-05T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00070,wh_finished_north,supplier_010,,,purchase_order_2026_00070,pending,receipt_2026_00070,2026-10-16T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00071,wh_cold,supplier_011,,,purchase_order_2025_00071,posted,receipt_2025_00071,2025-03-03T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00072,wh_packaging,supplier_012,,,purchase_order_2026_00072,cancelled,receipt_2026_00072,2026-08-14T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00073,wh_raw_south,supplier_013,,,purchase_order_2025_00073,draft,receipt_2025_00073,2025-01-01T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00074,wh_raw_north,supplier_014,,,purchase_order_2026_00074,pending,receipt_2026_00074,2026-06-12T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00075,wh_finished_south,supplier_015,,,purchase_order_2025_00075,posted,receipt_2025_00075,2025-11-23T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00076,wh_finished_north,supplier_016,,,purchase_order_2026_00076,cancelled,receipt_2026_00076,2026-04-10T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00077,wh_cold,supplier_017,,,purchase_order_2025_00077,draft,receipt_2025_00077,2025-09-21T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00078,wh_packaging,supplier_018,,,purchase_order_2026_00078,pending,receipt_2026_00078,2026-02-08T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00079,wh_raw_south,supplier_019,,,purchase_order_2025_00079,posted,receipt_2025_00079,2025-07-19T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00080,wh_raw_north,supplier_020,,,purchase_order_2026_00080,cancelled,receipt_2026_00080,2026-12-06T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00081,wh_finished_south,supplier_021,,,purchase_order_2025_00081,draft,receipt_2025_00081,2025-05-17T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00082,wh_finished_north,supplier_022,,,purchase_order_2026_00082,pending,receipt_2026_00082,2026-10-04T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00083,wh_cold,supplier_023,,,purchase_order_2025_00083,posted,receipt_2025_00083,2025-03-15T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00084,wh_packaging,supplier_024,,,purchase_order_2026_00084,cancelled,receipt_2026_00084,2026-08-02T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00085,wh_raw_south,supplier_025,,,purchase_order_2025_00085,draft,receipt_2025_00085,2025-01-13T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00086,wh_raw_north,supplier_026,,,purchase_order_2026_00086,pending,receipt_2026_00086,2026-06-24T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00087,wh_finished_south,supplier_027,,,purchase_order_2025_00087,posted,receipt_2025_00087,2025-11-11T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00088,wh_finished_north,supplier_028,,,purchase_order_2026_00088,cancelled,receipt_2026_00088,2026-04-22T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00089,wh_cold,supplier_029,,,purchase_order_2025_00089,draft,receipt_2025_00089,2025-09-09T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00090,wh_packaging,supplier_030,,,purchase_order_2026_00090,pending,receipt_2026_00090,2026-02-20T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00091,wh_raw_south,supplier_001,,,purchase_order_2025_00091,posted,receipt_2025_00091,2025-07-07T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00092,wh_raw_north,supplier_002,,,purchase_order_2026_00092,cancelled,receipt_2026_00092,2026-12-18T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00093,wh_finished_south,supplier_003,,,purchase_order_2025_00093,draft,receipt_2025_00093,2025-05-05T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00094,wh_finished_north,supplier_004,,,purchase_order_2026_00094,pending,receipt_2026_00094,2026-10-16T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00095,wh_cold,supplier_005,,,purchase_order_2025_00095,posted,receipt_2025_00095,2025-03-03T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00096,wh_packaging,supplier_006,,,purchase_order_2026_00096,cancelled,receipt_2026_00096,2026-08-14T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00097,wh_raw_south,supplier_007,,,purchase_order_2025_00097,draft,receipt_2025_00097,2025-01-01T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00098,wh_raw_north,supplier_008,,,purchase_order_2026_00098,pending,receipt_2026_00098,2026-06-12T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00099,wh_finished_south,supplier_009,,,purchase_order_2025_00099,posted,receipt_2025_00099,2025-11-23T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00100,wh_finished_north,supplier_010,,,purchase_order_2026_00100,cancelled,receipt_2026_00100,2026-04-10T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00101,wh_cold,supplier_011,,,purchase_order_2025_00101,draft,receipt_2025_00101,2025-09-21T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00102,wh_packaging,supplier_012,,,purchase_order_2026_00102,pending,receipt_2026_00102,2026-02-08T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00103,wh_raw_south,supplier_013,,,purchase_order_2025_00103,posted,receipt_2025_00103,2025-07-19T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00104,wh_raw_north,supplier_014,,,purchase_order_2026_00104,cancelled,receipt_2026_00104,2026-12-06T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00105,wh_finished_south,supplier_015,,,purchase_order_2025_00105,draft,receipt_2025_00105,2025-05-17T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00106,wh_finished_north,supplier_016,,,purchase_order_2026_00106,pending,receipt_2026_00106,2026-10-04T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00107,wh_cold,supplier_017,,,purchase_order_2025_00107,posted,receipt_2025_00107,2025-03-15T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00108,wh_packaging,supplier_018,,,purchase_order_2026_00108,cancelled,receipt_2026_00108,2026-08-02T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00109,wh_raw_south,supplier_019,,,purchase_order_2025_00109,draft,receipt_2025_00109,2025-01-13T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00110,wh_raw_north,supplier_020,,,purchase_order_2026_00110,pending,receipt_2026_00110,2026-06-24T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00111,wh_finished_south,supplier_021,,,purchase_order_2025_00111,posted,receipt_2025_00111,2025-11-11T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00112,wh_finished_north,supplier_022,,,purchase_order_2026_00112,cancelled,receipt_2026_00112,2026-04-22T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00113,wh_cold,supplier_023,,,purchase_order_2025_00113,draft,receipt_2025_00113,2025-09-09T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00114,wh_packaging,supplier_024,,,purchase_order_2026_00114,pending,receipt_2026_00114,2026-02-20T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00115,wh_raw_south,supplier_025,,,purchase_order_2025_00115,posted,receipt_2025_00115,2025-07-07T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00116,wh_raw_north,supplier_026,,,purchase_order_2026_00116,cancelled,receipt_2026_00116,2026-12-18T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00117,wh_finished_south,supplier_027,,,purchase_order_2025_00117,draft,receipt_2025_00117,2025-05-05T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00118,wh_finished_north,supplier_028,,,purchase_order_2026_00118,pending,receipt_2026_00118,2026-10-16T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00119,wh_cold,supplier_029,,,purchase_order_2025_00119,posted,receipt_2025_00119,2025-03-03T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00120,wh_packaging,supplier_030,,,purchase_order_2026_00120,cancelled,receipt_2026_00120,2026-08-14T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00121,wh_raw_south,supplier_001,,,purchase_order_2025_00121,draft,receipt_2025_00121,2025-01-01T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00122,wh_raw_north,supplier_002,,,purchase_order_2026_00122,pending,receipt_2026_00122,2026-06-12T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00123,wh_finished_south,supplier_003,,,purchase_order_2025_00123,posted,receipt_2025_00123,2025-11-23T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00124,wh_finished_north,supplier_004,,,purchase_order_2026_00124,cancelled,receipt_2026_00124,2026-04-10T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00125,wh_cold,supplier_005,,,purchase_order_2025_00125,draft,receipt_2025_00125,2025-09-21T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00126,wh_packaging,supplier_006,,,purchase_order_2026_00126,pending,receipt_2026_00126,2026-02-08T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00127,wh_raw_south,supplier_007,,,purchase_order_2025_00127,posted,receipt_2025_00127,2025-07-19T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00128,wh_raw_north,supplier_008,,,purchase_order_2026_00128,cancelled,receipt_2026_00128,2026-12-06T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00129,wh_finished_south,supplier_009,,,purchase_order_2025_00129,draft,receipt_2025_00129,2025-05-17T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00130,wh_finished_north,supplier_010,,,purchase_order_2026_00130,pending,receipt_2026_00130,2026-10-04T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00131,wh_cold,supplier_011,,,purchase_order_2025_00131,posted,receipt_2025_00131,2025-03-15T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00132,wh_packaging,supplier_012,,,purchase_order_2026_00132,cancelled,receipt_2026_00132,2026-08-02T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00133,wh_raw_south,supplier_013,,,purchase_order_2025_00133,draft,receipt_2025_00133,2025-01-13T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00134,wh_raw_north,supplier_014,,,purchase_order_2026_00134,pending,receipt_2026_00134,2026-06-24T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00135,wh_finished_south,supplier_015,,,purchase_order_2025_00135,posted,receipt_2025_00135,2025-11-11T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00136,wh_finished_north,supplier_016,,,purchase_order_2026_00136,cancelled,receipt_2026_00136,2026-04-22T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00137,wh_cold,supplier_017,,,purchase_order_2025_00137,draft,receipt_2025_00137,2025-09-09T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00138,wh_packaging,supplier_018,,,purchase_order_2026_00138,pending,receipt_2026_00138,2026-02-20T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00139,wh_raw_south,supplier_019,,,purchase_order_2025_00139,posted,receipt_2025_00139,2025-07-07T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00140,wh_raw_north,supplier_020,,,purchase_order_2026_00140,cancelled,receipt_2026_00140,2026-12-18T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00141,wh_finished_south,supplier_021,,,purchase_order_2025_00141,draft,receipt_2025_00141,2025-05-05T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00142,wh_finished_north,supplier_022,,,purchase_order_2026_00142,pending,receipt_2026_00142,2026-10-16T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
receipt_2025_00143,wh_cold,supplier_023,,,purchase_order_2025_00143,posted,receipt_2025_00143,2025-03-03T09:00:00+07:00,Nhập hàng theo kế hoạch cung ứng nguyên liệu.
