issue_code,line_number,item_code,location_code,lot_code,quantity
issue_2026_00054,2,rm_0011,wh_finished_south_z01,lot_rm_0011_01,26
issue_2026_00055,1,rm_0023,wh_raw_south_z05,lot_rm_0023_01,24
issue_2026_00055,2,rm_0024,wh_raw_south_z06,lot_rm_0024_02,27
issue_2026_00056,1,rm_0036,wh_cold_z10,lot_rm_0036_02,25
issue_2026_00056,2,rm_0037,wh_cold_z01,lot_rm_0037_01,28
issue_2026_00057,1,rm_0037,wh_cold_z01,lot_rm_0037_01,26
issue_2026_00057,2,rm_0071,wh_cold_z01,lot_rm_0071_01,29
issue_2026_00058,1,rm_0047,wh_finished_south_z03,lot_rm_0047_01,27
issue_2026_00058,2,rm_0048,wh_finished_south_z04,lot_rm_0048_02,30
issue_2026_00059,1,rm_0060,wh_raw_south_z08,,28
issue_2026_00059,2,rm_0061,wh_raw_south_z09,,31
issue_2026_00060,1,rm_0061,wh_raw_south_z09,,29
issue_2026_00060,2,rm_0095,wh_raw_south_z09,lot_rm_0095_01,32
issue_2026_00061,1,rm_0107,wh_cold_z03,lot_rm_0107_01,30
issue_2026_00061,2,rm_0108,wh_cold_z04,lot_rm_0108_02,33
issue_2026_00062,1,rm_0084,wh_finished_south_z06,lot_rm_0084_02,31
issue_2026_00062,2,rm_0085,wh_finished_south_z07,lot_rm_0085_01,34
issue_2026_00063,1,rm_0085,wh_finished_south_z07,lot_rm_0085_01,32
issue_2026_00063,2,rm_0119,wh_finished_south_z07,,35
issue_2026_00064,1,rm_0131,wh_raw_south_z01,lot_rm_0131_01,33
issue_2026_00064,2,rm_0132,wh_raw_south_z02,lot_rm_0132_02,36
issue_2026_00065,1,rm_0144,wh_cold_z06,lot_rm_0144_02,34
issue_2026_00065,2,rm_0145,wh_cold_z07,lot_rm_0145_01,37
issue_2026_00066,1,rm_0145,wh_cold_z07,lot_rm_0145_01,35
issue_2026_00066,2,rm_0179,wh_cold_z07,,38
issue_2026_00067,1,rm_0155,wh_finished_south_z09,lot_rm_0155_01,36
issue_2026_00067,2,rm_0156,wh_finished_south_z10,lot_rm_0156_02,39
issue_2026_00068,1,rm_0168,wh_raw_south_z04,lot_rm_0168_02,37
issue_2026_00068,2,rm_0169,wh_raw_south_z05,lot_rm_0169_01,40
issue_2026_00069,1,rm_0169,wh_raw_south_z05,lot_rm_0169_01,38
issue_2026_00069,2,rm_0203,wh_raw_south_z05,lot_rm_0203_01,41
issue_2026_00070,1,rm_0215,wh_cold_z09,lot_rm_0215_01,39
issue_2026_00070,2,rm_0216,wh_cold_z10,lot_rm_0216_02,42
issue_2026_00071,1,rm_0192,wh_finished_south_z02,,40
issue_2026_00071,2,rm_0193,wh_finished_south_z03,lot_rm_0193_01,43
issue_2026_00072,1,rm_0193,wh_finished_south_z03,lot_rm_0193_01,41
issue_2026_00072,2,rm_0227,wh_finished_south_z03,lot_rm_0227_01,44
issue_2026_00073,1,rm_0239,wh_raw_south_z07,lot_rm_0239_01,42
issue_2026_00073,2,rm_0240,wh_raw_south_z08,lot_rm_0240_02,45
issue_2026_00074,1,rm_0252,wh_cold_z02,,43
issue_2026_00074,2,rm_0253,wh_cold_z03,,46
issue_2026_00075,1,rm_0253,wh_cold_z03,,44
issue_2026_00075,2,rm_0287,wh_cold_z03,lot_rm_0287_01,47
issue_2026_00076,1,rm_0263,wh_finished_south_z05,lot_rm_0263_01,45
issue_2026_00076,2,rm_0264,wh_finished_south_z06,lot_rm_0264_02,48
issue_2026_00077,1,rm_0276,wh_raw_south_z10,lot_rm_0276_02,46
issue_2026_00077,2,rm_0277,wh_raw_south_z01,lot_rm_0277_01,49
issue_2026_00078,1,rm_0277,wh_raw_south_z01,lot_rm_0277_01,47
issue_2026_00078,2,rm_0311,wh_raw_south_z01,,10
issue_2026_00079,1,rm_0019,wh_cold_z07,lot_rm_0019_01,48
issue_2026_00079,2,rm_0020,wh_cold_z08,lot_rm_0020_02,11
issue_2026_00080,1,rm_0300,wh_finished_south_z08,lot_rm_0300_02,49
issue_2026_00080,2,rm_0301,wh_finished_south_z09,lot_rm_0301_01,12
issue_2026_00081,1,rm_0301,wh_finished_south_z09,lot_rm_0301_01,10
issue_2026_00081,2,rm_0031,wh_finished_south_z01,lot_rm_0031_01,13
issue_2026_00082,1,rm_0031,wh_finished_south_z01,lot_rm_0031_01,11
issue_2026_00082,2,rm_0032,wh_finished_south_z02,lot_rm_0032_02,14
issue_2026_00083,1,rm_0032,wh_finished_south_z02,lot_rm_0032_02,12
issue_2026_00083,2,rm_0033,wh_finished_south_z03,lot_rm_0033_01,15
issue_2026_00084,1,rm_0009,wh_raw_south_z05,lot_rm_0009_01,13
issue_2026_00084,2,rm_0043,wh_raw_south_z05,lot_rm_0043_01,16
issue_2026_00085,1,rm_0091,wh_cold_z01,lot_rm_0091_01,14
issue_2026_00085,2,rm_0092,wh_cold_z02,lot_rm_0092_02,17
issue_2026_00086,1,rm_0092,wh_cold_z02,lot_rm_0092_02,15
issue_2026_00086,2,rm_0093,wh_cold_z03,lot_rm_0093_01,18
issue_2026_00087,1,rm_0069,wh_finished_south_z05,lot_rm_0069_01,16
issue_2026_00087,2,rm_0103,wh_finished_south_z05,lot_rm_0103_01,19
issue_2026_00088,1,rm_0079,wh_raw_south_z07,lot_rm_0079_01,17
issue_2026_00088,2,rm_0080,wh_raw_south_z08,lot_rm_0080_02,20
issue_2026_00089,1,rm_0080,wh_raw_south_z08,lot_rm_0080_02,18
issue_2026_00089,2,rm_0081,wh_raw_south_z09,lot_rm_0081_01,21
issue_2026_00090,1,rm_0129,wh_cold_z05,lot_rm_0129_01,19
issue_2026_00090,2,rm_0163,wh_cold_z05,lot_rm_0163_01,22
issue_2026_00091,1,rm_0139,wh_finished_south_z07,lot_rm_0139_01,20
issue_2026_00091,2,rm_0140,wh_finished_south_z08,lot_rm_0140_02,23
issue_2026_00092,1,rm_0140,wh_finished_south_z08,lot_rm_0140_02,21
issue_2026_00092,2,rm_0141,wh_finished_south_z09,lot_rm_0141_01,24
issue_2026_00093,1,rm_0117,wh_raw_south_z01,,22
issue_2026_00093,2,rm_0151,wh_raw_south_z01,lot_rm_0151_01,25
issue_2026_00094,1,rm_0199,wh_cold_z07,lot_rm_0199_01,23
issue_2026_00094,2,rm_0200,wh_cold_z08,lot_rm_0200_02,26
issue_2026_00095,1,rm_0200,wh_cold_z08,lot_rm_0200_02,24
issue_2026_00095,2,rm_0201,wh_cold_z09,lot_rm_0201_01,27
issue_2026_00096,1,rm_0177,wh_finished_south_z01,,25
issue_2026_00096,2,rm_0211,wh_finished_south_z01,lot_rm_0211_01,28
issue_2026_00097,1,rm_0187,wh_raw_south_z03,,26
issue_2026_00097,2,rm_0188,wh_raw_south_z04,,29
issue_2026_00098,1,rm_0188,wh_raw_south_z04,,27
issue_2026_00098,2,rm_0189,wh_raw_south_z05,,30
issue_2026_00099,1,rm_0237,wh_cold_z01,lot_rm_0237_01,28
issue_2026_00099,2,rm_0271,wh_cold_z01,lot_rm_0271_01,31
issue_2026_00100,1,rm_0247,wh_finished_south_z03,,29
issue_2026_00100,2,rm_0248,wh_finished_south_z04,,32
issue_2026_00101,1,rm_0248,wh_finished_south_z04,,30
issue_2026_00101,2,rm_0249,wh_finished_south_z05,,33
issue_2026_00102,1,rm_0225,wh_raw_south_z07,lot_rm_0225_01,31
issue_2026_00102,2,rm_0259,wh_raw_south_z07,lot_rm_0259_01,34
issue_2026_00103,1,rm_0307,wh_cold_z03,,32
issue_2026_00103,2,rm_0308,wh_cold_z04,,35
issue_2026_00104,1,rm_0308,wh_cold_z04,,33
issue_2026_00104,2,rm_0309,wh_cold_z05,,36
issue_2026_00105,1,rm_0285,wh_finished_south_z07,lot_rm_0285_01,34
issue_2026_00105,2,rm_0319,wh_finished_south_z07,,37
issue_2026_00106,1,rm_0295,wh_raw_south_z09,lot_rm_0295_01,35
issue_2026_00106,2,rm_0296,wh_raw_south_z10,lot_rm_0296_02,38
issue_2026_00107,1,rm_0296,wh_raw_south_z10,lot_rm_0296_02,36
issue_2026_00107,2,rm_0297,wh_raw_south_z01,lot_rm_0297_01,39
issue_2026_00108,1,rm_0033,wh_cold_z03,lot_rm_0033_01,37
issue_2026_00108,2,rm_0067,wh_cold_z03,lot_rm_0067_01,40
issue_2026_00109,1,rm_0008,wh_finished_south_z04,lot_rm_0008_02,38
issue_2026_00109,2,rm_0009,wh_finished_south_z05,lot_rm_0009_01,41
issue_2026_00110,1,rm_0009,wh_finished_south_z05,lot_rm_0009_01,39
issue_2026_00110,2,rm_0043,wh_finished_south_z05,lot_rm_0043_01,42
issue_2026_00111,1,rm_0021,wh_raw_south_z09,lot_rm_0021_01,40
issue_2026_00111,2,rm_0055,wh_raw_south_z09,,43
issue_2026_00112,1,rm_0103,wh_cold_z05,lot_rm_0103_01,41
issue_2026_00112,2,rm_0104,wh_cold_z06,lot_rm_0104_02,44
issue_2026_00113,1,rm_0104,wh_cold_z06,lot_rm_0104_02,42
issue_2026_00113,2,rm_0105,wh_cold_z07,lot_rm_0105_01,45
issue_2026_00114,1,rm_0079,wh_finished_south_z07,lot_rm_0079_01,43
issue_2026_00114,2,rm_0080,wh_finished_south_z08,lot_rm_0080_02,46
issue_2026_00115,1,rm_0091,wh_raw_south_z01,lot_rm_0091_01,44
issue_2026_00115,2,rm_0092,wh_raw_south_z02,lot_rm_0092_02,47
issue_2026_00116,1,rm_0092,wh_raw_south_z02,lot_rm_0092_02,45
issue_2026_00116,2,rm_0093,wh_raw_south_z03,lot_rm_0093_01,48
issue_2026_00117,1,rm_0141,wh_cold_z09,lot_rm_0141_01,46
issue_2026_00117,2,rm_0175,wh_cold_z09,lot_rm_0175_01,49
issue_2026_00118,1,rm_0116,wh_finished_south_z10,,47
issue_2026_00118,2,rm_0117,wh_finished_south_z01,,10
issue_2026_00119,1,rm_0117,wh_finished_south_z01,,48
issue_2026_00119,2,rm_0151,wh_finished_south_z01,lot_rm_0151_01,11
issue_2026_00120,1,rm_0129,wh_raw_south_z05,lot_rm_0129_01,49
issue_2026_00120,2,rm_0163,wh_raw_south_z05,lot_rm_0163_01,12
issue_2026_00121,1,rm_0163,wh_raw_south_z05,lot_rm_0163_01,10
issue_2026_00121,2,rm_0164,wh_raw_south_z06,lot_rm_0164_02,13
issue_2026_00122,1,rm_0164,wh_raw_south_z06,lot_rm_0164_02,11
issue_2026_00122,2,rm_0165,wh_raw_south_z07,lot_rm_0165_01,14
issue_2026_00123,1,rm_0213,wh_cold_z03,lot_rm_0213_01,12
issue_2026_00123,2,rm_0247,wh_cold_z03,,15
issue_2026_00124,1,rm_0188,wh_finished_south_z04,,13
issue_2026_00124,2,rm_0189,wh_finished_south_z05,,16
issue_2026_00125,1,rm_0189,wh_finished_south_z05,,14
issue_2026_00125,2,rm_0223,wh_finished_south_z05,lot_rm_0223_01,17
issue_2026_00126,1,rm_0201,wh_raw_south_z09,lot_rm_0201_01,15
issue_2026_00126,2,rm_0235,wh_raw_south_z09,lot_rm_0235_01,18
issue_2026_00127,1,rm_0283,wh_cold_z05,lot_rm_0283_01,16
issue_2026_00127,2,rm_0284,wh_cold_z06,lot_rm_0284_02,19
issue_2026_00128,1,rm_0284,wh_cold_z06,lot_rm_0284_02,17
issue_2026_00128,2,rm_0285,wh_cold_z07,lot_rm_0285_01,20
issue_2026_00129,1,rm_0259,wh_finished_south_z07,lot_rm_0259_01,18
issue_2026_00129,2,rm_0260,wh_finished_south_z08,lot_rm_0260_02,21
issue_2026_00130,1,rm_0271,wh_raw_south_z01,lot_rm_0271_01,19
issue_2026_00130,2,rm_0272,wh_raw_south_z02,lot_rm_0272_02,22
issue_2026_00131,1,rm_0272,wh_raw_south_z02,lot_rm_0272_02,20
issue_2026_00131,2,rm_0273,wh_raw_south_z03,lot_rm_0273_01,23
issue_2026_00132,1,rm_0015,wh_cold_z09,lot_rm_0015_01,21
issue_2026_00132,2,rm_0016,wh_cold_z10,lot_rm_0016_02,24
issue_2026_00133,1,rm_0296,wh_finished_south_z10,lot_rm_0296_02,22
issue_2026_00133,2,rm_0297,wh_finished_south_z01,lot_rm_0297_01,25
issue_2026_00134,1,rm_0297,wh_finished_south_z01,lot_rm_0297_01,23
issue_2026_00134,2,rm_0027,wh_finished_south_z03,lot_rm_0027_01,26
issue_2026_00135,1,rm_0309,wh_raw_south_z05,,24
issue_2026_00135,2,rm_0003,wh_raw_south_z05,lot_rm_0003_01,27
issue_2026_00136,1,rm_0052,wh_cold_z02,,25
issue_2026_00136,2,rm_0053,wh_cold_z03,,28
issue_2026_00137,1,rm_0053,wh_cold_z03,,26
issue_2026_00137,2,rm_0087,wh_cold_z03,lot_rm_0087_01,29
issue_2026_00138,1,rm_0063,wh_finished_south_z05,,27
issue_2026_00138,2,rm_0064,wh_finished_south_z06,,30
issue_2026_00139,1,rm_0039,wh_raw_south_z07,lot_rm_0039_01,28
issue_2026_00139,2,rm_0040,wh_raw_south_z08,lot_rm_0040_02,31
issue_2026_00140,1,rm_0040,wh_raw_south_z08,lot_rm_0040_02,29
issue_2026_00140,2,rm_0041,wh_raw_south_z09,lot_rm_0041_01,32
issue_2026_00141,1,rm_0123,wh_cold_z05,,30
issue_2026_00141,2,rm_0124,wh_cold_z06,,33
issue_2026_00142,1,rm_0100,wh_finished_south_z08,lot_rm_0100_02,31
issue_2026_00142,2,rm_0101,wh_finished_south_z09,lot_rm_0101_01,34
issue_2026_00143,1,rm_0101,wh_finished_south_z09,lot_rm_0101_01,32
issue_2026_00143,2,rm_0135,wh_finished_south_z09,lot_rm_0135_01,35
issue_2026_00144,1,rm_0077,wh_raw_south_z01,lot_rm_0077_01,33
issue_2026_00144,2,rm_0111,wh_raw_south_z01,lot_rm_0111_01,36
issue_2026_00145,1,rm_0160,wh_cold_z08,lot_rm_0160_02,34
issue_2026_00145,2,rm_0161,wh_cold_z09,lot_rm_0161_01,37
issue_2026_00146,1,rm_0161,wh_cold_z09,lot_rm_0161_01,35
issue_2026_00146,2,rm_0195,wh_cold_z09,lot_rm_0195_01,38
issue_2026_00147,1,rm_0171,wh_finished_south_z01,lot_rm_0171_01,36
issue_2026_00147,2,rm_0172,wh_finished_south_z02,lot_rm_0172_02,39
issue_2026_00148,1,rm_0147,wh_raw_south_z03,lot_rm_0147_01,37
issue_2026_00148,2,rm_0148,wh_raw_south_z04,lot_rm_0148_02,40
issue_2026_00149,1,rm_0148,wh_raw_south_z04,lot_rm_0148_02,38
issue_2026_00149,2,rm_0149,wh_raw_south_z05,lot_rm_0149_01,41
issue_2026_00150,1,rm_0231,wh_cold_z01,lot_rm_0231_01,39
issue_2026_00150,2,rm_0232,wh_cold_z02,lot_rm_0232_02,42
issue_2026_00151,1,rm_0208,wh_finished_south_z04,lot_rm_0208_02,40
issue_2026_00151,2,rm_0209,wh_finished_south_z05,lot_rm_0209_01,43
issue_2026_00152,1,rm_0209,wh_finished_south_z05,lot_rm_0209_01,41
issue_2026_00152,2,rm_0243,wh_finished_south_z05,,44
issue_2026_00153,1,rm_0185,wh_raw_south_z07,,42
issue_2026_00153,2,rm_0219,wh_raw_south_z07,lot_rm_0219_01,45
issue_2026_00154,1,rm_0268,wh_cold_z04,lot_rm_0268_02,43
issue_2026_00154,2,rm_0269,wh_cold_z05,lot_rm_0269_01,46
issue_2026_00155,1,rm_0269,wh_cold_z05,lot_rm_0269_01,44
issue_2026_00155,2,rm_0303,wh_cold_z05,lot_rm_0303_01,47
issue_2026_00156,1,rm_0279,wh_finished_south_z07,lot_rm_0279_01,45
issue_2026_00156,2,rm_0280,wh_finished_south_z08,lot_rm_0280_02,48
issue_2026_00157,1,rm_0255,wh_raw_south_z09,,46
issue_2026_00157,2,rm_0256,wh_raw_south_z10,,49
issue_2026_00158,1,rm_0256,wh_raw_south_z10,,47
issue_2026_00158,2,rm_0257,wh_raw_south_z01,lot_rm_0257_01,10
issue_2026_00159,1,rm_0001,wh_cold_z09,lot_rm_0001_01,48
issue_2026_00159,2,rm_0035,wh_cold_z09,lot_rm_0035_01,11
issue_2026_00160,1,rm_0316,wh_finished_south_z10,,49
issue_2026_00160,2,rm_0317,wh_finished_south_z01,,12
issue_2026_00161,1,rm_0317,wh_finished_south_z01,,10
issue_2026_00161,2,rm_0011,wh_finished_south_z01,lot_rm_0011_01,13
issue_2026_00162,1,rm_0011,wh_finished_south_z01,lot_rm_0011_01,11
issue_2026_00162,2,rm_0012,wh_finished_south_z02,lot_rm_0012_02,14
issue_2026_00163,1,rm_0023,wh_raw_south_z05,lot_rm_0023_01,12
issue_2026_00163,2,rm_0024,wh_raw_south_z06,lot_rm_0024_02,15
issue_2026_00164,1,rm_0072,wh_cold_z02,lot_rm_0072_02,13
issue_2026_00164,2,rm_0073,wh_cold_z03,lot_rm_0073_01,16
issue_2026_00165,1,rm_0073,wh_cold_z03,lot_rm_0073_01,14
issue_2026_00165,2,rm_0107,wh_cold_z03,lot_rm_0107_01,17
issue_2026_00166,1,rm_0048,wh_finished_south_z04,lot_rm_0048_02,15
issue_2026_00166,2,rm_0049,wh_finished_south_z05,,18
issue_2026_00167,1,rm_0060,wh_raw_south_z08,,16
issue_2026_00167,2,rm_0061,wh_raw_south_z09,,19
issue_2026_00168,1,rm_0061,wh_raw_south_z09,,17
issue_2026_00168,2,rm_0095,wh_raw_south_z09,lot_rm_0095_01,20
issue_2026_00169,1,rm_0143,wh_cold_z05,lot_rm_0143_01,18
issue_2026_00169,2,rm_0144,wh_cold_z06,lot_rm_0144_02,21
issue_2026_00170,1,rm_0085,wh_finished_south_z07,lot_rm_0085_01,19
issue_2026_00170,2,rm_0119,wh_finished_south_z07,,22
issue_2026_00171,1,rm_0119,wh_finished_south_z07,,20
issue_2026_00171,2,rm_0120,wh_finished_south_z08,,23
issue_2026_00172,1,rm_0131,wh_raw_south_z01,lot_rm_0131_01,21
issue_2026_00172,2,rm_0132,wh_raw_south_z02,lot_rm_0132_02,24
issue_2026_00173,1,rm_0180,wh_cold_z08,,22
issue_2026_00173,2,rm_0181,wh_cold_z09,,25
issue_2026_00174,1,rm_0181,wh_cold_z09,,23
issue_2026_00174,2,rm_0215,wh_cold_z09,lot_rm_0215_01,26
issue_2026_00175,1,rm_0156,wh_finished_south_z10,lot_rm_0156_02,24
issue_2026_00175,2,rm_0157,wh_finished_south_z01,lot_rm_0157_01,27
issue_2026_00176,1,rm_0168,wh_raw_south_z04,lot_rm_0168_02,25
issue_2026_00176,2,rm_0169,wh_raw_south_z05,lot_rm_0169_01,28
issue_2026_00177,1,rm_0169,wh_raw_south_z05,lot_rm_0169_01,26
issue_2026_00177,2,rm_0203,wh_raw_south_z05,lot_rm_0203_01,29
issue_2026_00178,1,rm_0251,wh_cold_z01,,27
issue_2026_00178,2,rm_0252,wh_cold_z02,,30
issue_2026_00179,1,rm_0193,wh_finished_south_z03,lot_rm_0193_01,28
issue_2026_00179,2,rm_0227,wh_finished_south_z03,lot_rm_0227_01,31
issue_2026_00180,1,rm_0227,wh_finished_south_z03,lot_rm_0227_01,29
issue_2026_00180,2,rm_0228,wh_finished_south_z04,lot_rm_0228_02,32
issue_2026_00181,1,rm_0239,wh_raw_south_z07,lot_rm_0239_01,30
issue_2026_00181,2,rm_0240,wh_raw_south_z08,lot_rm_0240_02,33
issue_2026_00182,1,rm_0288,wh_cold_z04,lot_rm_0288_02,31
issue_2026_00182,2,rm_0289,wh_cold_z05,lot_rm_0289_01,34
issue_2026_00183,1,rm_0289,wh_cold_z05,lot_rm_0289_01,32
issue_2026_00183,2,rm_0019,wh_cold_z07,lot_rm_0019_01,35
