item_code,item_name,item_type,category_code,unit_code,lot_controlled,minimum_stock_quantity,status,description
rm_0019,Men Lactobacillus casei - Tiêu chuẩn A,raw_material,culture,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0020,Premix vitamin A D E - Tiêu chuẩn A,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0021,Premix vitamin nhóm B - Tiêu chuẩn A,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0022,Canxi carbonate - Tiêu chuẩn A,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0023,Canxi phosphate - Tiêu chuẩn A,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0024,Kẽm sulfate - Tiêu chuẩn A,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0025,Sắt fumarate - Tiêu chuẩn A,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0026,Dầu cá DHA - Tiêu chuẩn A,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0027,Bột collagen thủy phân - Tiêu chuẩn A,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0028,Pectin thực phẩm - Tiêu chuẩn A,raw_material,stabilizer,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0029,Carrageenan thực phẩm - Tiêu chuẩn A,raw_material,stabilizer,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0030,Guar gum thực phẩm - Tiêu chuẩn A,raw_material,stabilizer,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0031,Xanthan gum thực phẩm - Tiêu chuẩn A,raw_material,stabilizer,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0032,Chất xơ hòa tan inulin - Tiêu chuẩn A,raw_material,stabilizer,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0033,Dịch cô đặc cam - Tiêu chuẩn A,raw_material,fruit_flavor,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0034,Dịch cô đặc táo - Tiêu chuẩn A,raw_material,fruit_flavor,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0035,Dịch cô đặc đào - Tiêu chuẩn A,raw_material,fruit_flavor,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0036,Dịch cô đặc dâu - Tiêu chuẩn A,raw_material,fruit_flavor,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0037,Dịch cô đặc nho - Tiêu chuẩn A,raw_material,fruit_flavor,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0038,Dịch cô đặc dừa - Tiêu chuẩn A,raw_material,fruit_flavor,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0039,Hương vani thực phẩm - Tiêu chuẩn A,raw_material,fruit_flavor,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0040,Bột cacao - Tiêu chuẩn A,raw_material,fruit_flavor,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0041,Hạt đậu nành - Tiêu chuẩn A,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0042,Hạt hạnh nhân - Tiêu chuẩn A,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0043,Hạt óc chó - Tiêu chuẩn A,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0044,Hạt mắc ca - Tiêu chuẩn A,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0045,Yến mạch - Tiêu chuẩn A,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0046,Gạo lứt - Tiêu chuẩn A,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0047,Ngũ cốc phối trộn - Tiêu chuẩn A,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0048,Thạch dừa - Tiêu chuẩn A,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0049,Hộp giấy tiệt trùng 110 ml - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0050,Hộp giấy tiệt trùng 180 ml - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0051,Hộp giấy tiệt trùng 1 lít - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0052,Chai nhựa thực phẩm 150 ml - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0053,Chai nhựa thực phẩm 450 ml - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0054,Cốc sữa chua 100 g - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0055,Nắp nhôm cốc sữa chua - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0056,Nắp chai HDPE - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0057,Ống hút giấy - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0058,Màng co lốc sản phẩm - Tiêu chuẩn A,raw_material,packaging,kg,false,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0059,Thùng carton 12 sản phẩm - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0060,Thùng carton 24 sản phẩm - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0061,Thùng carton 48 sản phẩm - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0062,Nhãn cuộn sản phẩm - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0063,Pallet nhựa thực phẩm - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0064,Túi sữa tiệt trùng - Tiêu chuẩn A,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0065,Sữa bò tươi nguyên liệu - Tiêu chuẩn B,raw_material,dairy_input,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0066,Sữa bột gầy - Tiêu chuẩn B,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0067,Sữa bột nguyên kem - Tiêu chuẩn B,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0068,Whey bột - Tiêu chuẩn B,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0069,Đạm whey cô đặc - Tiêu chuẩn B,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0070,Casein sữa - Tiêu chuẩn B,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0071,Chất béo sữa khan - Tiêu chuẩn B,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0072,Kem sữa - Tiêu chuẩn B,raw_material,dairy_input,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0073,Lactose thực phẩm - Tiêu chuẩn B,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0074,Sữa non dạng bột - Tiêu chuẩn B,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0075,Đường tinh luyện - Tiêu chuẩn B,raw_material,sweetener,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0076,Đường glucose - Tiêu chuẩn B,raw_material,sweetener,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0077,Siro glucose - Tiêu chuẩn B,raw_material,sweetener,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0078,Maltodextrin - Tiêu chuẩn B,raw_material,sweetener,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0079,Chất tạo ngọt stevia - Tiêu chuẩn B,raw_material,sweetener,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0080,Men Streptococcus thermophilus - Tiêu chuẩn B,raw_material,culture,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0081,Men Lactobacillus bulgaricus - Tiêu chuẩn B,raw_material,culture,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0082,Men Bifidobacterium - Tiêu chuẩn B,raw_material,culture,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0083,Men Lactobacillus casei - Tiêu chuẩn B,raw_material,culture,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0084,Premix vitamin A D E - Tiêu chuẩn B,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0085,Premix vitamin nhóm B - Tiêu chuẩn B,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0086,Canxi carbonate - Tiêu chuẩn B,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0087,Canxi phosphate - Tiêu chuẩn B,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0088,Kẽm sulfate - Tiêu chuẩn B,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0089,Sắt fumarate - Tiêu chuẩn B,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0090,Dầu cá DHA - Tiêu chuẩn B,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0091,Bột collagen thủy phân - Tiêu chuẩn B,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0092,Pectin thực phẩm - Tiêu chuẩn B,raw_material,stabilizer,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0093,Carrageenan thực phẩm - Tiêu chuẩn B,raw_material,stabilizer,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0094,Guar gum thực phẩm - Tiêu chuẩn B,raw_material,stabilizer,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0095,Xanthan gum thực phẩm - Tiêu chuẩn B,raw_material,stabilizer,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0096,Chất xơ hòa tan inulin - Tiêu chuẩn B,raw_material,stabilizer,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0097,Dịch cô đặc cam - Tiêu chuẩn B,raw_material,fruit_flavor,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0098,Dịch cô đặc táo - Tiêu chuẩn B,raw_material,fruit_flavor,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0099,Dịch cô đặc đào - Tiêu chuẩn B,raw_material,fruit_flavor,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0100,Dịch cô đặc dâu - Tiêu chuẩn B,raw_material,fruit_flavor,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0101,Dịch cô đặc nho - Tiêu chuẩn B,raw_material,fruit_flavor,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0102,Dịch cô đặc dừa - Tiêu chuẩn B,raw_material,fruit_flavor,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0103,Hương vani thực phẩm - Tiêu chuẩn B,raw_material,fruit_flavor,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0104,Bột cacao - Tiêu chuẩn B,raw_material,fruit_flavor,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0105,Hạt đậu nành - Tiêu chuẩn B,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0106,Hạt hạnh nhân - Tiêu chuẩn B,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0107,Hạt óc chó - Tiêu chuẩn B,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0108,Hạt mắc ca - Tiêu chuẩn B,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0109,Yến mạch - Tiêu chuẩn B,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0110,Gạo lứt - Tiêu chuẩn B,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0111,Ngũ cốc phối trộn - Tiêu chuẩn B,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0112,Thạch dừa - Tiêu chuẩn B,raw_material,grain_nut,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0113,Hộp giấy tiệt trùng 110 ml - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0114,Hộp giấy tiệt trùng 180 ml - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0115,Hộp giấy tiệt trùng 1 lít - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0116,Chai nhựa thực phẩm 150 ml - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0117,Chai nhựa thực phẩm 450 ml - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0118,Cốc sữa chua 100 g - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0119,Nắp nhôm cốc sữa chua - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0120,Nắp chai HDPE - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0121,Ống hút giấy - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0122,Màng co lốc sản phẩm - Tiêu chuẩn B,raw_material,packaging,kg,false,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0123,Thùng carton 12 sản phẩm - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0124,Thùng carton 24 sản phẩm - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0125,Thùng carton 48 sản phẩm - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0126,Nhãn cuộn sản phẩm - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0127,Pallet nhựa thực phẩm - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0128,Túi sữa tiệt trùng - Tiêu chuẩn B,raw_material,packaging,piece,false,5000,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0129,Sữa bò tươi nguyên liệu - Lô nội địa,raw_material,dairy_input,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0130,Sữa bột gầy - Lô nội địa,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0131,Sữa bột nguyên kem - Lô nội địa,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0132,Whey bột - Lô nội địa,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0133,Đạm whey cô đặc - Lô nội địa,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0134,Casein sữa - Lô nội địa,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0135,Chất béo sữa khan - Lô nội địa,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0136,Kem sữa - Lô nội địa,raw_material,dairy_input,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0137,Lactose thực phẩm - Lô nội địa,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0138,Sữa non dạng bột - Lô nội địa,raw_material,dairy_input,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0139,Đường tinh luyện - Lô nội địa,raw_material,sweetener,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0140,Đường glucose - Lô nội địa,raw_material,sweetener,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0141,Siro glucose - Lô nội địa,raw_material,sweetener,litre,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0142,Maltodextrin - Lô nội địa,raw_material,sweetener,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0143,Chất tạo ngọt stevia - Lô nội địa,raw_material,sweetener,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0144,Men Streptococcus thermophilus - Lô nội địa,raw_material,culture,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0145,Men Lactobacillus bulgaricus - Lô nội địa,raw_material,culture,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0146,Men Bifidobacterium - Lô nội địa,raw_material,culture,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0147,Men Lactobacillus casei - Lô nội địa,raw_material,culture,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0148,Premix vitamin A D E - Lô nội địa,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0149,Premix vitamin nhóm B - Lô nội địa,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0150,Canxi carbonate - Lô nội địa,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0151,Canxi phosphate - Lô nội địa,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0152,Kẽm sulfate - Lô nội địa,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0153,Sắt fumarate - Lô nội địa,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
rm_0154,Dầu cá DHA - Lô nội địa,raw_material,vitamin_mineral,kg,true,500,active,Danh mục nguyên liệu tổng hợp theo nghiệp vụ doanh nghiệp sữa.
