receipt_code,line_number,item_code,location_code,lot_code,quantity
receipt_2025_00050,1,rm_0148,wh_raw_north_z10,lot_rm_0148_02,9813
receipt_2025_00050,2,rm_0149,wh_raw_north_z01,lot_rm_0149_01,9914
receipt_2025_00050,3,rm_0150,wh_raw_north_z02,lot_rm_0150_02,10015
receipt_2025_00051,1,rm_0151,wh_finished_south_z01,lot_rm_0151_01,9850
receipt_2025_00051,2,rm_0152,wh_finished_south_z02,lot_rm_0152_02,9951
receipt_2025_00051,3,rm_0153,wh_finished_south_z03,lot_rm_0153_01,10052
receipt_2025_00052,1,rm_0154,wh_finished_north_z02,lot_rm_0154_02,9887
receipt_2025_00052,2,rm_0155,wh_finished_north_z03,lot_rm_0155_01,9988
receipt_2025_00052,3,rm_0156,wh_finished_north_z04,lot_rm_0156_02,10089
receipt_2025_00053,1,rm_0157,wh_cold_z03,lot_rm_0157_01,9924
receipt_2025_00053,2,rm_0158,wh_cold_z04,lot_rm_0158_02,10025
receipt_2025_00053,3,rm_0159,wh_cold_z05,lot_rm_0159_01,10126
receipt_2025_00054,1,rm_0160,wh_packaging_z04,lot_rm_0160_02,9961
receipt_2025_00054,2,rm_0161,wh_packaging_z05,lot_rm_0161_01,10062
receipt_2025_00054,3,rm_0162,wh_packaging_z06,lot_rm_0162_02,10163
receipt_2025_00055,1,rm_0163,wh_raw_south_z05,lot_rm_0163_01,9998
receipt_2025_00055,2,rm_0164,wh_raw_south_z06,lot_rm_0164_02,10099
receipt_2025_00055,3,rm_0165,wh_raw_south_z07,lot_rm_0165_01,10200
receipt_2025_00056,1,rm_0166,wh_raw_north_z06,lot_rm_0166_02,10035
receipt_2025_00056,2,rm_0167,wh_raw_north_z07,lot_rm_0167_01,10136
receipt_2025_00056,3,rm_0168,wh_raw_north_z08,lot_rm_0168_02,10237
receipt_2025_00057,1,rm_0169,wh_finished_south_z07,lot_rm_0169_01,10072
receipt_2025_00057,2,rm_0170,wh_finished_south_z08,lot_rm_0170_02,10173
receipt_2025_00057,3,rm_0171,wh_finished_south_z09,lot_rm_0171_01,10274
receipt_2025_00058,1,rm_0172,wh_finished_north_z08,lot_rm_0172_02,10109
receipt_2025_00058,2,rm_0173,wh_finished_north_z09,lot_rm_0173_01,10210
receipt_2025_00058,3,rm_0174,wh_finished_north_z10,lot_rm_0174_02,10311
receipt_2025_00059,1,rm_0175,wh_cold_z09,lot_rm_0175_01,10146
receipt_2025_00059,2,rm_0176,wh_cold_z10,lot_rm_0176_02,10247
receipt_2025_00059,3,rm_0177,wh_cold_z01,,10348
receipt_2025_00060,1,rm_0178,wh_packaging_z10,,10183
receipt_2025_00060,2,rm_0179,wh_packaging_z01,,10284
receipt_2025_00060,3,rm_0180,wh_packaging_z02,,10385
receipt_2025_00061,1,rm_0181,wh_raw_south_z01,,10220
receipt_2025_00061,2,rm_0182,wh_raw_south_z02,,10321
receipt_2025_00061,3,rm_0183,wh_raw_south_z03,,10422
receipt_2025_00062,1,rm_0184,wh_raw_north_z02,,10257
receipt_2025_00062,2,rm_0185,wh_raw_north_z03,,10358
receipt_2025_00062,3,rm_0186,wh_raw_north_z04,,10459
receipt_2025_00063,1,rm_0187,wh_finished_south_z03,,10294
receipt_2025_00063,2,rm_0188,wh_finished_south_z04,,10395
receipt_2025_00063,3,rm_0189,wh_finished_south_z05,,10496
receipt_2025_00064,1,rm_0190,wh_finished_north_z04,,10331
receipt_2025_00064,2,rm_0191,wh_finished_north_z05,,10432
receipt_2025_00064,3,rm_0192,wh_finished_north_z06,,10533
receipt_2025_00065,1,rm_0193,wh_cold_z05,lot_rm_0193_01,10368
receipt_2025_00065,2,rm_0194,wh_cold_z06,lot_rm_0194_02,10469
receipt_2025_00065,3,rm_0195,wh_cold_z07,lot_rm_0195_01,10570
receipt_2025_00066,1,rm_0196,wh_packaging_z06,lot_rm_0196_02,10405
receipt_2025_00066,2,rm_0197,wh_packaging_z07,lot_rm_0197_01,10506
receipt_2025_00066,3,rm_0198,wh_packaging_z08,lot_rm_0198_02,10607
receipt_2025_00067,1,rm_0199,wh_raw_south_z07,lot_rm_0199_01,10442
receipt_2025_00067,2,rm_0200,wh_raw_south_z08,lot_rm_0200_02,10543
receipt_2025_00067,3,rm_0201,wh_raw_south_z09,lot_rm_0201_01,10644
receipt_2025_00068,1,rm_0202,wh_raw_north_z08,lot_rm_0202_02,10479
receipt_2025_00068,2,rm_0203,wh_raw_north_z09,lot_rm_0203_01,10580
receipt_2025_00068,3,rm_0204,wh_raw_north_z10,lot_rm_0204_02,10681
receipt_2025_00069,1,rm_0205,wh_finished_south_z09,lot_rm_0205_01,10516
receipt_2025_00069,2,rm_0206,wh_finished_south_z10,lot_rm_0206_02,10617
receipt_2025_00069,3,rm_0207,wh_finished_south_z01,lot_rm_0207_01,10718
receipt_2025_00070,1,rm_0208,wh_finished_north_z10,lot_rm_0208_02,10553
receipt_2025_00070,2,rm_0209,wh_finished_north_z01,lot_rm_0209_01,10654
receipt_2025_00070,3,rm_0210,wh_finished_north_z02,lot_rm_0210_02,10755
receipt_2025_00071,1,rm_0211,wh_cold_z01,lot_rm_0211_01,10590
receipt_2025_00071,2,rm_0212,wh_cold_z02,lot_rm_0212_02,10691
receipt_2025_00071,3,rm_0213,wh_cold_z03,lot_rm_0213_01,10792
receipt_2025_00072,1,rm_0214,wh_packaging_z02,lot_rm_0214_02,10627
receipt_2025_00072,2,rm_0215,wh_packaging_z03,lot_rm_0215_01,10728
receipt_2025_00072,3,rm_0216,wh_packaging_z04,lot_rm_0216_02,10829
receipt_2025_00073,1,rm_0217,wh_raw_south_z03,lot_rm_0217_01,10664
receipt_2025_00073,2,rm_0218,wh_raw_south_z04,lot_rm_0218_02,10765
receipt_2025_00073,3,rm_0219,wh_raw_south_z05,lot_rm_0219_01,10866
receipt_2025_00074,1,rm_0220,wh_raw_north_z04,lot_rm_0220_02,10701
receipt_2025_00074,2,rm_0221,wh_raw_north_z05,lot_rm_0221_01,10802
receipt_2025_00074,3,rm_0222,wh_raw_north_z06,lot_rm_0222_02,10903
receipt_2025_00075,1,rm_0223,wh_finished_south_z05,lot_rm_0223_01,10738
receipt_2025_00075,2,rm_0224,wh_finished_south_z06,lot_rm_0224_02,10839
receipt_2025_00075,3,rm_0225,wh_finished_south_z07,lot_rm_0225_01,10940
receipt_2025_00076,1,rm_0226,wh_finished_north_z06,lot_rm_0226_02,10775
receipt_2025_00076,2,rm_0227,wh_finished_north_z07,lot_rm_0227_01,10876
receipt_2025_00076,3,rm_0228,wh_finished_north_z08,lot_rm_0228_02,10977
receipt_2025_00077,1,rm_0229,wh_cold_z07,lot_rm_0229_01,10812
receipt_2025_00077,2,rm_0230,wh_cold_z08,lot_rm_0230_02,10913
receipt_2025_00077,3,rm_0231,wh_cold_z09,lot_rm_0231_01,11014
receipt_2025_00078,1,rm_0232,wh_packaging_z08,lot_rm_0232_02,10849
receipt_2025_00078,2,rm_0233,wh_packaging_z09,lot_rm_0233_01,10950
receipt_2025_00078,3,rm_0234,wh_packaging_z10,lot_rm_0234_02,11051
receipt_2025_00079,1,rm_0235,wh_raw_south_z09,lot_rm_0235_01,10886
receipt_2025_00079,2,rm_0236,wh_raw_south_z10,lot_rm_0236_02,10987
receipt_2025_00079,3,rm_0237,wh_raw_south_z01,lot_rm_0237_01,11088
receipt_2025_00080,1,rm_0238,wh_raw_north_z10,lot_rm_0238_02,10923
receipt_2025_00080,2,rm_0239,wh_raw_north_z01,lot_rm_0239_01,11024
receipt_2025_00080,3,rm_0240,wh_raw_north_z02,lot_rm_0240_02,11125
receipt_2025_00081,1,rm_0241,wh_finished_south_z01,,10960
receipt_2025_00081,2,rm_0242,wh_finished_south_z02,,11061
receipt_2025_00081,3,rm_0243,wh_finished_south_z03,,11162
receipt_2025_00082,1,rm_0244,wh_finished_north_z02,,10997
receipt_2025_00082,2,rm_0245,wh_finished_north_z03,,11098
receipt_2025_00082,3,rm_0246,wh_finished_north_z04,,11199
receipt_2025_00083,1,rm_0247,wh_cold_z03,,11034
receipt_2025_00083,2,rm_0248,wh_cold_z04,,11135
receipt_2025_00083,3,rm_0249,wh_cold_z05,,11236
receipt_2025_00084,1,rm_0250,wh_packaging_z04,,11071
receipt_2025_00084,2,rm_0251,wh_packaging_z05,,11172
receipt_2025_00084,3,rm_0252,wh_packaging_z06,,11273
receipt_2025_00085,1,rm_0253,wh_raw_south_z05,,11108
receipt_2025_00085,2,rm_0254,wh_raw_south_z06,,11209
receipt_2025_00085,3,rm_0255,wh_raw_south_z07,,11310
receipt_2025_00086,1,rm_0256,wh_raw_north_z06,,11145
receipt_2025_00086,2,rm_0257,wh_raw_north_z07,lot_rm_0257_01,11246
receipt_2025_00086,3,rm_0258,wh_raw_north_z08,lot_rm_0258_02,11347
receipt_2025_00087,1,rm_0259,wh_finished_south_z07,lot_rm_0259_01,11182
receipt_2025_00087,2,rm_0260,wh_finished_south_z08,lot_rm_0260_02,11283
receipt_2025_00087,3,rm_0261,wh_finished_south_z09,lot_rm_0261_01,11384
receipt_2025_00088,1,rm_0262,wh_finished_north_z08,lot_rm_0262_02,11219
receipt_2025_00088,2,rm_0263,wh_finished_north_z09,lot_rm_0263_01,11320
receipt_2025_00088,3,rm_0264,wh_finished_north_z10,lot_rm_0264_02,11421
receipt_2025_00089,1,rm_0265,wh_cold_z09,lot_rm_0265_01,11256
receipt_2025_00089,2,rm_0266,wh_cold_z10,lot_rm_0266_02,11357
receipt_2025_00089,3,rm_0267,wh_cold_z01,lot_rm_0267_01,11458
receipt_2025_00090,1,rm_0268,wh_packaging_z10,lot_rm_0268_02,11293
receipt_2025_00090,2,rm_0269,wh_packaging_z01,lot_rm_0269_01,11394
receipt_2025_00090,3,rm_0270,wh_packaging_z02,lot_rm_0270_02,11495
receipt_2025_00091,1,rm_0271,wh_raw_south_z01,lot_rm_0271_01,11330
receipt_2025_00091,2,rm_0272,wh_raw_south_z02,lot_rm_0272_02,11431
receipt_2025_00091,3,rm_0273,wh_raw_south_z03,lot_rm_0273_01,11532
receipt_2025_00092,1,rm_0274,wh_raw_north_z02,lot_rm_0274_02,11367
receipt_2025_00092,2,rm_0275,wh_raw_north_z03,lot_rm_0275_01,11468
receipt_2025_00092,3,rm_0276,wh_raw_north_z04,lot_rm_0276_02,11569
receipt_2025_00093,1,rm_0277,wh_finished_south_z03,lot_rm_0277_01,11404
receipt_2025_00093,2,rm_0278,wh_finished_south_z04,lot_rm_0278_02,11505
receipt_2025_00093,3,rm_0279,wh_finished_south_z05,lot_rm_0279_01,11606
receipt_2025_00094,1,rm_0280,wh_finished_north_z04,lot_rm_0280_02,11441
receipt_2025_00094,2,rm_0281,wh_finished_north_z05,lot_rm_0281_01,11542
receipt_2025_00094,3,rm_0282,wh_finished_north_z06,lot_rm_0282_02,11643
receipt_2025_00095,1,rm_0283,wh_cold_z05,lot_rm_0283_01,11478
receipt_2025_00095,2,rm_0284,wh_cold_z06,lot_rm_0284_02,11579
receipt_2025_00095,3,rm_0285,wh_cold_z07,lot_rm_0285_01,11680
receipt_2025_00096,1,rm_0286,wh_packaging_z06,lot_rm_0286_02,11515
receipt_2025_00096,2,rm_0287,wh_packaging_z07,lot_rm_0287_01,11616
receipt_2025_00096,3,rm_0288,wh_packaging_z08,lot_rm_0288_02,11717
receipt_2025_00097,1,rm_0289,wh_raw_south_z07,lot_rm_0289_01,11552
receipt_2025_00097,2,rm_0290,wh_raw_south_z08,lot_rm_0290_02,11653
receipt_2025_00097,3,rm_0291,wh_raw_south_z09,lot_rm_0291_01,11754
receipt_2025_00098,1,rm_0292,wh_raw_north_z08,lot_rm_0292_02,11589
receipt_2025_00098,2,rm_0293,wh_raw_north_z09,lot_rm_0293_01,11690
receipt_2025_00098,3,rm_0294,wh_raw_north_z10,lot_rm_0294_02,11791
receipt_2025_00099,1,rm_0295,wh_finished_south_z09,lot_rm_0295_01,11626
receipt_2025_00099,2,rm_0296,wh_finished_south_z10,lot_rm_0296_02,11727
receipt_2025_00099,3,rm_0297,wh_finished_south_z01,lot_rm_0297_01,11828
receipt_2025_00100,1,rm_0298,wh_finished_north_z10,lot_rm_0298_02,11663
receipt_2025_00100,2,rm_0299,wh_finished_north_z01,lot_rm_0299_01,11764
receipt_2025_00100,3,rm_0300,wh_finished_north_z02,lot_rm_0300_02,11865
receipt_2025_00101,1,rm_0301,wh_cold_z01,lot_rm_0301_01,11700
receipt_2025_00101,2,rm_0302,wh_cold_z02,lot_rm_0302_02,11801
receipt_2025_00101,3,rm_0303,wh_cold_z03,lot_rm_0303_01,11902
receipt_2025_00102,1,rm_0304,wh_packaging_z02,lot_rm_0304_02,11737
receipt_2025_00102,2,rm_0305,wh_packaging_z03,,11838
receipt_2025_00102,3,rm_0306,wh_packaging_z04,,11939
receipt_2025_00103,1,rm_0307,wh_raw_south_z03,,11774
receipt_2025_00103,2,rm_0308,wh_raw_south_z04,,11875
receipt_2025_00103,3,rm_0309,wh_raw_south_z05,,11976
receipt_2025_00104,1,rm_0310,wh_raw_north_z04,,11811
receipt_2025_00104,2,rm_0311,wh_raw_north_z05,,11912
receipt_2025_00104,3,rm_0312,wh_raw_north_z06,,12013
receipt_2025_00105,1,rm_0313,wh_finished_south_z05,,11848
receipt_2025_00105,2,rm_0314,wh_finished_south_z06,,11949
receipt_2025_00105,3,rm_0315,wh_finished_south_z07,,12050
receipt_2025_00106,1,rm_0316,wh_finished_north_z06,,11885
receipt_2025_00106,2,rm_0317,wh_finished_north_z07,,11986
receipt_2025_00106,3,rm_0318,wh_finished_north_z08,,12087
receipt_2025_00107,1,rm_0319,wh_cold_z07,,11922
receipt_2025_00107,2,rm_0320,wh_cold_z08,,12023
receipt_2025_00107,3,fg_0001,wh_cold_z09,lot_fg_0001_01,12124
receipt_2025_00108,1,fg_0002,wh_packaging_z08,lot_fg_0002_02,11959
receipt_2025_00108,2,fg_0003,wh_packaging_z09,lot_fg_0003_01,12060
receipt_2025_00108,3,fg_0004,wh_packaging_z10,lot_fg_0004_02,12161
receipt_2025_00109,1,fg_0005,wh_raw_south_z09,lot_fg_0005_01,11996
receipt_2025_00109,2,fg_0006,wh_raw_south_z10,lot_fg_0006_02,12097
receipt_2025_00109,3,fg_0007,wh_raw_south_z01,lot_fg_0007_01,12198
receipt_2025_00110,1,fg_0008,wh_raw_north_z10,lot_fg_0008_02,12033
receipt_2025_00110,2,fg_0009,wh_raw_north_z01,lot_fg_0009_01,12134
receipt_2025_00110,3,fg_0010,wh_raw_north_z02,lot_fg_0010_02,12235
receipt_2025_00111,1,fg_0011,wh_finished_south_z01,lot_fg_0011_01,12070
receipt_2025_00111,2,fg_0012,wh_finished_south_z02,lot_fg_0012_02,12171
receipt_2025_00111,3,fg_0013,wh_finished_south_z03,lot_fg_0013_01,12272
receipt_2025_00112,1,fg_0014,wh_finished_north_z02,lot_fg_0014_02,12107
receipt_2025_00112,2,fg_0015,wh_finished_north_z03,lot_fg_0015_01,12208
receipt_2025_00112,3,fg_0016,wh_finished_north_z04,lot_fg_0016_02,12309
receipt_2025_00113,1,fg_0017,wh_cold_z03,lot_fg_0017_01,12144
receipt_2025_00113,2,fg_0018,wh_cold_z04,lot_fg_0018_02,12245
receipt_2025_00113,3,fg_0019,wh_cold_z05,lot_fg_0019_01,12346
receipt_2025_00114,1,fg_0020,wh_packaging_z04,lot_fg_0020_02,12181
receipt_2025_00114,2,fg_0021,wh_packaging_z05,lot_fg_0021_01,12282
receipt_2025_00114,3,fg_0022,wh_packaging_z06,lot_fg_0022_02,12383
receipt_2025_00115,1,fg_0023,wh_raw_south_z05,lot_fg_0023_01,12218
receipt_2025_00115,2,fg_0024,wh_raw_south_z06,lot_fg_0024_02,12319
receipt_2025_00115,3,fg_0025,wh_raw_south_z07,lot_fg_0025_01,12420
receipt_2025_00116,1,fg_0026,wh_raw_north_z06,lot_fg_0026_02,12255
