source_document_type,source_document_code,source_document_line_number,movement_leg,movement_type,item_code,location_code,lot_code,quantity_delta,idempotency_key
receipt,receipt_2025_00035,2,single,receipt,rm_0104,wh_cold_z06,lot_rm_0104_02,9359,receipt_post_00035_2
receipt,receipt_2025_00035,3,single,receipt,rm_0105,wh_cold_z07,lot_rm_0105_01,9460,receipt_post_00035_3
receipt,receipt_2025_00039,1,single,receipt,rm_0115,wh_finished_south_z09,,9406,receipt_post_00039_1
receipt,receipt_2025_00039,2,single,receipt,rm_0116,wh_finished_south_z10,,9507,receipt_post_00039_2
receipt,receipt_2025_00039,3,single,receipt,rm_0117,wh_finished_south_z01,,9608,receipt_post_00039_3
receipt,receipt_2025_00043,1,single,receipt,rm_0127,wh_raw_south_z03,,9554,receipt_post_00043_1
receipt,receipt_2025_00043,2,single,receipt,rm_0128,wh_raw_south_z04,,9655,receipt_post_00043_2
receipt,receipt_2025_00043,3,single,receipt,rm_0129,wh_raw_south_z05,lot_rm_0129_01,9756,receipt_post_00043_3
receipt,receipt_2025_00047,1,single,receipt,rm_0139,wh_cold_z07,lot_rm_0139_01,9702,receipt_post_00047_1
receipt,receipt_2025_00047,2,single,receipt,rm_0140,wh_cold_z08,lot_rm_0140_02,9803,receipt_post_00047_2
receipt,receipt_2025_00047,3,single,receipt,rm_0141,wh_cold_z09,lot_rm_0141_01,9904,receipt_post_00047_3
receipt,receipt_2025_00051,1,single,receipt,rm_0151,wh_finished_south_z01,lot_rm_0151_01,9850,receipt_post_00051_1
receipt,receipt_2025_00051,2,single,receipt,rm_0152,wh_finished_south_z02,lot_rm_0152_02,9951,receipt_post_00051_2
receipt,receipt_2025_00051,3,single,receipt,rm_0153,wh_finished_south_z03,lot_rm_0153_01,10052,receipt_post_00051_3
receipt,receipt_2025_00055,1,single,receipt,rm_0163,wh_raw_south_z05,lot_rm_0163_01,9998,receipt_post_00055_1
receipt,receipt_2025_00055,2,single,receipt,rm_0164,wh_raw_south_z06,lot_rm_0164_02,10099,receipt_post_00055_2
receipt,receipt_2025_00055,3,single,receipt,rm_0165,wh_raw_south_z07,lot_rm_0165_01,10200,receipt_post_00055_3
receipt,receipt_2025_00059,1,single,receipt,rm_0175,wh_cold_z09,lot_rm_0175_01,10146,receipt_post_00059_1
receipt,receipt_2025_00059,2,single,receipt,rm_0176,wh_cold_z10,lot_rm_0176_02,10247,receipt_post_00059_2
receipt,receipt_2025_00059,3,single,receipt,rm_0177,wh_cold_z01,,10348,receipt_post_00059_3
receipt,receipt_2025_00063,1,single,receipt,rm_0187,wh_finished_south_z03,,10294,receipt_post_00063_1
receipt,receipt_2025_00063,2,single,receipt,rm_0188,wh_finished_south_z04,,10395,receipt_post_00063_2
receipt,receipt_2025_00063,3,single,receipt,rm_0189,wh_finished_south_z05,,10496,receipt_post_00063_3
receipt,receipt_2025_00067,1,single,receipt,rm_0199,wh_raw_south_z07,lot_rm_0199_01,10442,receipt_post_00067_1
receipt,receipt_2025_00067,2,single,receipt,rm_0200,wh_raw_south_z08,lot_rm_0200_02,10543,receipt_post_00067_2
receipt,receipt_2025_00067,3,single,receipt,rm_0201,wh_raw_south_z09,lot_rm_0201_01,10644,receipt_post_00067_3
receipt,receipt_2025_00071,1,single,receipt,rm_0211,wh_cold_z01,lot_rm_0211_01,10590,receipt_post_00071_1
receipt,receipt_2025_00071,2,single,receipt,rm_0212,wh_cold_z02,lot_rm_0212_02,10691,receipt_post_00071_2
receipt,receipt_2025_00071,3,single,receipt,rm_0213,wh_cold_z03,lot_rm_0213_01,10792,receipt_post_00071_3
receipt,receipt_2025_00075,1,single,receipt,rm_0223,wh_finished_south_z05,lot_rm_0223_01,10738,receipt_post_00075_1
receipt,receipt_2025_00075,2,single,receipt,rm_0224,wh_finished_south_z06,lot_rm_0224_02,10839,receipt_post_00075_2
receipt,receipt_2025_00075,3,single,receipt,rm_0225,wh_finished_south_z07,lot_rm_0225_01,10940,receipt_post_00075_3
receipt,receipt_2025_00079,1,single,receipt,rm_0235,wh_raw_south_z09,lot_rm_0235_01,10886,receipt_post_00079_1
receipt,receipt_2025_00079,2,single,receipt,rm_0236,wh_raw_south_z10,lot_rm_0236_02,10987,receipt_post_00079_2
receipt,receipt_2025_00079,3,single,receipt,rm_0237,wh_raw_south_z01,lot_rm_0237_01,11088,receipt_post_00079_3
receipt,receipt_2025_00083,1,single,receipt,rm_0247,wh_cold_z03,,11034,receipt_post_00083_1
receipt,receipt_2025_00083,2,single,receipt,rm_0248,wh_cold_z04,,11135,receipt_post_00083_2
receipt,receipt_2025_00083,3,single,receipt,rm_0249,wh_cold_z05,,11236,receipt_post_00083_3
receipt,receipt_2025_00087,1,single,receipt,rm_0259,wh_finished_south_z07,lot_rm_0259_01,11182,receipt_post_00087_1
receipt,receipt_2025_00087,2,single,receipt,rm_0260,wh_finished_south_z08,lot_rm_0260_02,11283,receipt_post_00087_2
receipt,receipt_2025_00087,3,single,receipt,rm_0261,wh_finished_south_z09,lot_rm_0261_01,11384,receipt_post_00087_3
receipt,receipt_2025_00091,1,single,receipt,rm_0271,wh_raw_south_z01,lot_rm_0271_01,11330,receipt_post_00091_1
receipt,receipt_2025_00091,2,single,receipt,rm_0272,wh_raw_south_z02,lot_rm_0272_02,11431,receipt_post_00091_2
receipt,receipt_2025_00091,3,single,receipt,rm_0273,wh_raw_south_z03,lot_rm_0273_01,11532,receipt_post_00091_3
receipt,receipt_2025_00095,1,single,receipt,rm_0283,wh_cold_z05,lot_rm_0283_01,11478,receipt_post_00095_1
receipt,receipt_2025_00095,2,single,receipt,rm_0284,wh_cold_z06,lot_rm_0284_02,11579,receipt_post_00095_2
receipt,receipt_2025_00095,3,single,receipt,rm_0285,wh_cold_z07,lot_rm_0285_01,11680,receipt_post_00095_3
receipt,receipt_2025_00099,1,single,receipt,rm_0295,wh_finished_south_z09,lot_rm_0295_01,11626,receipt_post_00099_1
receipt,receipt_2025_00099,2,single,receipt,rm_0296,wh_finished_south_z10,lot_rm_0296_02,11727,receipt_post_00099_2
receipt,receipt_2025_00099,3,single,receipt,rm_0297,wh_finished_south_z01,lot_rm_0297_01,11828,receipt_post_00099_3
receipt,receipt_2025_00103,1,single,receipt,rm_0307,wh_raw_south_z03,,11774,receipt_post_00103_1
receipt,receipt_2025_00103,2,single,receipt,rm_0308,wh_raw_south_z04,,11875,receipt_post_00103_2
receipt,receipt_2025_00103,3,single,receipt,rm_0309,wh_raw_south_z05,,11976,receipt_post_00103_3
receipt,receipt_2025_00107,1,single,receipt,rm_0319,wh_cold_z07,,11922,receipt_post_00107_1
receipt,receipt_2025_00107,2,single,receipt,rm_0320,wh_cold_z08,,12023,receipt_post_00107_2
receipt,receipt_2025_00107,3,single,receipt,fg_0001,wh_cold_z09,lot_fg_0001_01,12124,receipt_post_00107_3
receipt,receipt_2025_00111,1,single,receipt,fg_0011,wh_finished_south_z01,lot_fg_0011_01,12070,receipt_post_00111_1
receipt,receipt_2025_00111,2,single,receipt,fg_0012,wh_finished_south_z02,lot_fg_0012_02,12171,receipt_post_00111_2
receipt,receipt_2025_00111,3,single,receipt,fg_0013,wh_finished_south_z03,lot_fg_0013_01,12272,receipt_post_00111_3
receipt,receipt_2025_00115,1,single,receipt,fg_0023,wh_raw_south_z05,lot_fg_0023_01,12218,receipt_post_00115_1
receipt,receipt_2025_00115,2,single,receipt,fg_0024,wh_raw_south_z06,lot_fg_0024_02,12319,receipt_post_00115_2
receipt,receipt_2025_00115,3,single,receipt,fg_0025,wh_raw_south_z07,lot_fg_0025_01,12420,receipt_post_00115_3
receipt,receipt_2025_00119,1,single,receipt,fg_0035,wh_cold_z09,lot_fg_0035_01,12366,receipt_post_00119_1
receipt,receipt_2025_00119,2,single,receipt,fg_0036,wh_cold_z10,lot_fg_0036_02,12467,receipt_post_00119_2
receipt,receipt_2025_00119,3,single,receipt,fg_0037,wh_cold_z01,lot_fg_0037_01,12568,receipt_post_00119_3
receipt,receipt_2025_00123,1,single,receipt,fg_0047,wh_finished_south_z03,lot_fg_0047_01,12514,receipt_post_00123_1
receipt,receipt_2025_00123,2,single,receipt,fg_0048,wh_finished_south_z04,lot_fg_0048_02,12615,receipt_post_00123_2
receipt,receipt_2025_00123,3,single,receipt,fg_0049,wh_finished_south_z05,lot_fg_0049_01,12716,receipt_post_00123_3
receipt,receipt_2025_00127,1,single,receipt,fg_0059,wh_raw_south_z07,lot_fg_0059_01,12662,receipt_post_00127_1
receipt,receipt_2025_00127,2,single,receipt,fg_0060,wh_raw_south_z08,lot_fg_0060_02,12763,receipt_post_00127_2
receipt,receipt_2025_00127,3,single,receipt,fg_0061,wh_raw_south_z09,lot_fg_0061_01,12864,receipt_post_00127_3
receipt,receipt_2025_00131,1,single,receipt,fg_0071,wh_cold_z01,lot_fg_0071_01,12810,receipt_post_00131_1
receipt,receipt_2025_00131,2,single,receipt,fg_0072,wh_cold_z02,lot_fg_0072_02,12911,receipt_post_00131_2
receipt,receipt_2025_00131,3,single,receipt,fg_0073,wh_cold_z03,lot_fg_0073_01,13012,receipt_post_00131_3
receipt,receipt_2025_00135,1,single,receipt,fg_0083,wh_finished_south_z05,lot_fg_0083_01,12958,receipt_post_00135_1
receipt,receipt_2025_00135,2,single,receipt,fg_0084,wh_finished_south_z06,lot_fg_0084_02,13059,receipt_post_00135_2
receipt,receipt_2025_00135,3,single,receipt,fg_0085,wh_finished_south_z07,lot_fg_0085_01,13160,receipt_post_00135_3
receipt,receipt_2025_00139,1,single,receipt,fg_0095,wh_raw_south_z09,lot_fg_0095_01,13106,receipt_post_00139_1
receipt,receipt_2025_00139,2,single,receipt,fg_0096,wh_raw_south_z10,lot_fg_0096_02,13207,receipt_post_00139_2
receipt,receipt_2025_00139,3,single,receipt,fg_0097,wh_raw_south_z01,lot_fg_0097_01,13308,receipt_post_00139_3
receipt,receipt_2025_00143,1,single,receipt,fg_0107,wh_cold_z03,lot_fg_0107_01,13254,receipt_post_00143_1
receipt,receipt_2025_00143,2,single,receipt,fg_0108,wh_cold_z04,lot_fg_0108_02,13355,receipt_post_00143_2
receipt,receipt_2025_00143,3,single,receipt,fg_0109,wh_cold_z05,lot_fg_0109_01,13456,receipt_post_00143_3
receipt,receipt_2025_00147,1,single,receipt,fg_0119,wh_finished_south_z07,lot_fg_0119_01,13402,receipt_post_00147_1
receipt,receipt_2025_00147,2,single,receipt,fg_0120,wh_finished_south_z08,lot_fg_0120_02,13503,receipt_post_00147_2
receipt,receipt_2025_00147,3,single,receipt,fg_0121,wh_finished_south_z09,lot_fg_0121_01,13604,receipt_post_00147_3
receipt,receipt_2025_00151,1,single,receipt,fg_0131,wh_raw_south_z01,lot_fg_0131_01,13550,receipt_post_00151_1
receipt,receipt_2025_00151,2,single,receipt,fg_0132,wh_raw_south_z02,lot_fg_0132_02,13651,receipt_post_00151_2
receipt,receipt_2025_00151,3,single,receipt,fg_0133,wh_raw_south_z03,lot_fg_0133_01,13752,receipt_post_00151_3
receipt,receipt_2025_00155,1,single,receipt,fg_0143,wh_cold_z05,lot_fg_0143_01,13698,receipt_post_00155_1
receipt,receipt_2025_00155,2,single,receipt,fg_0144,wh_cold_z06,lot_fg_0144_02,13799,receipt_post_00155_2
receipt,receipt_2025_00155,3,single,receipt,fg_0145,wh_cold_z07,lot_fg_0145_01,13900,receipt_post_00155_3
receipt,receipt_2025_00159,1,single,receipt,fg_0155,wh_finished_south_z09,lot_fg_0155_01,13846,receipt_post_00159_1
receipt,receipt_2025_00159,2,single,receipt,fg_0156,wh_finished_south_z10,lot_fg_0156_02,13947,receipt_post_00159_2
receipt,receipt_2025_00159,3,single,receipt,fg_0157,wh_finished_south_z01,lot_fg_0157_01,14048,receipt_post_00159_3
receipt,receipt_2025_00163,1,single,receipt,fg_0167,wh_raw_south_z03,lot_fg_0167_01,13994,receipt_post_00163_1
receipt,receipt_2025_00163,2,single,receipt,fg_0168,wh_raw_south_z04,lot_fg_0168_02,14095,receipt_post_00163_2
receipt,receipt_2025_00163,3,single,receipt,fg_0169,wh_raw_south_z05,lot_fg_0169_01,14196,receipt_post_00163_3
receipt,receipt_2025_00167,1,single,receipt,fg_0179,wh_cold_z07,lot_fg_0179_01,14142,receipt_post_00167_1
receipt,receipt_2025_00167,2,single,receipt,fg_0180,wh_cold_z08,lot_fg_0180_02,14243,receipt_post_00167_2
receipt,receipt_2025_00167,3,single,receipt,fg_0181,wh_cold_z09,lot_fg_0181_01,14344,receipt_post_00167_3
receipt,receipt_2025_00171,1,single,receipt,fg_0191,wh_finished_south_z01,lot_fg_0191_01,14290,receipt_post_00171_1
receipt,receipt_2025_00171,2,single,receipt,fg_0192,wh_finished_south_z02,lot_fg_0192_02,14391,receipt_post_00171_2
receipt,receipt_2025_00171,3,single,receipt,fg_0193,wh_finished_south_z03,lot_fg_0193_01,14492,receipt_post_00171_3
receipt,receipt_2025_00175,1,single,receipt,rm_0003,wh_raw_south_z05,lot_rm_0003_01,14438,receipt_post_00175_1
receipt,receipt_2025_00175,2,single,receipt,rm_0004,wh_raw_south_z06,lot_rm_0004_02,14539,receipt_post_00175_2
receipt,receipt_2025_00175,3,single,receipt,rm_0005,wh_raw_south_z07,lot_rm_0005_01,14640,receipt_post_00175_3
receipt,receipt_2025_00179,1,single,receipt,rm_0015,wh_cold_z09,lot_rm_0015_01,14586,receipt_post_00179_1
receipt,receipt_2025_00179,2,single,receipt,rm_0016,wh_cold_z10,lot_rm_0016_02,14687,receipt_post_00179_2
receipt,receipt_2025_00179,3,single,receipt,rm_0017,wh_cold_z01,lot_rm_0017_01,14788,receipt_post_00179_3
receipt,receipt_2025_00183,1,single,receipt,rm_0027,wh_finished_south_z03,lot_rm_0027_01,14734,receipt_post_00183_1
receipt,receipt_2025_00183,2,single,receipt,rm_0028,wh_finished_south_z04,lot_rm_0028_02,14835,receipt_post_00183_2
receipt,receipt_2025_00183,3,single,receipt,rm_0029,wh_finished_south_z05,lot_rm_0029_01,14936,receipt_post_00183_3
receipt,receipt_2025_00187,1,single,receipt,rm_0039,wh_raw_south_z07,lot_rm_0039_01,14882,receipt_post_00187_1
receipt,receipt_2025_00187,2,single,receipt,rm_0040,wh_raw_south_z08,lot_rm_0040_02,14983,receipt_post_00187_2
receipt,receipt_2025_00187,3,single,receipt,rm_0041,wh_raw_south_z09,lot_rm_0041_01,15084,receipt_post_00187_3
receipt,receipt_2025_00191,1,single,receipt,rm_0051,wh_cold_z01,,15030,receipt_post_00191_1
receipt,receipt_2025_00191,2,single,receipt,rm_0052,wh_cold_z02,,15131,receipt_post_00191_2
receipt,receipt_2025_00191,3,single,receipt,rm_0053,wh_cold_z03,,15232,receipt_post_00191_3
receipt,receipt_2025_00195,1,single,receipt,rm_0063,wh_finished_south_z05,,15178,receipt_post_00195_1
receipt,receipt_2025_00195,2,single,receipt,rm_0064,wh_finished_south_z06,,15279,receipt_post_00195_2
receipt,receipt_2025_00195,3,single,receipt,rm_0065,wh_finished_south_z07,lot_rm_0065_01,15380,receipt_post_00195_3
receipt,receipt_2025_00199,1,single,receipt,rm_0075,wh_raw_south_z09,lot_rm_0075_01,15326,receipt_post_00199_1
receipt,receipt_2025_00199,2,single,receipt,rm_0076,wh_raw_south_z10,lot_rm_0076_02,15427,receipt_post_00199_2
receipt,receipt_2025_00199,3,single,receipt,rm_0077,wh_raw_south_z01,lot_rm_0077_01,15528,receipt_post_00199_3
receipt,receipt_2025_00203,1,single,receipt,rm_0087,wh_cold_z03,lot_rm_0087_01,15474,receipt_post_00203_1
receipt,receipt_2025_00203,2,single,receipt,rm_0088,wh_cold_z04,lot_rm_0088_02,15575,receipt_post_00203_2
receipt,receipt_2025_00203,3,single,receipt,rm_0089,wh_cold_z05,lot_rm_0089_01,15676,receipt_post_00203_3
receipt,receipt_2025_00207,1,single,receipt,rm_0099,wh_finished_south_z07,lot_rm_0099_01,15622,receipt_post_00207_1
receipt,receipt_2025_00207,2,single,receipt,rm_0100,wh_finished_south_z08,lot_rm_0100_02,15723,receipt_post_00207_2
receipt,receipt_2025_00207,3,single,receipt,rm_0101,wh_finished_south_z09,lot_rm_0101_01,15824,receipt_post_00207_3
receipt,receipt_2025_00211,1,single,receipt,rm_0111,wh_raw_south_z01,lot_rm_0111_01,15770,receipt_post_00211_1
receipt,receipt_2025_00211,2,single,receipt,rm_0112,wh_raw_south_z02,lot_rm_0112_02,15871,receipt_post_00211_2
receipt,receipt_2025_00211,3,single,receipt,rm_0113,wh_raw_south_z03,,15972,receipt_post_00211_3
receipt,receipt_2025_00215,1,single,receipt,rm_0123,wh_cold_z05,,15918,receipt_post_00215_1
receipt,receipt_2025_00215,2,single,receipt,rm_0124,wh_cold_z06,,16019,receipt_post_00215_2
receipt,receipt_2025_00215,3,single,receipt,rm_0125,wh_cold_z07,,16120,receipt_post_00215_3
receipt,receipt_2025_00219,1,single,receipt,rm_0135,wh_finished_south_z09,lot_rm_0135_01,16066,receipt_post_00219_1
receipt,receipt_2025_00219,2,single,receipt,rm_0136,wh_finished_south_z10,lot_rm_0136_02,16167,receipt_post_00219_2
receipt,receipt_2025_00219,3,single,receipt,rm_0137,wh_finished_south_z01,lot_rm_0137_01,16268,receipt_post_00219_3
receipt,receipt_2025_00223,1,single,receipt,rm_0147,wh_raw_south_z03,lot_rm_0147_01,16214,receipt_post_00223_1
receipt,receipt_2025_00223,2,single,receipt,rm_0148,wh_raw_south_z04,lot_rm_0148_02,16315,receipt_post_00223_2
receipt,receipt_2025_00223,3,single,receipt,rm_0149,wh_raw_south_z05,lot_rm_0149_01,16416,receipt_post_00223_3
receipt,receipt_2025_00227,1,single,receipt,rm_0159,wh_cold_z07,lot_rm_0159_01,16362,receipt_post_00227_1
receipt,receipt_2025_00227,2,single,receipt,rm_0160,wh_cold_z08,lot_rm_0160_02,16463,receipt_post_00227_2
receipt,receipt_2025_00227,3,single,receipt,rm_0161,wh_cold_z09,lot_rm_0161_01,16564,receipt_post_00227_3
receipt,receipt_2025_00231,1,single,receipt,rm_0171,wh_finished_south_z01,lot_rm_0171_01,16510,receipt_post_00231_1
receipt,receipt_2025_00231,2,single,receipt,rm_0172,wh_finished_south_z02,lot_rm_0172_02,16611,receipt_post_00231_2
receipt,receipt_2025_00231,3,single,receipt,rm_0173,wh_finished_south_z03,lot_rm_0173_01,16712,receipt_post_00231_3
receipt,receipt_2025_00235,1,single,receipt,rm_0183,wh_raw_south_z05,,16658,receipt_post_00235_1
receipt,receipt_2025_00235,2,single,receipt,rm_0184,wh_raw_south_z06,,16759,receipt_post_00235_2
receipt,receipt_2025_00235,3,single,receipt,rm_0185,wh_raw_south_z07,,16860,receipt_post_00235_3
receipt,receipt_2025_00239,1,single,receipt,rm_0195,wh_cold_z09,lot_rm_0195_01,16806,receipt_post_00239_1
receipt,receipt_2025_00239,2,single,receipt,rm_0196,wh_cold_z10,lot_rm_0196_02,16907,receipt_post_00239_2
receipt,receipt_2025_00239,3,single,receipt,rm_0197,wh_cold_z01,lot_rm_0197_01,17008,receipt_post_00239_3
receipt,receipt_2025_00243,1,single,receipt,rm_0207,wh_finished_south_z03,lot_rm_0207_01,16954,receipt_post_00243_1
receipt,receipt_2025_00243,2,single,receipt,rm_0208,wh_finished_south_z04,lot_rm_0208_02,17055,receipt_post_00243_2
receipt,receipt_2025_00243,3,single,receipt,rm_0209,wh_finished_south_z05,lot_rm_0209_01,17156,receipt_post_00243_3
receipt,receipt_2025_00247,1,single,receipt,rm_0219,wh_raw_south_z07,lot_rm_0219_01,17102,receipt_post_00247_1
receipt,receipt_2025_00247,2,single,receipt,rm_0220,wh_raw_south_z08,lot_rm_0220_02,17203,receipt_post_00247_2
receipt,receipt_2025_00247,3,single,receipt,rm_0221,wh_raw_south_z09,lot_rm_0221_01,17304,receipt_post_00247_3
receipt,receipt_2025_00251,1,single,receipt,rm_0231,wh_cold_z01,lot_rm_0231_01,17250,receipt_post_00251_1
receipt,receipt_2025_00251,2,single,receipt,rm_0232,wh_cold_z02,lot_rm_0232_02,17351,receipt_post_00251_2
receipt,receipt_2025_00251,3,single,receipt,rm_0233,wh_cold_z03,lot_rm_0233_01,17452,receipt_post_00251_3
receipt,receipt_2025_00255,1,single,receipt,rm_0243,wh_finished_south_z05,,17398,receipt_post_00255_1
receipt,receipt_2025_00255,2,single,receipt,rm_0244,wh_finished_south_z06,,17499,receipt_post_00255_2
receipt,receipt_2025_00255,3,single,receipt,rm_0245,wh_finished_south_z07,,17600,receipt_post_00255_3
receipt,receipt_2025_00259,1,single,receipt,rm_0255,wh_raw_south_z09,,17546,receipt_post_00259_1
receipt,receipt_2025_00259,2,single,receipt,rm_0256,wh_raw_south_z10,,17647,receipt_post_00259_2
receipt,receipt_2025_00259,3,single,receipt,rm_0257,wh_raw_south_z01,lot_rm_0257_01,17748,receipt_post_00259_3
receipt,receipt_2025_00263,1,single,receipt,rm_0267,wh_cold_z03,lot_rm_0267_01,17694,receipt_post_00263_1
receipt,receipt_2025_00263,2,single,receipt,rm_0268,wh_cold_z04,lot_rm_0268_02,17795,receipt_post_00263_2
receipt,receipt_2025_00263,3,single,receipt,rm_0269,wh_cold_z05,lot_rm_0269_01,17896,receipt_post_00263_3
receipt,receipt_2025_00267,1,single,receipt,rm_0279,wh_finished_south_z07,lot_rm_0279_01,17842,receipt_post_00267_1
receipt,receipt_2025_00267,2,single,receipt,rm_0280,wh_finished_south_z08,lot_rm_0280_02,17943,receipt_post_00267_2
receipt,receipt_2025_00267,3,single,receipt,rm_0281,wh_finished_south_z09,lot_rm_0281_01,18044,receipt_post_00267_3
receipt,receipt_2025_00271,1,single,receipt,rm_0291,wh_raw_south_z01,lot_rm_0291_01,17990,receipt_post_00271_1
receipt,receipt_2025_00271,2,single,receipt,rm_0292,wh_raw_south_z02,lot_rm_0292_02,18091,receipt_post_00271_2
receipt,receipt_2025_00271,3,single,receipt,rm_0293,wh_raw_south_z03,lot_rm_0293_01,18192,receipt_post_00271_3
receipt,receipt_2025_00275,1,single,receipt,rm_0303,wh_cold_z05,lot_rm_0303_01,18138,receipt_post_00275_1
receipt,receipt_2025_00275,2,single,receipt,rm_0304,wh_cold_z06,lot_rm_0304_02,18239,receipt_post_00275_2
receipt,receipt_2025_00275,3,single,receipt,rm_0305,wh_cold_z07,,18340,receipt_post_00275_3
receipt,receipt_2025_00279,1,single,receipt,rm_0315,wh_finished_south_z09,,18286,receipt_post_00279_1
receipt,receipt_2025_00279,2,single,receipt,rm_0316,wh_finished_south_z10,,18387,receipt_post_00279_2
receipt,receipt_2025_00279,3,single,receipt,rm_0317,wh_finished_south_z01,,18488,receipt_post_00279_3
receipt,receipt_2025_00283,1,single,receipt,fg_0007,wh_raw_south_z03,lot_fg_0007_01,18434,receipt_post_00283_1
receipt,receipt_2025_00283,2,single,receipt,fg_0008,wh_raw_south_z04,lot_fg_0008_02,18535,receipt_post_00283_2
receipt,receipt_2025_00283,3,single,receipt,fg_0009,wh_raw_south_z05,lot_fg_0009_01,18636,receipt_post_00283_3
receipt,receipt_2025_00287,1,single,receipt,fg_0019,wh_cold_z07,lot_fg_0019_01,18582,receipt_post_00287_1
receipt,receipt_2025_00287,2,single,receipt,fg_0020,wh_cold_z08,lot_fg_0020_02,18683,receipt_post_00287_2
receipt,receipt_2025_00287,3,single,receipt,fg_0021,wh_cold_z09,lot_fg_0021_01,18784,receipt_post_00287_3
receipt,receipt_2025_00291,1,single,receipt,fg_0031,wh_finished_south_z01,lot_fg_0031_01,18730,receipt_post_00291_1
receipt,receipt_2025_00291,2,single,receipt,fg_0032,wh_finished_south_z02,lot_fg_0032_02,18831,receipt_post_00291_2
receipt,receipt_2025_00291,3,single,receipt,fg_0033,wh_finished_south_z03,lot_fg_0033_01,18932,receipt_post_00291_3
receipt,receipt_2025_00295,1,single,receipt,fg_0043,wh_raw_south_z05,lot_fg_0043_01,18878,receipt_post_00295_1
receipt,receipt_2025_00295,2,single,receipt,fg_0044,wh_raw_south_z06,lot_fg_0044_02,18979,receipt_post_00295_2
receipt,receipt_2025_00295,3,single,receipt,fg_0045,wh_raw_south_z07,lot_fg_0045_01,19080,receipt_post_00295_3
receipt,receipt_2025_00299,1,single,receipt,fg_0055,wh_cold_z09,lot_fg_0055_01,19026,receipt_post_00299_1
receipt,receipt_2025_00299,2,single,receipt,fg_0056,wh_cold_z10,lot_fg_0056_02,19127,receipt_post_00299_2
receipt,receipt_2025_00299,3,single,receipt,fg_0057,wh_cold_z01,lot_fg_0057_01,19228,receipt_post_00299_3
