issue_code,warehouse_code,source_module,source_document_code,reason_code,status,idempotency_key,posted_at,notes
issue_2026_00014,wh_cold,production,production_order_2026_00014,production_consumption,pending,issue_2026_00014,2026-02-02T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00015,wh_finished_south,production,production_order_2026_00015,production_consumption,posted,issue_2026_00015,2026-09-15T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00016,wh_raw_south,production,production_order_2026_00016,production_consumption,cancelled,issue_2026_00016,2026-07-04T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00017,wh_raw_south,production,production_order_2026_00017,production_consumption,draft,issue_2026_00017,2026-05-17T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00018,wh_cold,production,production_order_2026_00018,production_consumption,pending,issue_2026_00018,2026-03-06T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00019,wh_finished_south,production,production_order_2026_00019,production_consumption,posted,issue_2026_00019,2026-01-19T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00020,wh_finished_south,production,production_order_2026_00020,production_consumption,cancelled,issue_2026_00020,2026-08-08T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00021,wh_raw_south,production,production_order_2026_00021,production_consumption,draft,issue_2026_00021,2026-06-21T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00022,wh_cold,production,production_order_2026_00022,production_consumption,pending,issue_2026_00022,2026-04-10T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00023,wh_cold,production,production_order_2026_00023,production_consumption,posted,issue_2026_00023,2026-02-23T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00024,wh_finished_south,production,production_order_2026_00024,production_consumption,cancelled,issue_2026_00024,2026-09-12T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00025,wh_raw_south,production,production_order_2026_00025,production_consumption,draft,issue_2026_00025,2026-07-01T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00026,wh_raw_south,production,production_order_2026_00026,production_consumption,pending,issue_2026_00026,2026-05-14T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00027,wh_cold,production,production_order_2026_00027,production_consumption,posted,issue_2026_00027,2026-03-03T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00028,wh_finished_south,production,production_order_2026_00028,production_consumption,cancelled,issue_2026_00028,2026-01-16T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00029,wh_finished_south,production,production_order_2026_00029,production_consumption,draft,issue_2026_00029,2026-08-05T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00030,wh_raw_south,production,production_order_2026_00030,production_consumption,pending,issue_2026_00030,2026-06-18T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00031,wh_cold,production,production_order_2026_00031,production_consumption,posted,issue_2026_00031,2026-04-07T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00032,wh_cold,production,production_order_2026_00032,production_consumption,cancelled,issue_2026_00032,2026-02-20T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00033,wh_finished_south,production,production_order_2026_00033,production_consumption,draft,issue_2026_00033,2026-09-09T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00034,wh_raw_south,production,production_order_2026_00034,production_consumption,pending,issue_2026_00034,2026-07-22T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00035,wh_raw_south,production,production_order_2026_00035,production_consumption,posted,issue_2026_00035,2026-05-11T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00036,wh_cold,production,production_order_2026_00036,production_consumption,cancelled,issue_2026_00036,2026-03-24T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00037,wh_finished_south,production,production_order_2026_00037,production_consumption,draft,issue_2026_00037,2026-01-13T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00038,wh_finished_south,production,production_order_2026_00038,production_consumption,pending,issue_2026_00038,2026-08-02T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00039,wh_raw_south,production,production_order_2026_00039,production_consumption,posted,issue_2026_00039,2026-06-15T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00040,wh_cold,production,production_order_2026_00040,production_consumption,cancelled,issue_2026_00040,2026-04-04T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00041,wh_raw_south,production,production_order_2026_00041,production_consumption,draft,issue_2026_00041,2026-02-17T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00042,wh_raw_south,production,production_order_2026_00042,production_consumption,pending,issue_2026_00042,2026-09-06T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00043,wh_cold,production,production_order_2026_00043,production_consumption,posted,issue_2026_00043,2026-07-19T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00044,wh_finished_south,production,production_order_2026_00044,production_consumption,cancelled,issue_2026_00044,2026-05-08T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00045,wh_finished_south,production,production_order_2026_00045,production_consumption,draft,issue_2026_00045,2026-03-21T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00046,wh_raw_south,production,production_order_2026_00046,production_consumption,pending,issue_2026_00046,2026-01-10T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00047,wh_cold,production,production_order_2026_00047,production_consumption,posted,issue_2026_00047,2026-08-23T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00048,wh_cold,production,production_order_2026_00048,production_consumption,cancelled,issue_2026_00048,2026-06-12T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00049,wh_finished_south,production,production_order_2026_00049,production_consumption,draft,issue_2026_00049,2026-04-01T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00050,wh_raw_south,production,production_order_2026_00050,production_consumption,pending,issue_2026_00050,2026-02-14T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00051,wh_raw_south,production,production_order_2026_00051,production_consumption,posted,issue_2026_00051,2026-09-03T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00052,wh_cold,production,production_order_2026_00052,production_consumption,cancelled,issue_2026_00052,2026-07-16T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00053,wh_finished_south,production,production_order_2026_00053,production_consumption,draft,issue_2026_00053,2026-05-05T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00054,wh_finished_south,production,production_order_2026_00054,production_consumption,pending,issue_2026_00054,2026-03-18T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00055,wh_raw_south,production,production_order_2026_00055,production_consumption,posted,issue_2026_00055,2026-01-07T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00056,wh_cold,production,production_order_2026_00056,production_consumption,cancelled,issue_2026_00056,2026-08-20T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00057,wh_cold,production,production_order_2026_00057,production_consumption,draft,issue_2026_00057,2026-06-09T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00058,wh_finished_south,production,production_order_2026_00058,production_consumption,pending,issue_2026_00058,2026-04-22T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00059,wh_raw_south,production,production_order_2026_00059,production_consumption,posted,issue_2026_00059,2026-02-11T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00060,wh_raw_south,production,production_order_2026_00060,production_consumption,cancelled,issue_2026_00060,2026-09-24T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00061,wh_cold,production,production_order_2026_00061,production_consumption,draft,issue_2026_00061,2026-07-13T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00062,wh_finished_south,production,production_order_2026_00062,production_consumption,pending,issue_2026_00062,2026-05-02T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00063,wh_finished_south,production,production_order_2026_00063,production_consumption,posted,issue_2026_00063,2026-03-15T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00064,wh_raw_south,production,production_order_2026_00064,production_consumption,cancelled,issue_2026_00064,2026-01-04T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00065,wh_cold,production,production_order_2026_00065,production_consumption,draft,issue_2026_00065,2026-08-17T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00066,wh_cold,production,production_order_2026_00066,production_consumption,pending,issue_2026_00066,2026-06-06T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00067,wh_finished_south,production,production_order_2026_00067,production_consumption,posted,issue_2026_00067,2026-04-19T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00068,wh_raw_south,production,production_order_2026_00068,production_consumption,cancelled,issue_2026_00068,2026-02-08T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00069,wh_raw_south,production,production_order_2026_00069,production_consumption,draft,issue_2026_00069,2026-09-21T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00070,wh_cold,production,production_order_2026_00070,production_consumption,pending,issue_2026_00070,2026-07-10T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00071,wh_finished_south,production,production_order_2026_00071,production_consumption,posted,issue_2026_00071,2026-05-23T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00072,wh_finished_south,production,production_order_2026_00072,production_consumption,cancelled,issue_2026_00072,2026-03-12T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00073,wh_raw_south,production,production_order_2026_00073,production_consumption,draft,issue_2026_00073,2026-01-01T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00074,wh_cold,production,production_order_2026_00074,production_consumption,pending,issue_2026_00074,2026-08-14T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00075,wh_cold,production,production_order_2026_00075,production_consumption,posted,issue_2026_00075,2026-06-03T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00076,wh_finished_south,production,production_order_2026_00076,production_consumption,cancelled,issue_2026_00076,2026-04-16T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00077,wh_raw_south,production,production_order_2026_00077,production_consumption,draft,issue_2026_00077,2026-02-05T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00078,wh_raw_south,production,production_order_2026_00078,production_consumption,pending,issue_2026_00078,2026-09-18T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00079,wh_cold,production,production_order_2026_00079,production_consumption,posted,issue_2026_00079,2026-07-07T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00080,wh_finished_south,production,production_order_2026_00080,production_consumption,cancelled,issue_2026_00080,2026-05-20T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00081,wh_finished_south,production,production_order_2026_00081,production_consumption,draft,issue_2026_00081,2026-03-09T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00082,wh_finished_south,production,production_order_2026_00082,production_consumption,pending,issue_2026_00082,2026-01-22T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00083,wh_finished_south,production,production_order_2026_00083,production_consumption,posted,issue_2026_00083,2026-08-11T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00084,wh_raw_south,production,production_order_2026_00084,production_consumption,cancelled,issue_2026_00084,2026-06-24T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00085,wh_cold,production,production_order_2026_00085,production_consumption,draft,issue_2026_00085,2026-04-13T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00086,wh_cold,production,production_order_2026_00086,production_consumption,pending,issue_2026_00086,2026-02-02T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00087,wh_finished_south,production,production_order_2026_00087,production_consumption,posted,issue_2026_00087,2026-09-15T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00088,wh_raw_south,production,production_order_2026_00088,production_consumption,cancelled,issue_2026_00088,2026-07-04T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00089,wh_raw_south,production,production_order_2026_00089,production_consumption,draft,issue_2026_00089,2026-05-17T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00090,wh_cold,production,production_order_2026_00090,production_consumption,pending,issue_2026_00090,2026-03-06T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00091,wh_finished_south,production,production_order_2026_00091,production_consumption,posted,issue_2026_00091,2026-01-19T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00092,wh_finished_south,production,production_order_2026_00092,production_consumption,cancelled,issue_2026_00092,2026-08-08T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00093,wh_raw_south,production,production_order_2026_00093,production_consumption,draft,issue_2026_00093,2026-06-21T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00094,wh_cold,production,production_order_2026_00094,production_consumption,pending,issue_2026_00094,2026-04-10T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00095,wh_cold,production,production_order_2026_00095,production_consumption,posted,issue_2026_00095,2026-02-23T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00096,wh_finished_south,production,production_order_2026_00096,production_consumption,cancelled,issue_2026_00096,2026-09-12T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00097,wh_raw_south,production,production_order_2026_00097,production_consumption,draft,issue_2026_00097,2026-07-01T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00098,wh_raw_south,production,production_order_2026_00098,production_consumption,pending,issue_2026_00098,2026-05-14T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00099,wh_cold,production,production_order_2026_00099,production_consumption,posted,issue_2026_00099,2026-03-03T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00100,wh_finished_south,production,production_order_2026_00100,production_consumption,cancelled,issue_2026_00100,2026-01-16T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00101,wh_finished_south,production,production_order_2026_00101,production_consumption,draft,issue_2026_00101,2026-08-05T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00102,wh_raw_south,production,production_order_2026_00102,production_consumption,pending,issue_2026_00102,2026-06-18T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00103,wh_cold,production,production_order_2026_00103,production_consumption,posted,issue_2026_00103,2026-04-07T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00104,wh_cold,production,production_order_2026_00104,production_consumption,cancelled,issue_2026_00104,2026-02-20T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00105,wh_finished_south,production,production_order_2026_00105,production_consumption,draft,issue_2026_00105,2026-09-09T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00106,wh_raw_south,production,production_order_2026_00106,production_consumption,pending,issue_2026_00106,2026-07-22T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00107,wh_raw_south,production,production_order_2026_00107,production_consumption,posted,issue_2026_00107,2026-05-11T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00108,wh_cold,production,production_order_2026_00108,production_consumption,cancelled,issue_2026_00108,2026-03-24T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00109,wh_finished_south,production,production_order_2026_00109,production_consumption,draft,issue_2026_00109,2026-01-13T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00110,wh_finished_south,production,production_order_2026_00110,production_consumption,pending,issue_2026_00110,2026-08-02T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00111,wh_raw_south,production,production_order_2026_00111,production_consumption,posted,issue_2026_00111,2026-06-15T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00112,wh_cold,production,production_order_2026_00112,production_consumption,cancelled,issue_2026_00112,2026-04-04T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00113,wh_cold,production,production_order_2026_00113,production_consumption,draft,issue_2026_00113,2026-02-17T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00114,wh_finished_south,production,production_order_2026_00114,production_consumption,pending,issue_2026_00114,2026-09-06T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00115,wh_raw_south,production,production_order_2026_00115,production_consumption,posted,issue_2026_00115,2026-07-19T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00116,wh_raw_south,production,production_order_2026_00116,production_consumption,cancelled,issue_2026_00116,2026-05-08T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00117,wh_cold,production,production_order_2026_00117,production_consumption,draft,issue_2026_00117,2026-03-21T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00118,wh_finished_south,production,production_order_2026_00118,production_consumption,pending,issue_2026_00118,2026-01-10T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00119,wh_finished_south,production,production_order_2026_00119,production_consumption,posted,issue_2026_00119,2026-08-23T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00120,wh_raw_south,production,production_order_2026_00120,production_consumption,cancelled,issue_2026_00120,2026-06-12T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00121,wh_raw_south,production,production_order_2026_00121,production_consumption,draft,issue_2026_00121,2026-04-01T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00122,wh_raw_south,production,production_order_2026_00122,production_consumption,pending,issue_2026_00122,2026-02-14T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00123,wh_cold,production,production_order_2026_00123,production_consumption,posted,issue_2026_00123,2026-09-03T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00124,wh_finished_south,production,production_order_2026_00124,production_consumption,cancelled,issue_2026_00124,2026-07-16T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00125,wh_finished_south,production,production_order_2026_00125,production_consumption,draft,issue_2026_00125,2026-05-05T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00126,wh_raw_south,production,production_order_2026_00126,production_consumption,pending,issue_2026_00126,2026-03-18T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00127,wh_cold,production,production_order_2026_00127,production_consumption,posted,issue_2026_00127,2026-01-07T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00128,wh_cold,production,production_order_2026_00128,production_consumption,cancelled,issue_2026_00128,2026-08-20T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00129,wh_finished_south,production,production_order_2026_00129,production_consumption,draft,issue_2026_00129,2026-06-09T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00130,wh_raw_south,production,production_order_2026_00130,production_consumption,pending,issue_2026_00130,2026-04-22T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00131,wh_raw_south,production,production_order_2026_00131,production_consumption,posted,issue_2026_00131,2026-02-11T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00132,wh_cold,production,production_order_2026_00132,production_consumption,cancelled,issue_2026_00132,2026-09-24T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00133,wh_finished_south,production,production_order_2026_00133,production_consumption,draft,issue_2026_00133,2026-07-13T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00134,wh_finished_south,production,production_order_2026_00134,production_consumption,pending,issue_2026_00134,2026-05-02T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00135,wh_raw_south,production,production_order_2026_00135,production_consumption,posted,issue_2026_00135,2026-03-15T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00136,wh_cold,production,production_order_2026_00136,production_consumption,cancelled,issue_2026_00136,2026-01-04T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00137,wh_cold,production,production_order_2026_00137,production_consumption,draft,issue_2026_00137,2026-08-17T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00138,wh_finished_south,production,production_order_2026_00138,production_consumption,pending,issue_2026_00138,2026-06-06T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00139,wh_raw_south,production,production_order_2026_00139,production_consumption,posted,issue_2026_00139,2026-04-19T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00140,wh_raw_south,production,production_order_2026_00140,production_consumption,cancelled,issue_2026_00140,2026-02-08T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00141,wh_cold,production,production_order_2026_00141,production_consumption,draft,issue_2026_00141,2026-09-21T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00142,wh_finished_south,production,production_order_2026_00142,production_consumption,pending,issue_2026_00142,2026-07-10T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00143,wh_finished_south,production,production_order_2026_00143,production_consumption,posted,issue_2026_00143,2026-05-23T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00144,wh_raw_south,production,production_order_2026_00144,production_consumption,cancelled,issue_2026_00144,2026-03-12T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00145,wh_cold,production,production_order_2026_00145,production_consumption,draft,issue_2026_00145,2026-01-01T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00146,wh_cold,production,production_order_2026_00146,production_consumption,pending,issue_2026_00146,2026-08-14T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00147,wh_finished_south,production,production_order_2026_00147,production_consumption,posted,issue_2026_00147,2026-06-03T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00148,wh_raw_south,production,production_order_2026_00148,production_consumption,cancelled,issue_2026_00148,2026-04-16T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00149,wh_raw_south,production,production_order_2026_00149,production_consumption,draft,issue_2026_00149,2026-02-05T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00150,wh_cold,production,production_order_2026_00150,production_consumption,pending,issue_2026_00150,2026-09-18T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00151,wh_finished_south,production,production_order_2026_00151,production_consumption,posted,issue_2026_00151,2026-07-07T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00152,wh_finished_south,production,production_order_2026_00152,production_consumption,cancelled,issue_2026_00152,2026-05-20T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00153,wh_raw_south,production,production_order_2026_00153,production_consumption,draft,issue_2026_00153,2026-03-09T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00154,wh_cold,production,production_order_2026_00154,production_consumption,pending,issue_2026_00154,2026-01-22T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00155,wh_cold,production,production_order_2026_00155,production_consumption,posted,issue_2026_00155,2026-08-11T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00156,wh_finished_south,production,production_order_2026_00156,production_consumption,cancelled,issue_2026_00156,2026-06-24T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00157,wh_raw_south,production,production_order_2026_00157,production_consumption,draft,issue_2026_00157,2026-04-13T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00158,wh_raw_south,production,production_order_2026_00158,production_consumption,pending,issue_2026_00158,2026-02-02T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00159,wh_cold,production,production_order_2026_00159,production_consumption,posted,issue_2026_00159,2026-09-15T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00160,wh_finished_south,production,production_order_2026_00160,production_consumption,cancelled,issue_2026_00160,2026-07-04T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00161,wh_finished_south,production,production_order_2026_00161,production_consumption,draft,issue_2026_00161,2026-05-17T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00162,wh_finished_south,production,production_order_2026_00162,production_consumption,pending,issue_2026_00162,2026-03-06T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00163,wh_raw_south,production,production_order_2026_00163,production_consumption,posted,issue_2026_00163,2026-01-19T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00164,wh_cold,production,production_order_2026_00164,production_consumption,cancelled,issue_2026_00164,2026-08-08T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
issue_2026_00165,wh_cold,production,production_order_2026_00165,production_consumption,draft,issue_2026_00165,2026-06-21T07:00:00+07:00,Xuất nguyên liệu cho sản xuất.
