transfer_code,source_warehouse_code,destination_warehouse_code,status,idempotency_key,posted_at,notes
transfer_2026_00041,wh_finished_south,wh_packaging,draft,transfer_2026_00041,2026-04-17T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00042,wh_cold,wh_raw_south,pending,transfer_2026_00042,2026-07-24T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00043,wh_raw_south,wh_raw_north,posted,transfer_2026_00043,2026-01-07T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00044,wh_cold,wh_finished_south,cancelled,transfer_2026_00044,2026-04-14T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00045,wh_raw_south,wh_finished_north,draft,transfer_2026_00045,2026-07-21T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00046,wh_finished_south,wh_cold,pending,transfer_2026_00046,2026-01-04T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00047,wh_raw_south,wh_packaging,posted,transfer_2026_00047,2026-04-11T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00048,wh_finished_south,wh_raw_south,cancelled,transfer_2026_00048,2026-07-18T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00049,wh_raw_south,wh_raw_north,draft,transfer_2026_00049,2026-01-01T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00050,wh_cold,wh_finished_south,pending,transfer_2026_00050,2026-04-08T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00051,wh_raw_south,wh_finished_north,posted,transfer_2026_00051,2026-07-15T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00052,wh_finished_south,wh_cold,cancelled,transfer_2026_00052,2026-01-22T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00053,wh_raw_south,wh_packaging,draft,transfer_2026_00053,2026-04-05T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00054,wh_finished_south,wh_raw_south,pending,transfer_2026_00054,2026-07-12T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00055,wh_cold,wh_raw_north,posted,transfer_2026_00055,2026-01-19T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00056,wh_finished_south,wh_finished_north,cancelled,transfer_2026_00056,2026-04-02T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00057,wh_cold,wh_finished_north,draft,transfer_2026_00057,2026-07-09T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00058,wh_raw_south,wh_cold,pending,transfer_2026_00058,2026-01-16T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00059,wh_cold,wh_packaging,posted,transfer_2026_00059,2026-04-23T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00060,wh_raw_south,wh_raw_north,cancelled,transfer_2026_00060,2026-07-06T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00061,wh_finished_south,wh_raw_north,draft,transfer_2026_00061,2026-01-13T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00062,wh_raw_south,wh_finished_south,pending,transfer_2026_00062,2026-04-20T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00063,wh_finished_south,wh_finished_north,posted,transfer_2026_00063,2026-07-03T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00064,wh_cold,wh_packaging,cancelled,transfer_2026_00064,2026-01-10T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00065,wh_finished_south,wh_packaging,draft,transfer_2026_00065,2026-04-17T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00066,wh_raw_south,wh_raw_north,pending,transfer_2026_00066,2026-07-24T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00067,wh_finished_south,wh_raw_north,posted,transfer_2026_00067,2026-01-07T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00068,wh_cold,wh_finished_south,cancelled,transfer_2026_00068,2026-04-14T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00069,wh_finished_south,wh_finished_north,draft,transfer_2026_00069,2026-07-21T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00070,wh_cold,wh_packaging,pending,transfer_2026_00070,2026-01-04T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00071,wh_raw_south,wh_packaging,posted,transfer_2026_00071,2026-04-11T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00072,wh_cold,wh_raw_south,cancelled,transfer_2026_00072,2026-07-18T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00073,wh_raw_south,wh_raw_north,draft,transfer_2026_00073,2026-01-01T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00074,wh_finished_south,wh_finished_north,pending,transfer_2026_00074,2026-04-08T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00075,wh_raw_south,wh_finished_north,posted,transfer_2026_00075,2026-07-15T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00076,wh_finished_south,wh_cold,cancelled,transfer_2026_00076,2026-01-22T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00077,wh_cold,wh_packaging,draft,transfer_2026_00077,2026-04-05T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00078,wh_finished_south,wh_raw_south,pending,transfer_2026_00078,2026-07-12T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00079,wh_cold,wh_raw_north,posted,transfer_2026_00079,2026-01-19T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00080,wh_raw_south,wh_finished_south,cancelled,transfer_2026_00080,2026-04-02T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00081,wh_raw_south,wh_finished_north,draft,transfer_2026_00081,2026-07-09T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00082,wh_cold,wh_packaging,pending,transfer_2026_00082,2026-01-16T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00083,wh_raw_south,wh_packaging,posted,transfer_2026_00083,2026-04-23T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00084,wh_finished_south,wh_raw_south,cancelled,transfer_2026_00084,2026-07-06T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00085,wh_raw_south,wh_raw_north,draft,transfer_2026_00085,2026-01-13T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00086,wh_finished_south,wh_finished_north,pending,transfer_2026_00086,2026-04-20T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00087,wh_cold,wh_finished_north,posted,transfer_2026_00087,2026-07-03T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00088,wh_finished_south,wh_cold,cancelled,transfer_2026_00088,2026-01-10T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00089,wh_cold,wh_packaging,draft,transfer_2026_00089,2026-04-17T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00090,wh_raw_south,wh_raw_north,pending,transfer_2026_00090,2026-07-24T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00091,wh_cold,wh_raw_north,posted,transfer_2026_00091,2026-01-07T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00092,wh_raw_south,wh_finished_south,cancelled,transfer_2026_00092,2026-04-14T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00093,wh_finished_south,wh_finished_north,draft,transfer_2026_00093,2026-07-21T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00094,wh_raw_south,wh_cold,pending,transfer_2026_00094,2026-01-04T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00095,wh_finished_south,wh_packaging,posted,transfer_2026_00095,2026-04-11T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00096,wh_cold,wh_raw_south,cancelled,transfer_2026_00096,2026-07-18T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00097,wh_finished_south,wh_raw_north,draft,transfer_2026_00097,2026-01-01T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00098,wh_raw_south,wh_finished_south,pending,transfer_2026_00098,2026-04-08T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00099,wh_cold,wh_finished_north,posted,transfer_2026_00099,2026-07-15T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00100,wh_raw_south,wh_cold,cancelled,transfer_2026_00100,2026-01-22T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00101,wh_finished_south,wh_packaging,draft,transfer_2026_00101,2026-04-05T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00102,wh_raw_south,wh_raw_north,pending,transfer_2026_00102,2026-07-12T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00103,wh_finished_south,wh_raw_north,posted,transfer_2026_00103,2026-01-19T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00104,wh_cold,wh_finished_south,cancelled,transfer_2026_00104,2026-04-02T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00105,wh_finished_south,wh_finished_north,draft,transfer_2026_00105,2026-07-09T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00106,wh_cold,wh_packaging,pending,transfer_2026_00106,2026-01-16T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00107,wh_raw_south,wh_packaging,posted,transfer_2026_00107,2026-04-23T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00108,wh_cold,wh_raw_south,cancelled,transfer_2026_00108,2026-07-06T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00109,wh_raw_south,wh_raw_north,draft,transfer_2026_00109,2026-01-13T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00110,wh_finished_south,wh_finished_north,pending,transfer_2026_00110,2026-04-20T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00111,wh_raw_south,wh_finished_north,posted,transfer_2026_00111,2026-07-03T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00112,wh_finished_south,wh_cold,cancelled,transfer_2026_00112,2026-01-10T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00113,wh_raw_south,wh_packaging,draft,transfer_2026_00113,2026-04-17T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00114,wh_cold,wh_raw_south,pending,transfer_2026_00114,2026-07-24T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00115,wh_raw_south,wh_raw_north,posted,transfer_2026_00115,2026-01-07T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00116,wh_finished_south,wh_finished_north,cancelled,transfer_2026_00116,2026-04-14T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00117,wh_raw_south,wh_finished_north,draft,transfer_2026_00117,2026-07-21T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00118,wh_finished_south,wh_cold,pending,transfer_2026_00118,2026-01-04T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00119,wh_cold,wh_packaging,posted,transfer_2026_00119,2026-04-11T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00120,wh_finished_south,wh_raw_south,cancelled,transfer_2026_00120,2026-07-18T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00121,wh_cold,wh_raw_north,draft,transfer_2026_00121,2026-01-01T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00122,wh_raw_south,wh_finished_south,pending,transfer_2026_00122,2026-04-08T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00123,wh_cold,wh_finished_north,posted,transfer_2026_00123,2026-07-15T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00124,wh_raw_south,wh_cold,cancelled,transfer_2026_00124,2026-01-22T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00125,wh_finished_south,wh_packaging,draft,transfer_2026_00125,2026-04-05T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00126,wh_raw_south,wh_raw_north,pending,transfer_2026_00126,2026-07-12T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00127,wh_finished_south,wh_raw_north,posted,transfer_2026_00127,2026-01-19T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00128,wh_cold,wh_finished_south,cancelled,transfer_2026_00128,2026-04-02T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00129,wh_finished_south,wh_finished_north,draft,transfer_2026_00129,2026-07-09T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00130,wh_raw_south,wh_cold,pending,transfer_2026_00130,2026-01-16T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00131,wh_finished_south,wh_packaging,posted,transfer_2026_00131,2026-04-23T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00132,wh_cold,wh_raw_south,cancelled,transfer_2026_00132,2026-07-06T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00133,wh_finished_south,wh_raw_north,draft,transfer_2026_00133,2026-01-13T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00134,wh_cold,wh_finished_south,pending,transfer_2026_00134,2026-04-20T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00135,wh_raw_south,wh_finished_north,posted,transfer_2026_00135,2026-07-03T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00136,wh_cold,wh_packaging,cancelled,transfer_2026_00136,2026-01-10T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00137,wh_raw_south,wh_packaging,draft,transfer_2026_00137,2026-04-17T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00138,wh_finished_south,wh_raw_south,pending,transfer_2026_00138,2026-07-24T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00139,wh_raw_south,wh_raw_north,posted,transfer_2026_00139,2026-01-07T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00140,wh_finished_south,wh_finished_north,cancelled,transfer_2026_00140,2026-04-14T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00141,wh_cold,wh_finished_north,draft,transfer_2026_00141,2026-07-21T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00142,wh_finished_south,wh_cold,pending,transfer_2026_00142,2026-01-04T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00143,wh_cold,wh_packaging,posted,transfer_2026_00143,2026-04-11T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00144,wh_raw_south,wh_raw_north,cancelled,transfer_2026_00144,2026-07-18T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00145,wh_raw_south,wh_raw_north,draft,transfer_2026_00145,2026-01-01T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00146,wh_cold,wh_finished_south,pending,transfer_2026_00146,2026-04-08T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00147,wh_raw_south,wh_finished_north,posted,transfer_2026_00147,2026-07-15T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00148,wh_finished_south,wh_cold,cancelled,transfer_2026_00148,2026-01-22T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00149,wh_raw_south,wh_packaging,draft,transfer_2026_00149,2026-04-05T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00150,wh_finished_south,wh_raw_south,pending,transfer_2026_00150,2026-07-12T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00151,wh_cold,wh_raw_north,posted,transfer_2026_00151,2026-01-19T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00152,wh_finished_south,wh_finished_north,cancelled,transfer_2026_00152,2026-04-02T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00153,wh_cold,wh_finished_north,draft,transfer_2026_00153,2026-07-09T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00154,wh_raw_south,wh_cold,pending,transfer_2026_00154,2026-01-16T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00155,wh_cold,wh_packaging,posted,transfer_2026_00155,2026-04-23T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00156,wh_raw_south,wh_raw_north,cancelled,transfer_2026_00156,2026-07-06T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00157,wh_finished_south,wh_raw_north,draft,transfer_2026_00157,2026-01-13T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00158,wh_raw_south,wh_finished_south,pending,transfer_2026_00158,2026-04-20T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00159,wh_finished_south,wh_finished_north,posted,transfer_2026_00159,2026-07-03T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00160,wh_cold,wh_packaging,cancelled,transfer_2026_00160,2026-01-10T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00161,wh_finished_south,wh_packaging,draft,transfer_2026_00161,2026-04-17T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00162,wh_raw_south,wh_raw_north,pending,transfer_2026_00162,2026-07-24T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00163,wh_cold,wh_raw_north,posted,transfer_2026_00163,2026-01-07T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00164,wh_raw_south,wh_finished_south,cancelled,transfer_2026_00164,2026-04-14T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00165,wh_finished_south,wh_finished_north,draft,transfer_2026_00165,2026-07-21T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00166,wh_raw_south,wh_cold,pending,transfer_2026_00166,2026-01-04T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00167,wh_finished_south,wh_packaging,posted,transfer_2026_00167,2026-04-11T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00168,wh_cold,wh_raw_south,cancelled,transfer_2026_00168,2026-07-18T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00169,wh_finished_south,wh_raw_north,draft,transfer_2026_00169,2026-01-01T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00170,wh_cold,wh_finished_south,pending,transfer_2026_00170,2026-04-08T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00171,wh_raw_south,wh_finished_north,posted,transfer_2026_00171,2026-07-15T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00172,wh_cold,wh_packaging,cancelled,transfer_2026_00172,2026-01-22T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00173,wh_raw_south,wh_packaging,draft,transfer_2026_00173,2026-04-05T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00174,wh_finished_south,wh_raw_south,pending,transfer_2026_00174,2026-07-12T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00175,wh_raw_south,wh_raw_north,posted,transfer_2026_00175,2026-01-19T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00176,wh_finished_south,wh_finished_north,cancelled,transfer_2026_00176,2026-04-02T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00177,wh_raw_south,wh_finished_north,draft,transfer_2026_00177,2026-07-09T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00178,wh_cold,wh_packaging,pending,transfer_2026_00178,2026-01-16T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00179,wh_raw_south,wh_packaging,posted,transfer_2026_00179,2026-04-23T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00180,wh_finished_south,wh_raw_south,cancelled,transfer_2026_00180,2026-07-06T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00181,wh_raw_south,wh_raw_north,draft,transfer_2026_00181,2026-01-13T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00182,wh_finished_south,wh_finished_north,pending,transfer_2026_00182,2026-04-20T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00183,wh_cold,wh_finished_north,posted,transfer_2026_00183,2026-07-03T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00184,wh_finished_south,wh_cold,cancelled,transfer_2026_00184,2026-01-10T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00185,wh_cold,wh_packaging,draft,transfer_2026_00185,2026-04-17T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00186,wh_raw_south,wh_raw_north,pending,transfer_2026_00186,2026-07-24T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00187,wh_cold,wh_raw_north,posted,transfer_2026_00187,2026-01-07T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00188,wh_raw_south,wh_finished_south,cancelled,transfer_2026_00188,2026-04-14T13:00:00+07:00,Điều chuyển cân đối tồn kho.
transfer_2026_00189,wh_finished_south,wh_finished_north,draft,transfer_2026_00189,2026-07-21T13:00:00+07:00,Điều chuyển cân đối tồn kho.
